BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7729    32465        0      8      8      330     5628    43676  FOELOST=35556 FOESEEN=43676 OWNSEEN=5628  GAD p1 off=10 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=53 reach=6852 cred=17438 paid=4797 altkill=6852 altcost=4797 altdiff=0  block=277 wiper=53  | wait=1260 watch=895 critical=774 block=640 free=545 wipe=265
66    Blue     2          10362        0    48930      8      8      709     8358    38932  FOELOST=45365 FOESEEN=142427 OWNSEEN=8358  GAD p1 off=18 def=31 sig=16 | p2 off=13 def=32 sig=13  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=33 reach=14622 cred=70096 paid=6330 altkill=14622 altcost=6330 altdiff=0  block=676 wiper=33  | critical=3235 watch=3179 wait=1199 outmatched=820 block=459 wipe=171 free=70
67    Red      2           8706        0     1500      8      8      609    25121    38746  FOELOST=29807 FOESEEN=38746 OWNSEEN=25121  GAD p1 off=18 def=8 sig=15 | p2 off=5 def=4 sig=14  DEFGAD p1=wall_2 p2=wall_2  WIPE n=96 reach=37168 cred=71883 paid=23101 altkill=37168 altcost=22970 altdiff=1  block=509 wiper=99 =1  | block=1530 wait=1130 critical=1054 watch=816 wipe=742 free=40 outmatched=35
68    Green    1           7999    17619        0      8      7      502     9114    16740  FOELOST=50808 FOESEEN=51525 OWNSEEN=9114  GAD p1 off=24 def=16 sig=16 | p2 off=11 def=20 sig=1  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=37 reach=17165 cred=77720 paid=7719 altkill=17148 altcost=7656 altdiff=1  block=465 wiper=37  | watch=2985 block=1330 critical=1284 free=425 outmatched=340 wait=230 wipe=182
69    White    1           7547     2000        0      8      5        0        0     1981  FOELOST=1965 FOESEEN=1981 OWNSEEN=50260  GAD p1 off=11 def=23 sig=6 | p2 off=13 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4502
70    Green    2           4124        0     1707      4      6      148      739     3448  FOELOST=1782 FOESEEN=5968 OWNSEEN=769  GAD p1 off=4 def=6 sig=4 | p2 off=6 def=12 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=23 reach=1305 cred=40512 paid=614 altkill=1305 altcost=614 altdiff=0  block=125 wiper=23  | watch=2030 critical=637 wait=130 wipe=120 outmatched=40 block=20
71    White    1           8152    34367        0      8      8      438     9087    26269  FOELOST=26269 FOESEEN=26269 OWNSEEN=9087  GAD p1 off=22 def=22 sig=19 | p2 off=12 def=26 sig=14  DEFGAD p1=speed_3 p2=speed_3  WIPE n=26 reach=12790 cred=32768 paid=8675 altkill=12790 altcost=8675 altdiff=0  block=412 wiper=26  | watch=2012 block=1513 critical=613 outmatched=339 free=135 wipe=125 wait=69
72    Green    1           8089    60868        0      8      8      383     8196    26256  FOELOST=26191 FOESEEN=26256 OWNSEEN=8196  GAD p1 off=8 def=7 sig=11 | p2 off=20 def=5 sig=19  DEFGAD p1=wall_2 p2=heal  WIPE n=66 reach=13042 cred=25077 paid=7576 altkill=13042 altcost=7576 altdiff=0  block=313 wiper=69 =1  | watch=1934 block=820 critical=784 wait=690 wipe=325 free=130 outmatched=85
73    White    1           8009    32417        0      8      8      207     2633    27588  FOELOST=25290 FOESEEN=27588 OWNSEEN=2633  GAD p1 off=11 def=10 sig=11 | p2 off=19 def=26 sig=10  DEFGAD p1=heal_2 p2=speed_3  WIPE n=34 reach=5406 cred=9567 paid=2114 altkill=5406 altcost=2114 altdiff=0  block=173 wiper=34  | watch=1544 block=1054 wait=1035 free=539 critical=259 wipe=169 outmatched=65
74    Orange   1          15555    34381        0      8      7     1086     4281    87184  FOELOST=87179 FOESEEN=87184 OWNSEEN=315286  GAD p1 off=39 def=47 sig=22 | p2 off=13 def=16 sig=26  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=49 reach=3993 cred=18964 paid=3244 altkill=3993 altcost=3244 altdiff=0  block=1037 wiper=49  | watch=6803 block=4137 wait=1510 critical=1093 free=335 wipe=242 outmatched=60
75    Yellow   1           7699     9658        0      8      8      411     5867    23390  FOELOST=23090 FOESEEN=23390 OWNSEEN=5867  GAD p1 off=8 def=22 sig=15 | p2 off=5 def=24 sig=5  DEFGAD p1=speed_3 p2=speed_3  WIPE n=53 reach=7377 cred=73594 paid=4793 altkill=7377 altcost=4793 altdiff=0  block=358 wiper=53  | block=1088 critical=908 watch=900 wait=625 free=560 wipe=264
76    Orange   1           8209    27689        0      8      8      398     5408    70317  FOELOST=49510 FOESEEN=70317 OWNSEEN=5408  GAD p1 off=11 def=9 sig=9 | p2 off=10 def=5 sig=15  DEFGAD p1=wall_2 p2=wall_2  WIPE n=47 reach=7459 cred=27956 paid=4724 altkill=7459 altcost=4724 altdiff=0  block=348 wiper=49 =1  | watch=1253 block=1136 critical=943 wait=810 free=450 wipe=239 outmatched=60
77    Yellow   2           9705        0     2000      7      8      759    27134    37434  FOELOST=113035 FOESEEN=136269 OWNSEEN=27134  GAD p1 off=16 def=10 sig=16 | p2 off=14 def=30 sig=2  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=99 reach=56813 cred=289029 paid=24534 altkill=56813 altcost=24534 altdiff=0  block=657 wiper=101 =1  | watch=2905 critical=2901 outmatched=915 wait=755 block=508 wipe=492 free=5
78    Orange   1           8239    19468        0      8      8      470     2487    42872  FOELOST=41917 FOESEEN=42872 OWNSEEN=2487  GAD p1 off=23 def=8 sig=19 | p2 off=14 def=4 sig=13  DEFGAD p1=heal_2 p2=wall_2  WIPE n=52 reach=4558 cred=29583 paid=2069 altkill=4558 altcost=2069 altdiff=0  block=418 wiper=52  | watch=1340 block=1335 critical=868 wait=604 free=465 wipe=257 outmatched=5
79    Yellow   2           5489        0    11937      5      7      149     2457    15911  FOELOST=7821 FOESEEN=40306 OWNSEEN=4617  GAD p1 off=10 def=13 sig=4 | p2 off=10 def=17 sig=10  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=32 reach=4746 cred=101127 paid=2223 altkill=4746 altcost=2223 altdiff=0  block=117 wiper=32  | watch=2315 wait=1050 critical=587 outmatched=210 wipe=159 block=20
80    Purple   2           9055        0    23000      8      8      541    12074    25764  FOELOST=18899 FOESEEN=25764 OWNSEEN=12074  GAD p1 off=19 def=28 sig=18 | p2 off=16 def=2 sig=18  DEFGAD p1=speed_3 p2=wall  WIPE n=73 reach=16493 cred=69643 paid=11606 altkill=16493 altcost=11606 altdiff=0  block=468 wiper=73  | block=1599 watch=1420 wait=939 critical=844 outmatched=535 wipe=359 free=15
81    Black    2           8059        0    43701      8      8      630    11533    61190  FOELOST=30875 FOESEEN=61190 OWNSEEN=11533  GAD p1 off=23 def=6 sig=14 | p2 off=23 def=9 sig=16  DEFGAD p1=wall_2 p2=heal_2  WIPE n=25 reach=15350 cred=22521 paid=10934 altkill=15350 altcost=10934 altdiff=0  block=603 wiper=26 =1  | block=1939 watch=1337 critical=1046 wait=560 wipe=124 outmatched=10 free=5
82    Purple   1           9260    35449        0      8      7      497    29815    62342  FOELOST=61393 FOESEEN=62342 OWNSEEN=29815  GAD p1 off=10 def=14 sig=11 | p2 off=9 def=27 sig=13  DEFGAD p1=heal_2 p2=speed_3  WIPE n=43 reach=35650 cred=156081 paid=28907 altkill=35650 altcost=28907 altdiff=0  block=454 wiper=43  | watch=1549 block=1291 critical=1076 outmatched=855 free=565 wait=360 wipe=216
83    Black    2           7531        0    23729      5      7      229     3232    34412  FOELOST=8637 FOESEEN=34412 OWNSEEN=6112  GAD p1 off=12 def=15 sig=8 | p2 off=10 def=8 sig=19  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=37 reach=3359 cred=14583 paid=2656 altkill=3300 altcost=2597 altdiff=1  block=192 wiper=37  | watch=3037 wait=1834 critical=976 wipe=185 outmatched=40
84    Purple   1           9822     9750        0      8      7      249     2784    38708  FOELOST=19230 FOESEEN=38708 OWNSEEN=129504  GAD p1 off=25 def=30 sig=15 | p2 off=17 def=28 sig=15  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=16 reach=4648 cred=9172 paid=1852 altkill=4648 altcost=1852 altdiff=0  block=233 wiper=16  | watch=5154 wait=825 block=761 critical=421 free=265 wipe=79
85    Blue     2           6596        0    20699      8      7      433    12605    43058  FOELOST=23523 FOESEEN=43058 OWNSEEN=12605  GAD p1 off=7 def=18 sig=13 | p2 off=8 def=1 sig=10  DEFGAD p1=speed_2 p2=wall  WIPE n=63 reach=32026 cred=366375 paid=11495 altkill=32026 altcost=11495 altdiff=0  block=370 wiper=63  | critical=1843 watch=540 wait=400 wipe=314 outmatched=135 block=29
86    Red      1          10729    29000        0      8      7      648    41022    15794  FOELOST=100651 FOESEEN=107459 OWNSEEN=41022  GAD p1 off=19 def=14 sig=13 | p2 off=18 def=30 sig=14  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=48 reach=83471 cred=306205 paid=39850 altkill=83471 altcost=39850 altdiff=0  block=596 wiper=51 =1  | watch=4108 block=2165 critical=1538 wait=714 free=525 wipe=248 outmatched=210
87    Blue     2           8962        0     2000      8      8      695    11764    89455  FOELOST=23702 FOESEEN=89455 OWNSEEN=11764  GAD p1 off=19 def=14 sig=18 | p2 off=19 def=1 sig=15  DEFGAD p1=heal_2 p2=wall  WIPE n=82 reach=16750 cred=283369 paid=11151 altkill=17125 altcost=11273 altdiff=6  block=613 wiper=82  | critical=1625 block=1445 wait=975 watch=935 wipe=410 outmatched=195
88    Red      2           6136        0    12000      5      7      168      834    17295  FOELOST=6042 FOESEEN=39270 OWNSEEN=3159  GAD p1 off=12 def=15 sig=9 | p2 off=12 def=18 sig=0  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=26 reach=1246 cred=94393 paid=692 altkill=1246 altcost=692 altdiff=0  block=142 wiper=26  | watch=3040 wait=850 critical=557 block=279 wipe=130 outmatched=70
89    Blue     2           6738        0     2000      8      7      297     2501    36726  FOELOST=6562 FOESEEN=36726 OWNSEEN=2501  GAD p1 off=8 def=19 sig=10 | p2 off=11 def=1 sig=10  DEFGAD p1=speed_2 p2=wall  WIPE n=42 reach=3062 cred=231956 paid=1991 altkill=3062 altcost=1991 altdiff=0  block=255 wiper=42  | critical=1066 watch=880 wait=700 block=429 wipe=212 outmatched=95
90    Red      2           7837        0    36089      8      8      347    11482    58947  FOELOST=14028 FOESEEN=58947 OWNSEEN=11482  GAD p1 off=16 def=5 sig=11 | p2 off=9 def=3 sig=15  DEFGAD p1=wall_2 p2=heal  WIPE n=37 reach=23990 cred=47385 paid=10567 altkill=23990 altcost=10567 altdiff=0  block=307 wiper=39 =1  | wait=1714 critical=1250 watch=819 outmatched=535 block=297 wipe=189
91    Green    1           8629    33086        0      8      8      451     2772    26811  FOELOST=24494 FOESEEN=26811 OWNSEEN=2772  GAD p1 off=23 def=4 sig=15 | p2 off=6 def=26 sig=15  DEFGAD p1=wall_2 p2=speed_3  WIPE n=29 reach=6788 cred=8032 paid=2354 altkill=6788 altcost=2354 altdiff=0  block=420 wiper=30 =1  | watch=2137 block=1168 critical=948 free=665 wait=235 wipe=148
92    White    2           6684        0    23000      8      8      359     4807    10251  FOELOST=7462 FOESEEN=10251 OWNSEEN=4807  GAD p1 off=6 def=10 sig=13 | p2 off=8 def=4 sig=17  DEFGAD p1=heal_2 p2=heal  WIPE n=54 reach=4559 cred=18969 paid=3892 altkill=4559 altcost=3892 altdiff=0  block=305 wiper=54  | critical=1231 watch=615 outmatched=505 block=439 wait=300 wipe=274
93    Green    1           9169    10731        0      8      7      155     1762    11277  FOELOST=11277 FOESEEN=11277 OWNSEEN=81597  GAD p1 off=14 def=28 sig=10 | p2 off=15 def=26 sig=14  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=19 reach=2657 cred=3970 paid=1490 altkill=2657 altcost=1490 altdiff=0  block=136 wiper=19  | watch=5887 block=512 wait=475 free=210 critical=180 wipe=94
94    White    0           8779        0        0      8      8      335     8558    34415  FOELOST=31531 FOESEEN=34415 OWNSEEN=8558  GAD p1 off=25 def=22 sig=14 | p2 off=13 def=8 sig=18  DEFGAD p1=speed_3 p2=heal_2  WIPE n=66 reach=12567 cred=19081 paid=7482 altkill=12567 altcost=7482 altdiff=0  block=269 wiper=66  | watch=1872 wait=865 free=750 block=724 critical=645 wipe=322 outmatched=260
95    Green    2           6430        0    34000      6      7      247     2971     9627  FOELOST=4850 FOESEEN=24397 OWNSEEN=2971  GAD p1 off=5 def=6 sig=12 | p2 off=12 def=17 sig=6  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=51 reach=6795 cred=101471 paid=2781 altkill=7126 altcost=3095 altdiff=1  block=194 wiper=52 =1  | watch=3140 critical=912 wait=765 wipe=254 outmatched=95 block=49
96    Yellow   2           7517        0     2000      8      7      420     2328    50004  FOELOST=5765 FOESEEN=50004 OWNSEEN=2328  GAD p1 off=10 def=8 sig=12 | p2 off=15 def=1 sig=12  DEFGAD p1=heal_2 p2=wall  WIPE n=51 reach=2602 cred=321825 paid=1590 altkill=2602 altcost=1590 altdiff=0  block=369 wiper=51  | critical=2175 watch=885 wait=740 wipe=253 block=84 outmatched=60
97    Orange   2           4953        0    12000      4      6      108      925     4911  FOELOST=2640 FOESEEN=7531 OWNSEEN=1415  GAD p1 off=4 def=8 sig=4 | p2 off=10 def=14 sig=4  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=23 reach=1992 cred=13630 paid=840 altkill=2042 altcost=865 altdiff=1  block=85 wiper=23  | watch=2720 critical=432 wait=270 outmatched=185 wipe=120 block=20
98    Yellow   2          12409        0    66000      8      8      858     4269    54949  FOELOST=54824 FOESEEN=54949 OWNSEEN=209784  GAD p1 off=32 def=36 sig=16 | p2 off=13 def=6 sig=23  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=52 reach=7461 cred=19396 paid=3463 altkill=7461 altcost=3463 altdiff=0  block=806 wiper=52  | watch=5600 block=3300 wait=974 critical=725 wipe=267
99    Orange   1           8539     3010        0      8      7      589    51124    35952  FOELOST=101873 FOESEEN=109167 OWNSEEN=51124  GAD p1 off=15 def=28 sig=17 | p2 off=7 def=26 sig=4  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=50 reach=55190 cred=347678 paid=49507 altkill=55190 altcost=49507 altdiff=0  block=539 wiper=50  | watch=3395 critical=2503 wait=530 block=431 wipe=249 free=140 outmatched=65
100   Yellow   1           8300    67000        0      8      8      399     6573    18406  FOELOST=18406 FOESEEN=18406 OWNSEEN=6573  GAD p1 off=17 def=5 sig=11 | p2 off=11 def=27 sig=15  DEFGAD p1=wall_2 p2=speed_3  WIPE n=29 reach=16139 cred=23906 paid=5478 altkill=16139 altcost=5478 altdiff=0  block=367 wiper=31 =1  | critical=1661 outmatched=1190 wait=934 watch=538 free=325 block=178 wipe=143
101   Orange   2           8254        0    34000      8      8      524   108813   105951  FOELOST=30708 FOESEEN=105951 OWNSEEN=108813  GAD p1 off=23 def=10 sig=14 | p2 off=10 def=11 sig=16  DEFGAD p1=heal_2 p2=heal_2  WIPE n=55 reach=219195 cred=496727 paid=106937 altkill=219195 altcost=106937 altdiff=0  block=469 wiper=55  | critical=2304 watch=1348 wait=885 outmatched=290 wipe=278 block=72 free=40
102   Black    1           6256     1500        0      7      5        0        0     1544  FOELOST=1516 FOESEEN=1544 OWNSEEN=25935  GAD p1 off=5 def=17 sig=11 | p2 off=8 def=12 sig=4  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4500
103   Purple   2           8231        0     9696      8      8      353     9827    63065  FOELOST=18620 FOESEEN=63065 OWNSEEN=9827  GAD p1 off=11 def=23 sig=8 | p2 off=15 def=11 sig=21  DEFGAD p1=speed_3 p2=heal_2  WIPE n=52 reach=17459 cred=55762 paid=9225 altkill=18755 altcost=10070 altdiff=1  block=301 wiper=52  | watch=1584 block=949 critical=948 wait=585 wipe=353 free=290 outmatched=195
104   Black    1           8711    12000        0      8      8      656     3675    31073  FOELOST=31073 FOESEEN=31073 OWNSEEN=3675  GAD p1 off=24 def=4 sig=17 | p2 off=24 def=28 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=19 reach=5663 cred=6845 paid=3042 altkill=5663 altcost=3042 altdiff=0  block=636 wiper=19 =1  | block=2445 watch=1674 critical=748 wait=305 wipe=93 free=85
105   Purple   1           8419     3589        0      8      8      557     5242    86717  FOELOST=86657 FOESEEN=86717 OWNSEEN=5242  GAD p1 off=11 def=11 sig=20 | p2 off=18 def=3 sig=15  DEFGAD p1=wall_3 p2=wall_2  WIPE n=62 reach=7548 cred=83106 paid=4758 altkill=7548 altcost=4758 altdiff=0  block=492 wiper=64 =1  | critical=1632 watch=1158 wait=810 block=796 free=375 wipe=312
106   Black    2           6223        0     1500      5      7      203     1820    17560  FOELOST=6956 FOESEEN=38245 OWNSEEN=1820  GAD p1 off=10 def=8 sig=8 | p2 off=5 def=18 sig=5  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=32 reach=3054 cred=64495 paid=1478 altkill=3054 altcost=1478 altdiff=0  block=171 wiper=32  | watch=3115 critical=845 wait=800 wipe=170 block=50 outmatched=35
107   Red      2           6412        0     1500      5      7      292     2516    14467  FOELOST=6095 FOESEEN=14467 OWNSEEN=5396  GAD p1 off=6 def=15 sig=6 | p2 off=5 def=1 sig=11  DEFGAD p1=reinforcements_3 p2=wall  WIPE n=50 reach=3911 cred=91894 paid=1790 altkill=3886 altcost=1595 altdiff=5  block=242 wiper=50  | watch=2515 critical=1333 wait=790 wipe=249 outmatched=135
108   Blue     2          11719        0    34000      7      8     1181    39943    79533  FOELOST=202164 FOESEEN=216798 OWNSEEN=39943  GAD p1 off=30 def=31 sig=16 | p2 off=17 def=36 sig=4  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=76 reach=86743 cred=240797 paid=38838 altkill=87043 altcost=37525 altdiff=2  block=1105 wiper=76  | critical=3147 watch=2986 block=2540 wait=889 outmatched=520 wipe=385
109   Red      1           7519    24970        0      8      8      298     3447    10408  FOELOST=9858 FOESEEN=10408 OWNSEEN=3447  GAD p1 off=10 def=6 sig=15 | p2 off=8 def=24 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=40 reach=4041 cred=7029 paid=2691 altkill=4041 altcost=2691 altdiff=0  block=254 wiper=43 =1  | watch=1629 block=866 critical=517 wait=500 free=420 wipe=205 outmatched=40
110   Blue     2           7495        0     2000      8      8      348     7257    29816  FOELOST=17633 FOESEEN=29816 OWNSEEN=7257  GAD p1 off=15 def=8 sig=8 | p2 off=11 def=9 sig=14  DEFGAD p1=heal_2 p2=heal_2  WIPE n=35 reach=11322 cred=27372 paid=6631 altkill=11322 altcost=6631 altdiff=0  block=313 wiper=35  | watch=2104 critical=1152 wait=575 block=447 wipe=173 outmatched=15
111   Red      1           6623    11610        0      7      6       11       66     2916  FOELOST=2912 FOESEEN=2916 OWNSEEN=36444  GAD p1 off=13 def=20 sig=11 | p2 off=10 def=18 sig=9  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=2 reach=168 cred=336 paid=30 altkill=168 altcost=30 altdiff=0  block=9 wiper=2  | watch=5003 wait=135 critical=49 wipe=10
112   Blue     2           7687        0    30717      5      8      300     3920    30809  FOELOST=20195 FOESEEN=30809 OWNSEEN=6245  GAD p1 off=10 def=15 sig=9 | p2 off=18 def=7 sig=15  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=67 reach=7148 cred=35630 paid=3687 altkill=7148 altcost=3687 altdiff=0  block=233 wiper=67  | watch=2700 wait=1790 critical=1117 wipe=332 block=84 outmatched=60
113   White    1           8419    18618        0      8      8      401     4111    24961  FOELOST=23469 FOESEEN=24961 OWNSEEN=4111  GAD p1 off=12 def=23 sig=12 | p2 off=18 def=27 sig=9  DEFGAD p1=speed_3 p2=speed_3  WIPE n=38 reach=15504 cred=20707 paid=3385 altkill=15504 altcost=3385 altdiff=0  block=363 wiper=38  | watch=2225 block=1799 wait=460 free=315 wipe=197 critical=59 outmatched=5
114   Green    1           9049    43000        0      8      8      770     4509    39067  FOELOST=34177 FOESEEN=39067 OWNSEEN=4509  GAD p1 off=25 def=8 sig=19 | p2 off=6 def=3 sig=23  DEFGAD p1=wall_2 p2=wall_2  WIPE n=29 reach=13270 cred=16005 paid=3776 altkill=13270 altcost=3776 altdiff=0  block=737 wiper=32 =1  | block=2359 critical=1464 watch=1064 free=475 wait=155 wipe=142 outmatched=45
115   White    1          11149     7510        0      8      8     1004    19044    56084  FOELOST=189163 FOESEEN=189969 OWNSEEN=19044  GAD p1 off=15 def=11 sig=20 | p2 off=14 def=34 sig=15  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=75 reach=48423 cred=199217 paid=18115 altkill=48423 altcost=18115 altdiff=0  block=929 wiper=75  | watch=3740 critical=3271 block=1722 wait=445 wipe=374 free=245 outmatched=125
116   Green    1           5845     2000        0      7      5       25       90     1356  FOELOST=1350 FOESEEN=1356 OWNSEEN=34815  GAD p1 off=10 def=18 sig=11 | p2 off=10 def=6 sig=4  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=1 reach=30 cred=55 paid=18 altkill=30 altcost=18 altdiff=0  block=24 wiper=1  | watch=4300 critical=119 wait=55 wipe=5 block=5
117   White    2           5069        0     1958      4      6      146     1441     5032  FOELOST=2910 FOESEEN=7652 OWNSEEN=1441  GAD p1 off=4 def=7 sig=5 | p2 off=8 def=14 sig=4  DEFGAD p1=speed_2 p2=reinforcements_2  WIPE n=30 reach=1514 cred=19574 paid=1093 altkill=1514 altcost=1093 altdiff=0  block=116 wiper=30  | watch=2524 critical=597 wait=340 outmatched=250 wipe=150
118   Green    1           8809    35421        0      8      8      510     8080    64148  FOELOST=62250 FOESEEN=64148 OWNSEEN=8080  GAD p1 off=13 def=27 sig=15 | p2 off=17 def=3 sig=14  DEFGAD p1=speed_3 p2=wall_2  WIPE n=98 reach=12267 cred=93240 paid=6432 altkill=12267 altcost=6432 altdiff=0  block=412 wiper=98  | block=1380 critical=1102 wait=935 outmatched=700 watch=575 wipe=491 free=265
119   Yellow   1           8539    20669        0      8      8      369     5204    25724  FOELOST=21980 FOESEEN=25724 OWNSEEN=5204  GAD p1 off=12 def=5 sig=21 | p2 off=18 def=14 sig=3  DEFGAD p1=wall_2 p2=heal_2  WIPE n=50 reach=6608 cred=29803 paid=4890 altkill=6608 altcost=4890 altdiff=0  block=316 wiper=52 =1  | watch=1879 critical=991 wait=795 block=723 free=550 wipe=252
120   Orange   2           5758        0     2000      7      7      185     1497    25411  FOELOST=8291 FOESEEN=25411 OWNSEEN=1497  GAD p1 off=8 def=7 sig=5 | p2 off=9 def=16 sig=6  DEFGAD p1=heal_2 p2=speed_2  WIPE n=33 reach=3062 cred=135031 paid=1193 altkill=3062 altcost=1193 altdiff=0  block=152 wiper=33  | wait=850 critical=629 watch=535 wipe=163 block=154 outmatched=80
121   Yellow   2           8920        0    89000      6      8      522    14381   167406  FOELOST=46747 FOESEEN=167406 OWNSEEN=30621  GAD p1 off=23 def=19 sig=11 | p2 off=20 def=11 sig=18  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=59 reach=27003 cred=179183 paid=13918 altkill=27003 altcost=13918 altdiff=0  block=463 wiper=59  | watch=2878 critical=2128 wait=1515 outmatched=370 wipe=293 block=193
122   Orange   1           9079    43915        0      8      8      318     5138    57809  FOELOST=38442 FOESEEN=57809 OWNSEEN=5138  GAD p1 off=14 def=25 sig=17 | p2 off=7 def=29 sig=17  DEFGAD p1=speed_3 p2=speed_3  WIPE n=14 reach=12669 cred=17268 paid=4834 altkill=12669 altcost=4834 altdiff=0  block=304 wiper=14  | watch=3061 block=1309 free=660 critical=377 outmatched=245 wipe=69 wait=30
123   Yellow   2           7954        0     1500      8      8      475     9030    73455  FOELOST=12008 FOESEEN=73455 OWNSEEN=9030  GAD p1 off=16 def=6 sig=13 | p2 off=5 def=5 sig=22  DEFGAD p1=wall_2 p2=heal  WIPE n=72 reach=13265 cred=82160 paid=8236 altkill=13265 altcost=8236 altdiff=0  block=400 wiper=74 =1  | critical=1150 watch=1099 wait=1040 block=864 wipe=353 outmatched=105 free=15
124   Purple   1           9769    30777        0      8      8      765     8325    39258  FOELOST=137682 FOESEEN=145563 OWNSEEN=8325  GAD p1 off=29 def=11 sig=16 | p2 off=14 def=30 sig=14  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=47 reach=12464 cred=22205 paid=6171 altkill=13084 altcost=6485 altdiff=1  block=718 wiper=47  | critical=3597 watch=2835 wait=950 outmatched=525 free=390 wipe=233 block=5
125   Black    2           7706        0    28463      8      8      429     4485    64512  FOELOST=14535 FOESEEN=64512 OWNSEEN=4485  GAD p1 off=12 def=11 sig=12 | p2 off=10 def=2 sig=19  DEFGAD p1=heal_2 p2=wall  WIPE n=104 reach=6576 cred=48077 paid=3185 altkill=6576 altcost=3185 altdiff=0  block=325 wiper=104  | critical=1194 wait=760 outmatched=745 watch=669 wipe=527 block=471 free=20
126   Purple   1           5580     2000        0      7      5       35      105     1003  FOELOST=3299 FOESEEN=3303 OWNSEEN=26566  GAD p1 off=10 def=18 sig=10 | p2 off=7 def=13 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=35  | watch=3934 critical=323 wait=85 outmatched=30
127   Black    1           8899    27547        0      8      7      631     7209    31326  FOELOST=31214 FOESEEN=31326 OWNSEEN=7209  GAD p1 off=18 def=26 sig=10 | p2 off=14 def=4 sig=12  DEFGAD p1=speed_3 p2=wall_2  WIPE n=73 reach=8851 cred=92162 paid=6093 altkill=8851 altcost=6093 altdiff=0  block=558 wiper=73  | critical=1665 block=1618 watch=848 wait=720 wipe=573 outmatched=65 free=65
128   Purple   2           5905        0     1365      4      6      264     1900     9468  FOELOST=4865 FOESEEN=18633 OWNSEEN=1900  GAD p1 off=5 def=3 sig=4 | p2 off=13 def=16 sig=3  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=39 reach=2341 cred=31013 paid=1678 altkill=2418 altcost=1703 altdiff=1  block=222 wiper=41 =1  | watch=2600 critical=1177 wait=490 outmatched=225 wipe=195 block=10
129   Black    1           8389    28488        0      8      8      428     5995    62045  FOELOST=61970 FOESEEN=62045 OWNSEEN=5995  GAD p1 off=12 def=11 sig=20 | p2 off=16 def=27 sig=12  DEFGAD p1=heal_2 p2=speed_3  WIPE n=40 reach=8730 cred=25280 paid=5607 altkill=8795 altcost=5648 altdiff=1  block=388 wiper=40  | watch=1650 block=1394 critical=685 wait=670 free=435 wipe=197
130   Red      1          10523     6936        0      8      8      827     5033    47982  FOELOST=47965 FOESEEN=47982 OWNSEEN=116678  GAD p1 off=22 def=32 sig=8 | p2 off=6 def=12 sig=17  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=31 reach=3855 cred=32505 paid=3441 altkill=3855 altcost=3441 altdiff=0  block=796 wiper=31  | watch=3295 block=2688 critical=1549 wait=1060 free=268 wipe=153 outmatched=30
