BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7489    28734        0      8      8      215     4207    23161  FOELOST=20479 FOESEEN=23161 OWNSEEN=4207  GAD p1 off=9 def=23 sig=15 | p2 off=13 def=2 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=32 reach=9306 cred=17516 paid=3658 altkill=9463 altcost=3736 altdiff=1  block=183 wiper=32  | watch=1645 wait=945 block=553 critical=395 free=375 wipe=163 outmatched=65
66    Blue     2          10271        0    42082      8      8      694     5499    36989  FOELOST=53420 FOESEEN=140484 OWNSEEN=5499  GAD p1 off=18 def=30 sig=16 | p2 off=13 def=32 sig=13  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=29 reach=5673 cred=24077 paid=3504 altkill=6644 altcost=3882 altdiff=2  block=665 wiper=29  | watch=3224 critical=3156 wait=1224 outmatched=780 block=484 wipe=154 free=25
67    Red      2           9229        0    17659      8      8      522     9767    39677  FOELOST=37810 FOESEEN=39677 OWNSEEN=9767  GAD p1 off=20 def=10 sig=16 | p2 off=5 def=4 sig=16  DEFGAD p1=wall_3 p2=wall_2  WIPE n=75 reach=12660 cred=26899 paid=8019 altkill=11125 altcost=6099 altdiff=3  block=444 wiper=77 =1  | wait=1460 critical=1181 free=1070 block=1043 watch=717 wipe=377 outmatched=25
68    Green    1           7888    38844        0      8      6      567    19648    16992  FOELOST=51757 FOESEEN=51777 OWNSEEN=19648  GAD p1 off=24 def=18 sig=15 | p2 off=11 def=20 sig=1  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=41 reach=36421 cred=114665 paid=18070 altkill=36404 altcost=18007 altdiff=1  block=526 wiper=41  | watch=2868 critical=1833 block=931 free=365 outmatched=245 wait=215 wipe=201
69    White    1           7547     2000        0      8      5        0        0     1981  FOELOST=1965 FOESEEN=1981 OWNSEEN=50260  GAD p1 off=11 def=23 sig=6 | p2 off=13 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4502
70    Green    2           4124        0     1707      4      6      148      739     3448  FOELOST=1782 FOESEEN=5968 OWNSEEN=769  GAD p1 off=4 def=6 sig=4 | p2 off=6 def=12 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=23 reach=1287 cred=40512 paid=614 altkill=1305 altcost=614 altdiff=0  block=125 wiper=23  | watch=2030 critical=637 wait=130 wipe=120 outmatched=40 block=20
71    White    1           8687    35919        0      8      7      539    47537    49865  FOELOST=49861 FOESEEN=49865 OWNSEEN=47537  GAD p1 off=24 def=24 sig=20 | p2 off=13 def=26 sig=12  DEFGAD p1=speed_3 p2=speed_3  WIPE n=29 reach=51275 cred=322218 paid=47027 altkill=51275 altcost=47027 altdiff=0  block=510 wiper=29  | watch=1805 critical=1713 block=1157 outmatched=349 wait=154 wipe=146 free=10
72    Green    1           8239    26604        0      8      8      453     5381    39014  FOELOST=17625 FOESEEN=39014 OWNSEEN=5381  GAD p1 off=9 def=8 sig=12 | p2 off=19 def=9 sig=21  DEFGAD p1=wall_2 p2=heal_2  WIPE n=44 reach=5656 cred=18636 paid=4579 altkill=6472 altcost=4713 altdiff=1  block=407 wiper=45 =1  | watch=1404 critical=1292 block=822 wait=645 free=425 wipe=214 outmatched=110
73    White    1           8029    25328        0      8      8      212     1925    27525  FOELOST=22458 FOESEEN=27525 OWNSEEN=1925  GAD p1 off=11 def=8 sig=11 | p2 off=18 def=25 sig=10  DEFGAD p1=heal_2 p2=speed_3  WIPE n=21 reach=4658 cred=6781 paid=1352 altkill=5030 altcost=1627 altdiff=2  block=191 wiper=21  | watch=1734 wait=1060 block=954 free=710 wipe=103 critical=100 outmatched=25
74    Orange   1          13399    39172        0      8      8      897     1839    98583  FOELOST=98573 FOESEEN=98583 OWNSEEN=245714  GAD p1 off=35 def=40 sig=20 | p2 off=14 def=13 sig=23  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=26 reach=1553 cred=4073 paid=968 altkill=1588 altcost=976 altdiff=2  block=871 wiper=26  | watch=4869 block=4032 wait=1680 critical=686 free=390 outmatched=245 wipe=128
75    Yellow   1           7579    18153        0      8      8      268     3529    40316  FOELOST=38257 FOESEEN=40316 OWNSEEN=3529  GAD p1 off=10 def=21 sig=15 | p2 off=5 def=23 sig=5  DEFGAD p1=speed_2 p2=speed_3  WIPE n=31 reach=7139 cred=15160 paid=2818 altkill=7149 altcost=2818 altdiff=0  block=237 wiper=31  | watch=1345 wait=1005 block=890 free=510 critical=326 wipe=152
76    Orange   1           8149    19605        0      8      8      186      956    19187  FOELOST=14869 FOESEEN=19187 OWNSEEN=956  GAD p1 off=11 def=10 sig=10 | p2 off=7 def=3 sig=14  DEFGAD p1=wall_3 p2=wall_2  WIPE n=16 reach=690 cred=3875 paid=636 altkill=715 altcost=362 altdiff=1  block=167 wiper=18 =1  | watch=2242 wait=809 block=619 free=549 critical=460 wipe=82 outmatched=70
77    Yellow   2           9728        0     2000      7      8      738    16808    39289  FOELOST=120840 FOESEEN=138124 OWNSEEN=16808  GAD p1 off=16 def=11 sig=17 | p2 off=14 def=30 sig=1  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=65 reach=35134 cred=179981 paid=14160 altkill=35922 altcost=14182 altdiff=2  block=670 wiper=67 =1  | critical=3142 watch=2935 outmatched=925 wait=750 block=423 wipe=327
78    Orange   1           8239     6702        0      8      8      376     3219    22463  FOELOST=21992 FOESEEN=22463 OWNSEEN=3219  GAD p1 off=23 def=8 sig=16 | p2 off=11 def=2 sig=10  DEFGAD p1=heal_2 p2=wall  WIPE n=42 reach=4567 cred=16677 paid=2885 altkill=4617 altcost=2909 altdiff=2  block=334 wiper=42  | watch=1630 block=1015 free=720 critical=660 wait=644 wipe=209
79    Yellow   2           5372        0    11937      5      7      150     1876    10557  FOELOST=7266 FOESEEN=34952 OWNSEEN=4036  GAD p1 off=9 def=13 sig=5 | p2 off=10 def=17 sig=10  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=24 reach=2697 cred=83959 paid=1624 altkill=2865 altcost=1624 altdiff=0  block=126 wiper=24  | watch=2225 wait=1020 critical=631 outmatched=210 wipe=119 block=20
80    Purple   2           9508        0    12000      8      8      605    16666    38446  FOELOST=35320 FOESEEN=38446 OWNSEEN=16666  GAD p1 off=21 def=28 sig=18 | p2 off=19 def=1 sig=18  DEFGAD p1=speed_3 p2=wall  WIPE n=80 reach=22027 cred=79166 paid=16141 altkill=24113 altcost=17238 altdiff=6  block=525 wiper=80  | outmatched=1879 block=1564 critical=1057 watch=800 wipe=401 wait=374 free=85
81    Black    2           7769        0    34000      8      8      450     7155    30836  FOELOST=24758 FOESEEN=30836 OWNSEEN=7155  GAD p1 off=21 def=6 sig=13 | p2 off=22 def=6 sig=15  DEFGAD p1=wall_2 p2=heal  WIPE n=21 reach=8630 cred=20210 paid=6732 altkill=9080 altcost=6912 altdiff=2  block=424 wiper=25 =1  | watch=1516 block=1293 critical=1170 wait=640 wipe=102 outmatched=15
82    Purple   1           9229    35423        0      8      8      501    28751    54875  FOELOST=52511 FOESEEN=54875 OWNSEEN=28751  GAD p1 off=8 def=11 sig=11 | p2 off=9 def=27 sig=13  DEFGAD p1=heal_2 p2=speed_3  WIPE n=24 reach=36348 cred=95951 paid=27797 altkill=37392 altcost=27913 altdiff=2  block=477 wiper=24  | block=1738 watch=1560 critical=1020 wait=515 outmatched=505 free=430 wipe=117
83    Black    2          10968        0    19142      7      8      578     4255    67566  FOELOST=22074 FOESEEN=67566 OWNSEEN=82980  GAD p1 off=18 def=26 sig=15 | p2 off=12 def=14 sig=29  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=20 reach=4995 cred=32529 paid=2581 altkill=4995 altcost=2581 altdiff=0  block=558 wiper=20  | watch=3402 critical=2773 wait=2619 outmatched=484 block=120 wipe=97
84    Purple   1           9806     9427        0      8      7      261     1137    39164  FOELOST=19748 FOESEEN=39164 OWNSEEN=127857  GAD p1 off=25 def=30 sig=16 | p2 off=17 def=27 sig=15  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=10 reach=284 cred=1715 paid=133 altkill=284 altcost=133 altdiff=0  block=251 wiper=10  | watch=5374 block=748 wait=560 critical=500 free=260 wipe=48
85    Blue     2           7112        0    17824      8      7      542    11569    57646  FOELOST=19197 FOESEEN=57646 OWNSEEN=11569  GAD p1 off=9 def=21 sig=14 | p2 off=9 def=1 sig=11  DEFGAD p1=speed_2 p2=wall  WIPE n=69 reach=31734 cred=548582 paid=10150 altkill=31789 altcost=10150 altdiff=0  block=473 wiper=69  | critical=2332 watch=540 wait=440 wipe=350 outmatched=80 block=29
86    Red      1          10669    31021        0      8      7      678    35733    23199  FOELOST=108774 FOESEEN=114864 OWNSEEN=35733  GAD p1 off=19 def=14 sig=13 | p2 off=18 def=30 sig=11  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=39 reach=44755 cred=271276 paid=34483 altkill=57108 altcost=38088 altdiff=4  block=635 wiper=42 =1  | watch=4069 block=1941 critical=1752 free=585 wait=560 outmatched=350 wipe=193
87    Blue     2           8967        0     2000      8      8      683    10852   126920  FOELOST=24144 FOESEEN=126920 OWNSEEN=10852  GAD p1 off=19 def=10 sig=19 | p2 off=18 def=3 sig=15  DEFGAD p1=heal_2 p2=wall_2  WIPE n=66 reach=16419 cred=459901 paid=10235 altkill=16809 altcost=10455 altdiff=6  block=617 wiper=66  | critical=1627 block=1589 wait=1025 watch=710 wipe=326 outmatched=320
88    Red      2           6299        0    12000      5      7      207      993    21723  FOELOST=13135 FOESEEN=50103 OWNSEEN=3318  GAD p1 off=14 def=15 sig=8 | p2 off=13 def=19 sig=0  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=21 reach=3345 cred=52333 paid=807 altkill=3345 altcost=807 altdiff=0  block=186 wiper=21  | watch=3000 wait=855 critical=758 block=279 wipe=105 outmatched=90
89    Blue     2           8780        0     2000      7      7      620    43934    79074  FOELOST=45612 FOESEEN=79074 OWNSEEN=43934  GAD p1 off=12 def=26 sig=15 | p2 off=17 def=1 sig=13  DEFGAD p1=speed_3 p2=wall  WIPE n=58 reach=45104 cred=629553 paid=42810 altkill=45119 altcost=42810 altdiff=0  block=562 wiper=58  | critical=2763 watch=1180 wait=715 block=311 wipe=286 outmatched=155
90    Red      2           7521        0     1832      8      8      238     5044    25282  FOELOST=8375 FOESEEN=25282 OWNSEEN=5044  GAD p1 off=15 def=5 sig=10 | p2 off=7 def=1 sig=15  DEFGAD p1=wall_2 p2=heal  WIPE n=28 reach=14991 cred=35111 paid=4429 altkill=15768 altcost=4802 altdiff=2  block=205 wiper=32 =1  | wait=1820 critical=971 watch=775 outmatched=719 wipe=147 block=65
91    Green    1           8719    24970        0      8      8      507     1559    23731  FOELOST=22564 FOESEEN=23731 OWNSEEN=1559  GAD p1 off=24 def=5 sig=16 | p2 off=6 def=27 sig=14  DEFGAD p1=wall_2 p2=speed_3  WIPE n=16 reach=2759 cred=3914 paid=1073 altkill=2989 altcost=1163 altdiff=1  block=489 wiper=17 =1  | watch=1973 block=1272 critical=1183 wait=635 free=250 wipe=79
92    White    2           7049        0    23000      8      8      443     6298    13977  FOELOST=9279 FOESEEN=13977 OWNSEEN=6298  GAD p1 off=6 def=14 sig=14 | p2 off=9 def=6 sig=18  DEFGAD p1=heal_2 p2=heal  WIPE n=47 reach=6235 cred=28128 paid=5110 altkill=6290 altcost=5125 altdiff=1  block=396 wiper=47  | critical=1220 block=1006 watch=655 outmatched=325 wait=285 wipe=231
93    Green    1           9165    10984        0      8      7      109     1050    11139  FOELOST=11116 FOESEEN=11139 OWNSEEN=80885  GAD p1 off=14 def=28 sig=10 | p2 off=15 def=25 sig=14  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=10 reach=1942 cred=2622 paid=852 altkill=1942 altcost=852 altdiff=0  block=99 wiper=10  | watch=6088 wait=525 block=417 free=185 critical=90 wipe=49
94    White    1          10258    41794        0      8      8      725    69980   112475  FOELOST=110088 FOESEEN=112475 OWNSEEN=69980  GAD p1 off=28 def=30 sig=18 | p2 off=20 def=10 sig=25  DEFGAD p1=speed_3 p2=heal_2  WIPE n=74 reach=185032 cred=204842 paid=67376 altkill=185046 altcost=67376 altdiff=0  block=651 wiper=74  | critical=2082 watch=1548 block=1207 wait=740 free=513 outmatched=440 wipe=370
95    Green    2           6311        0    11600      5      7      256     1895     6982  FOELOST=4654 FOESEEN=21752 OWNSEEN=1895  GAD p1 off=5 def=6 sig=9 | p2 off=11 def=17 sig=6  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=39 reach=2705 cred=70356 paid=1684 altkill=3388 altcost=2045 altdiff=5  block=214 wiper=41 =1  | watch=3335 critical=1032 wait=390 wipe=194 outmatched=115 block=35
96    Yellow   1           8024    42880        0      8      8      345     4811    95535  FOELOST=91679 FOESEEN=95535 OWNSEEN=4811  GAD p1 off=11 def=10 sig=12 | p2 off=14 def=2 sig=14  DEFGAD p1=heal_2 p2=wall  WIPE n=31 reach=8368 cred=49822 paid=4183 altkill=8850 altcost=4271 altdiff=4  block=314 wiper=31  | watch=1825 block=1018 critical=737 wait=645 free=289 wipe=157 outmatched=30
97    Orange   2           6024        0    12000      4      7      140     1369    10302  FOELOST=5041 FOESEEN=25072 OWNSEEN=2089  GAD p1 off=4 def=9 sig=4 | p2 off=14 def=17 sig=5  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=25 reach=1938 cred=29039 paid=1254 altkill=1995 altcost=1279 altdiff=1  block=115 wiper=25  | watch=3100 wait=740 critical=584 outmatched=245 wipe=129 block=20
98    Yellow   2          12445        0    45000      8      8     1063     3215    50466  FOELOST=46445 FOESEEN=50466 OWNSEEN=208730  GAD p1 off=32 def=36 sig=17 | p2 off=11 def=7 sig=23  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=32 reach=6328 cred=13419 paid=2184 altkill=6353 altcost=2208 altdiff=1  block=1031 wiper=32  | block=4742 watch=4695 wait=884 critical=417 wipe=155
99    Orange   2           6671        0     1600      8      7      291    48298    20970  FOELOST=5198 FOESEEN=55755 OWNSEEN=48298  GAD p1 off=11 def=22 sig=13 | p2 off=4 def=20 sig=1  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=35 reach=50709 cred=252004 paid=47530 altkill=50724 altcost=47530 altdiff=0  block=256 wiper=35  | watch=3140 critical=1271 wait=445 block=332 wipe=189 outmatched=75
100   Yellow   1           8419    78000        0      8      8      450     3308    19438  FOELOST=18715 FOESEEN=19438 OWNSEEN=3308  GAD p1 off=17 def=6 sig=12 | p2 off=11 def=27 sig=15  DEFGAD p1=wall_2 p2=speed_3  WIPE n=30 reach=4843 cred=9582 paid=2066 altkill=5463 altcost=2498 altdiff=3  block=417 wiper=32 =1  | critical=1893 outmatched=1055 wait=949 watch=648 free=205 block=193 wipe=147
101   Orange   2           6177        0     2000      7      8      178     2648    46505  FOELOST=9167 FOESEEN=46505 OWNSEEN=2648  GAD p1 off=15 def=7 sig=10 | p2 off=6 def=7 sig=12  DEFGAD p1=heal_2 p2=heal_2  WIPE n=32 reach=6779 cred=54991 paid=2064 altkill=6779 altcost=2064 altdiff=0  block=146 wiper=32  | watch=1344 wait=805 critical=745 wipe=163 outmatched=95
102   Black    1           6256     1500        0      7      5        0        0     1544  FOELOST=1516 FOESEEN=1544 OWNSEEN=25935  GAD p1 off=5 def=17 sig=11 | p2 off=8 def=12 sig=4  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4500
103   Purple   2           8594        0    12000      8      8      350     9044    22258  FOELOST=21795 FOESEEN=22258 OWNSEEN=9044  GAD p1 off=12 def=24 sig=9 | p2 off=13 def=12 sig=21  DEFGAD p1=speed_3 p2=heal_2  WIPE n=51 reach=12850 cred=35924 paid=8446 altkill=12712 altcost=8172 altdiff=1  block=299 wiper=51  | watch=1544 block=1244 outmatched=790 critical=754 wait=520 wipe=263 free=150
104   Black    1           9079    20669        0      8      8      704     3327    39883  FOELOST=37031 FOESEEN=39883 OWNSEEN=3327  GAD p1 off=25 def=3 sig=19 | p2 off=25 def=29 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=17 reach=6032 cred=6508 paid=2643 altkill=6124 altcost=2643 altdiff=0  block=686 wiper=17 =1  | block=2693 watch=1363 critical=763 free=470 wait=340 wipe=85
105   Purple   1           8479    29899        0      8      8      599     9006    88171  FOELOST=88146 FOESEEN=88171 OWNSEEN=9006  GAD p1 off=11 def=10 sig=21 | p2 off=19 def=5 sig=15  DEFGAD p1=wall_3 p2=wall_2  WIPE n=57 reach=13014 cred=141528 paid=8474 altkill=13164 altcost=8486 altdiff=1  block=539 wiper=59 =1  | critical=1487 watch=1259 block=1185 wait=800 wipe=289 free=125
106   Black    2           6477        0     1500      5      7      240     2164    22118  FOELOST=7961 FOESEEN=48718 OWNSEEN=2164  GAD p1 off=10 def=8 sig=8 | p2 off=5 def=19 sig=5  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=20 reach=2904 cred=92099 paid=1724 altkill=2912 altcost=1681 altdiff=1  block=220 wiper=20  | watch=3075 critical=1075 wait=935 wipe=100 block=50 outmatched=35
107   Red      2           6232        0     1500      5      7      293     2694    26211  FOELOST=4194 FOESEEN=26211 OWNSEEN=5574  GAD p1 off=5 def=15 sig=6 | p2 off=5 def=1 sig=10  DEFGAD p1=reinforcements_3 p2=wall  WIPE n=47 reach=7400 cred=90256 paid=1956 altkill=8176 altcost=2408 altdiff=6  block=246 wiper=47  | watch=2515 critical=1237 wait=775 wipe=234 outmatched=80
108   Blue     2          11470        0    12000      7      8     1118    29830    69082  FOELOST=190700 FOESEEN=206347 OWNSEEN=29830  GAD p1 off=31 def=31 sig=16 | p2 off=17 def=36 sig=2  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=62 reach=59924 cred=170903 paid=28774 altkill=62645 altcost=28868 altdiff=2  block=1056 wiper=62  | critical=4144 watch=2761 block=1414 wait=805 outmatched=785 wipe=309
109   Red      1           7489    24970        0      8      8      163     1434     6670  FOELOST=5645 FOESEEN=6670 OWNSEEN=1434  GAD p1 off=10 def=9 sig=15 | p2 off=8 def=24 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=19 reach=2299 cred=17152 paid=1029 altkill=2770 altcost=1263 altdiff=3  block=141 wiper=21 =1  | block=1941 free=555 wait=550 watch=479 critical=292 wipe=194 outmatched=135
110   Blue     2           7458        0     9790      8      8      303     6968    25716  FOELOST=12365 FOESEEN=25716 OWNSEEN=6968  GAD p1 off=15 def=12 sig=8 | p2 off=13 def=7 sig=14  DEFGAD p1=heal_2 p2=heal_2  WIPE n=30 reach=9708 cred=21885 paid=6422 altkill=10734 altcost=6820 altdiff=2  block=273 wiper=30  | watch=2095 critical=1049 wait=765 block=339 wipe=158 outmatched=25
111   Red      1           6623    11610        0      7      6       11       66     2916  FOELOST=2912 FOESEEN=2916 OWNSEEN=36444  GAD p1 off=13 def=20 sig=11 | p2 off=10 def=18 sig=9  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=2 reach=168 cred=336 paid=30 altkill=168 altcost=30 altdiff=0  block=9 wiper=2  | watch=5003 wait=135 critical=49 wipe=10
112   Blue     2           7344        0    18694      5      8      334     3808    70573  FOELOST=18774 FOESEEN=70573 OWNSEEN=6133  GAD p1 off=8 def=15 sig=9 | p2 off=15 def=6 sig=14  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=41 reach=8396 cred=42489 paid=3515 altkill=8522 altcost=3565 altdiff=1  block=293 wiper=41  | watch=2300 critical=1638 wait=1515 wipe=205 outmatched=50 block=30
113   White    1           8359    25108        0      8      8      412     2428    67621  FOELOST=64955 FOESEEN=67621 OWNSEEN=2428  GAD p1 off=12 def=23 sig=12 | p2 off=17 def=26 sig=10  DEFGAD p1=speed_3 p2=speed_3  WIPE n=28 reach=8637 cred=15173 paid=1660 altkill=8733 altcost=1660 altdiff=0  block=384 wiper=28  | watch=1805 block=1723 free=560 wait=515 critical=259 wipe=143
114   Green    2           8607        0    29628      8      8      653     4489    29182  FOELOST=23619 FOESEEN=29182 OWNSEEN=4489  GAD p1 off=24 def=7 sig=18 | p2 off=5 def=4 sig=21  DEFGAD p1=wall_2 p2=wall_2  WIPE n=27 reach=14608 cred=56773 paid=3870 altkill=14863 altcost=3910 altdiff=2  block=624 wiper=28 =1  | watch=1699 block=1680 critical=1431 wait=200 wipe=136 free=95 outmatched=25
115   White    1          10849    20483        0      8      8     1060    12783    57465  FOELOST=177560 FOESEEN=184455 OWNSEEN=12783  GAD p1 off=13 def=8 sig=20 | p2 off=12 def=33 sig=15  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=48 reach=29237 cred=156590 paid=11771 altkill=29286 altcost=11771 altdiff=0  block=1012 wiper=48  | critical=4142 watch=3495 block=1181 wait=455 wipe=239 free=109 outmatched=5
116   Green    1           5781     2000        0      7      5       23       69     1316  FOELOST=1310 FOESEEN=1316 OWNSEEN=34794  GAD p1 off=10 def=18 sig=11 | p2 off=10 def=6 sig=4  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=1 reach=0 cred=55 paid=3 altkill=30 altcost=18 altdiff=1  block=22 wiper=1  | watch=4241 critical=109 wait=60 wipe=5 block=5
117   White    2           4884        0     1958      4      6      100     1322     4488  FOELOST=2418 FOESEEN=6980 OWNSEEN=1322  GAD p1 off=4 def=7 sig=5 | p2 off=7 def=14 sig=4  DEFGAD p1=speed_2 p2=reinforcements_2  WIPE n=21 reach=1552 cred=13689 paid=1085 altkill=1508 altcost=1036 altdiff=2  block=79 wiper=21  | watch=2524 critical=437 wait=360 outmatched=250 wipe=105
118   Green    1           9289    35819        0      8      8      628    26982   104761  FOELOST=104361 FOESEEN=104761 OWNSEEN=26982  GAD p1 off=14 def=28 sig=16 | p2 off=18 def=3 sig=15  DEFGAD p1=speed_3 p2=wall_2  WIPE n=103 reach=30088 cred=112872 paid=24882 altkill=30153 altcost=24751 altdiff=1  block=525 wiper=103  | critical=2120 wait=1515 watch=1059 block=565 wipe=508 free=85 outmatched=70
119   Yellow   1           8329    20669        0      8      8      264     1665    16043  FOELOST=11647 FOESEEN=16043 OWNSEEN=1665  GAD p1 off=11 def=7 sig=17 | p2 off=17 def=13 sig=1  DEFGAD p1=wall_2 p2=heal_2  WIPE n=23 reach=3013 cred=7048 paid=1431 altkill=3743 altcost=1854 altdiff=3  block=238 wiper=25 =1  | watch=2259 critical=785 wait=745 free=650 block=424 wipe=119
120   Orange   2           7257        0     2000      8      7      429     8537    45128  FOELOST=33067 FOESEEN=45128 OWNSEEN=8537  GAD p1 off=13 def=12 sig=8 | p2 off=15 def=23 sig=10  DEFGAD p1=heal_2 p2=speed_3  WIPE n=51 reach=18189 cred=217608 paid=7781 altkill=26684 altcost=8962 altdiff=1  block=378 wiper=51  | critical=1470 wait=845 watch=560 block=560 wipe=253 outmatched=210
121   Yellow   2           8190        0    34000      6      8      533     4727    78582  FOELOST=46732 FOESEEN=78582 OWNSEEN=24502  GAD p1 off=23 def=20 sig=11 | p2 off=18 def=13 sig=16  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=20 reach=14617 cred=168670 paid=4214 altkill=14617 altcost=4214 altdiff=0  block=513 wiper=20  | watch=2843 critical=2470 wait=945 block=188 wipe=100 outmatched=95
122   Orange   1           8955    41048        0      8      8      287     6293    46260  FOELOST=44269 FOESEEN=46260 OWNSEEN=6293  GAD p1 off=13 def=24 sig=17 | p2 off=10 def=29 sig=16  DEFGAD p1=speed_3 p2=speed_3  WIPE n=9 reach=11877 cred=13439 paid=6015 altkill=11973 altcost=6015 altdiff=0  block=278 wiper=9  | watch=2936 block=1162 free=775 critical=400 outmatched=280 wipe=45 wait=30
123   Yellow   2           7977        0     1500      8      8      448     4477    74733  FOELOST=11469 FOESEEN=74733 OWNSEEN=4477  GAD p1 off=15 def=9 sig=13 | p2 off=5 def=7 sig=22  DEFGAD p1=wall_2 p2=heal_2  WIPE n=50 reach=5716 cred=57916 paid=3699 altkill=7953 altcost=4485 altdiff=7  block=394 wiper=53 =1  | critical=1141 block=934 watch=829 outmatched=730 wait=725 wipe=252 free=35
124   Purple   1           9679    27804        0      8      8      734     5934    33867  FOELOST=125397 FOESEEN=140172 OWNSEEN=5934  GAD p1 off=29 def=9 sig=15 | p2 off=14 def=30 sig=14  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=33 reach=7173 cred=26684 paid=3831 altkill=7932 altcost=3949 altdiff=2  block=701 wiper=33  | critical=3310 watch=2835 wait=935 outmatched=575 free=425 block=200 wipe=168
125   Black    2           7200        0    28930      8      8      335     2345    13638  FOELOST=8340 FOESEEN=13638 OWNSEEN=2345  GAD p1 off=12 def=10 sig=11 | p2 off=8 def=1 sig=17  DEFGAD p1=heal_2 p2=wall  WIPE n=81 reach=3343 cred=27033 paid=1329 altkill=3347 altcost=1187 altdiff=1  block=254 wiper=81  | watch=959 critical=853 wait=615 outmatched=595 block=459 wipe=403
126   Purple   1           5580     2000        0      7      5       35      105     1003  FOELOST=3299 FOESEEN=3303 OWNSEEN=26566  GAD p1 off=10 def=18 sig=10 | p2 off=7 def=13 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=35  | watch=3934 critical=323 wait=85 outmatched=30
127   Black    2          10939        0    13383      8      7      753    20055    62968  FOELOST=62933 FOESEEN=62968 OWNSEEN=20055  GAD p1 off=25 def=29 sig=15 | p2 off=16 def=3 sig=14  DEFGAD p1=speed_3 p2=wall_2  WIPE n=78 reach=43982 cred=376530 paid=18705 altkill=44217 altcost=18751 altdiff=2  block=675 wiper=78  | critical=2501 watch=1649 block=1587 wait=860 free=585 wipe=392 outmatched=15
128   Purple   2           7015        0    32292      6      7      376     3082    29307  FOELOST=14816 FOESEEN=64092 OWNSEEN=3082  GAD p1 off=7 def=7 sig=11 | p2 off=19 def=20 sig=1  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=31 reach=22694 cred=199302 paid=2744 altkill=23494 altcost=2975 altdiff=2  block=344 wiper=31 =1  | watch=3443 critical=1666 wait=430 wipe=155 outmatched=70 block=35
129   Black    2           7656        0     2000      8      7      406    21445    29985  FOELOST=9884 FOESEEN=29985 OWNSEEN=21445  GAD p1 off=10 def=10 sig=20 | p2 off=16 def=24 sig=12  DEFGAD p1=heal_2 p2=speed_3  WIPE n=49 reach=25826 cred=225620 paid=21088 altkill=25916 altcost=21088 altdiff=0  block=357 wiper=49  | block=1710 watch=905 critical=721 wait=660 wipe=244 outmatched=65
130   Red      1           9920    20726        0      8      8      605     1723    58942  FOELOST=58942 FOESEEN=58942 OWNSEEN=100558  GAD p1 off=21 def=30 sig=6 | p2 off=6 def=14 sig=16  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=18 reach=692 cred=7906 paid=549 altkill=798 altcost=607 altdiff=1  block=587 wiper=18  | watch=4025 block=2823 wait=580 critical=466 free=455 wipe=88 outmatched=15
