BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7819    32669        0      8      8      356    10013    25540  FOELOST=22374 FOESEEN=25540 OWNSEEN=10013  GAD p1 off=11 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=97 reach=15606 cred=34106 paid=9236 altkill=15606 altcost=9236 altdiff=0  block=259 wiper=97  | watch=1440 block=1069 wait=855 wipe=491 free=355 critical=257
66    Blue     1          10159    37030        0      8      8      578    11720    36987  FOELOST=122051 FOESEEN=133384 OWNSEEN=11720  GAD p1 off=18 def=30 sig=16 | p2 off=12 def=31 sig=14  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=73 reach=15874 cred=74089 paid=10205 altkill=15874 altcost=10205 altdiff=0  block=505 wiper=73  | watch=3629 critical=2316 wait=1110 free=615 outmatched=540 wipe=361 block=354
67    Red      2           8760        0    18500      8      8      733    86481    34341  FOELOST=30348 FOESEEN=34341 OWNSEEN=86481  GAD p1 off=18 def=8 sig=15 | p2 off=9 def=4 sig=15  DEFGAD p1=wall_2 p2=wall_2  WIPE n=352 reach=123831 cred=219705 paid=84989 altkill=122246 altcost=83200 altdiff=2  block=377 wiper=355 =1  | wipe=1829 block=1100 watch=1062 critical=765 wait=625 outmatched=15
68    Green    1           7849    36594        0      8      7      439    28254    10428  FOELOST=70612 FOESEEN=70833 OWNSEEN=28254  GAD p1 off=24 def=15 sig=15 | p2 off=11 def=24 sig=4  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=100 reach=49729 cred=259406 paid=27237 altkill=49729 altcost=27237 altdiff=0  block=339 wiper=100  | watch=3170 block=1255 wait=830 critical=561 wipe=503 free=280 outmatched=25
69    White    1           7547     2000        0      8      5        0        0     1981  FOELOST=1965 FOESEEN=1981 OWNSEEN=50260  GAD p1 off=11 def=23 sig=6 | p2 off=13 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4502
70    Green    2           4185        0     1190      4      6       87      753     5422  FOELOST=2487 FOESEEN=8185 OWNSEEN=783  GAD p1 off=4 def=6 sig=4 | p2 off=5 def=13 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=35 reach=2634 cred=50099 paid=701 altkill=2688 altcost=726 altdiff=1  block=52 wiper=35  | watch=2150 critical=335 wait=325 wipe=209 block=19
71    White    2          13451        0    78000      7      7      977    49446    91337  FOELOST=88249 FOESEEN=91337 OWNSEEN=49446  GAD p1 off=34 def=36 sig=31 | p2 off=16 def=34 sig=15  DEFGAD p1=speed_3 p2=speed_3  WIPE n=113 reach=76774 cred=284988 paid=48582 altkill=76774 altcost=48582 altdiff=0  block=864 wiper=113  | critical=3772 watch=3029 outmatched=2050 block=577 wipe=553 wait=85 free=5
72    Green    1           8899     4472        0      8      8      618    31599    53660  FOELOST=52574 FOESEEN=53660 OWNSEEN=31599  GAD p1 off=8 def=9 sig=14 | p2 off=24 def=8 sig=22  DEFGAD p1=wall_2 p2=heal_2  WIPE n=231 reach=50536 cred=146496 paid=30843 altkill=50536 altcost=30843 altdiff=0  block=382 wiper=235 =1  | block=1182 wipe=1155 watch=984 critical=888 wait=779 free=525 outmatched=60
73    White    1           8179    34311        0      8      8      340     7880    30245  FOELOST=27315 FOESEEN=30245 OWNSEEN=7880  GAD p1 off=11 def=15 sig=11 | p2 off=21 def=26 sig=10  DEFGAD p1=heal_2 p2=speed_3  WIPE n=101 reach=21672 cred=36776 paid=7163 altkill=21672 altcost=7163 altdiff=0  block=239 wiper=101  | watch=1729 block=1249 wait=750 free=545 wipe=507 critical=50
74    Orange   2          12133        0    23460      7      8     1045    28798    85097  FOELOST=80729 FOESEEN=85097 OWNSEEN=224723  GAD p1 off=31 def=35 sig=16 | p2 off=12 def=11 sig=22  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=138 reach=35790 cred=166823 paid=27891 altkill=35790 altcost=27891 altdiff=0  block=907 wiper=138  | watch=4279 block=3494 wait=1250 critical=1055 wipe=685
75    Yellow   1           7706    53659        0      8      8      333    10279    45380  FOELOST=39125 FOESEEN=45380 OWNSEEN=10279  GAD p1 off=9 def=22 sig=15 | p2 off=6 def=23 sig=7  DEFGAD p1=speed_3 p2=speed_3  WIPE n=84 reach=19529 cred=34526 paid=9532 altkill=19529 altcost=9532 altdiff=0  block=249 wiper=84  | watch=1625 block=1084 wait=530 free=496 wipe=426 critical=194
76    Orange   2           9458        0    12000      8      8      705   171185   114664  FOELOST=69912 FOESEEN=114664 OWNSEEN=171185  GAD p1 off=14 def=13 sig=12 | p2 off=13 def=1 sig=17  DEFGAD p1=wall_3 p2=wall  WIPE n=346 reach=647062 cred=1886367 paid=170493 altkill=646805 altcost=170219 altdiff=1  block=352 wiper=352 =1  | wipe=1753 block=1327 watch=1193 wait=1080 critical=736 free=35
77    Yellow   2           9684        0    12000      7      8      835    38790    31050  FOELOST=114716 FOESEEN=126042 OWNSEEN=38790  GAD p1 off=15 def=10 sig=15 | p2 off=15 def=30 sig=2  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=415 reach=73829 cred=1457073 paid=37150 altkill=73829 altcost=37150 altdiff=0  wiper=421 block=413 =1  | watch=3110 wipe=2084 critical=1885 wait=840 outmatched=280 block=265
78    Orange   1           8218    28329        0      8      8      497    16217    54172  FOELOST=48861 FOESEEN=54172 OWNSEEN=16217  GAD p1 off=23 def=11 sig=20 | p2 off=15 def=4 sig=13  DEFGAD p1=heal_2 p2=wall_2  WIPE n=184 reach=25385 cred=129875 paid=15904 altkill=25394 altcost=15901 altdiff=2  block=313 wiper=184  | block=1534 watch=1274 wipe=911 critical=450 wait=450 free=228
79    Yellow   2           4247        0     2000      4      6      106      930     5471  FOELOST=2578 FOESEEN=8396 OWNSEEN=1290  GAD p1 off=7 def=7 sig=4 | p2 off=6 def=13 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=75 reach=1263 cred=48696 paid=868 altkill=1263 altcost=868 altdiff=0  wiper=75 block=31  | watch=2170 wipe=467 critical=227 wait=220 block=15
80    Purple   2          11453        0    89000      8      8      918   106748    68448  FOELOST=62947 FOESEEN=68448 OWNSEEN=106748  GAD p1 off=27 def=35 sig=25 | p2 off=27 def=4 sig=25  DEFGAD p1=speed_3 p2=wall_2  WIPE n=310 reach=153843 cred=268701 paid=106140 altkill=153843 altcost=106140 altdiff=0  block=608 wiper=310  | block=2290 wipe=1540 watch=1464 wait=1125 outmatched=870 critical=735 free=65
81    Black    2           7782        0    23000      7      8      481    46355    39124  FOELOST=29791 FOESEEN=39124 OWNSEEN=46355  GAD p1 off=22 def=6 sig=12 | p2 off=23 def=5 sig=15  DEFGAD p1=wall_2 p2=heal  WIPE n=134 reach=74286 cred=133590 paid=46014 altkill=74286 altcost=46014 altdiff=0  block=342 wiper=138 =1  | watch=1477 block=922 wait=894 critical=791 wipe=662
82    Purple   2           6721        0    27700      8      7      339    19731    35611  FOELOST=12168 FOESEEN=35611 OWNSEEN=19731  GAD p1 off=6 def=11 sig=9 | p2 off=8 def=22 sig=8  DEFGAD p1=heal_2 p2=speed_3  WIPE n=139 reach=26696 cred=487847 paid=19331 altkill=26670 altcost=19280 altdiff=1  block=200 wiper=139  | watch=1065 critical=976 wipe=699 wait=565 block=69
83    Black    2           6775        0    27306      5      7      175     3372    21236  FOELOST=4985 FOESEEN=21236 OWNSEEN=6252  GAD p1 off=10 def=15 sig=6 | p2 off=8 def=7 sig=17  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=79 reach=3562 cred=26900 paid=3084 altkill=3872 altcost=3344 altdiff=2  block=96 wiper=79  | watch=2972 wait=1240 critical=503 wipe=398 outmatched=204
84    Purple   1           9821     9783        0      8      7      257     3014    38763  FOELOST=19324 FOESEEN=38763 OWNSEEN=129734  GAD p1 off=25 def=30 sig=15 | p2 off=17 def=28 sig=15  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=46 reach=4113 cred=12861 paid=2170 altkill=4113 altcost=2170 altdiff=0  block=211 wiper=46  | watch=5192 wait=755 block=718 critical=357 free=256 wipe=226
85    Blue     2           7209        0    29246      8      7      554    21640    59241  FOELOST=18327 FOESEEN=59241 OWNSEEN=21640  GAD p1 off=11 def=21 sig=14 | p2 off=9 def=1 sig=11  DEFGAD p1=speed_2 p2=wall  WIPE n=261 reach=43667 cred=1455311 paid=20761 altkill=43667 altcost=20761 altdiff=0  block=293 wiper=261  | critical=1405 wipe=1300 watch=460 block=295 wait=260 outmatched=150
86    Red      1          10099    19709        0      8      7      515    31643    13887  FOELOST=82592 FOESEEN=93722 OWNSEEN=31643  GAD p1 off=18 def=7 sig=13 | p2 off=16 def=28 sig=15  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=143 reach=76050 cred=271047 paid=30913 altkill=76050 altcost=30913 altdiff=0  block=368 wiper=146 =1  | watch=3925 block=1381 critical=939 wipe=904 wait=775 free=680 outmatched=275
87    Blue     2          11181        0    78000      8      8     1040   137964   138819  FOELOST=91979 FOESEEN=138819 OWNSEEN=137964  GAD p1 off=26 def=16 sig=24 | p2 off=26 def=4 sig=20  DEFGAD p1=heal_2 p2=wall_2  WIPE n=459 reach=194401 cred=3700958 paid=137383 altkill=209103 altcost=146904 altdiff=56  block=581 wiper=459  | wipe=2358 block=1639 critical=1618 watch=1090 wait=1084
88    Red      2           6284        0    12000      5      7      208     1638    18143  FOELOST=12911 FOESEEN=46523 OWNSEEN=3963  GAD p1 off=12 def=15 sig=8 | p2 off=14 def=19 sig=1  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=54 reach=8729 cred=169286 paid=1484 altkill=8726 altcost=1469 altdiff=2  block=154 wiper=54  | watch=3040 wait=810 critical=663 wipe=268 block=214 outmatched=80
89    Blue     2           8899        0    67000      8      8      539    23277    40479  FOELOST=37856 FOESEEN=40479 OWNSEEN=23277  GAD p1 off=13 def=27 sig=15 | p2 off=19 def=4 sig=14  DEFGAD p1=speed_3 p2=wall_2  WIPE n=164 reach=47171 cred=122419 paid=22527 altkill=46562 altcost=21339 altdiff=2  block=375 wiper=164  | block=1325 watch=1160 wait=1145 wipe=849 critical=573 free=470 outmatched=15
90    Red      2           7683        0    31897      5      8      499     8349    97156  FOELOST=18267 FOESEEN=97156 OWNSEEN=8349  GAD p1 off=5 def=5 sig=5 | p2 off=8 def=8 sig=15  DEFGAD p1=wall_2 p2=heal_2  WIPE n=173 reach=21135 cred=493077 paid=7386 altkill=21135 altcost=7386 altdiff=0  block=322 wiper=176 =1  | critical=1619 wait=1575 wipe=867 watch=550 outmatched=50
91    Green    1           8869    33086        0      8      8      619     5523    25782  FOELOST=23511 FOESEEN=25782 OWNSEEN=5523  GAD p1 off=25 def=4 sig=16 | p2 off=7 def=27 sig=15  DEFGAD p1=wall_2 p2=speed_3  WIPE n=75 reach=15244 cred=18025 paid=4983 altkill=15244 altcost=4983 altdiff=0  block=541 wiper=77 =1  | watch=1948 block=1628 critical=1078 wipe=377 free=280 wait=225
92    White    2           7255        0    18071      8      8      444    13701    44698  FOELOST=13045 FOESEEN=44698 OWNSEEN=13701  GAD p1 off=7 def=14 sig=14 | p2 off=9 def=4 sig=19  DEFGAD p1=heal_2 p2=heal  WIPE n=140 reach=16321 cred=72625 paid=12789 altkill=16243 altcost=12711 altdiff=1  block=304 wiper=140  | critical=885 watch=870 block=796 wipe=700 outmatched=475 wait=205
93    Green    1           9197    11382        0      8      7      159     2638    11656  FOELOST=11594 FOESEEN=11656 OWNSEEN=82473  GAD p1 off=14 def=28 sig=10 | p2 off=15 def=26 sig=15  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=34 reach=4806 cred=6901 paid=2388 altkill=4806 altcost=2388 altdiff=0  block=125 wiper=34  | watch=5805 block=516 wait=435 wipe=313 free=190 critical=125
94    White    2          16900        0    78000      8      8     2203   433579   453456  FOELOST=414214 FOESEEN=453456 OWNSEEN=433579  GAD p1 off=46 def=52 sig=31 | p2 off=43 def=19 sig=47  DEFGAD p1=speed_3 p2=heal_2  WIPE n=631 reach=1287933 cred=6882082 paid=427291 altkill=1287933 altcost=427160 altdiff=1  block=1572 wiper=631  | critical=5419 wipe=3141 block=2537 watch=1539 wait=595 free=130 outmatched=125
95    Green    2           6379        0    22800      5      7      367     5126     8115  FOELOST=5779 FOESEEN=22885 OWNSEEN=5126  GAD p1 off=5 def=5 sig=6 | p2 off=12 def=17 sig=6  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=265 reach=10293 cred=494747 paid=5029 altkill=10405 altcost=5048 altdiff=13  wiper=269 block=97 =1  | watch=2470 wipe=1331 wait=880 critical=414 block=74
96    Yellow   2           6286        0     2000      7      7      217     4547    34330  FOELOST=4331 FOESEEN=34330 OWNSEEN=4547  GAD p1 off=8 def=7 sig=10 | p2 off=10 def=1 sig=9  DEFGAD p1=heal_2 p2=wall  WIPE n=94 reach=9236 cred=146295 paid=4301 altkill=9236 altcost=4301 altdiff=0  block=123 wiper=94  | watch=870 wait=730 critical=652 wipe=466 block=184 outmatched=65
97    Orange   2           6642        0    23000      5      7      234     1970    18155  FOELOST=11927 FOESEEN=44755 OWNSEEN=3610  GAD p1 off=7 def=13 sig=4 | p2 off=15 def=19 sig=6  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=91 reach=2792 cred=305318 paid=1827 altkill=3067 altcost=1927 altdiff=4  block=143 wiper=91  | watch=3070 wipe=1052 critical=714 wait=570 block=20 outmatched=5
98    Yellow   2          14305        0    30038      7      8     1309     8509    58341  FOELOST=52334 FOESEEN=58341 OWNSEEN=261974  GAD p1 off=35 def=41 sig=18 | p2 off=14 def=6 sig=26  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=167 reach=11715 cred=27357 paid=7367 altkill=11690 altcost=7301 altdiff=1  block=1142 wiper=167  | block=5832 watch=5054 wipe=834 wait=815 critical=208
99    Orange   2           7755        0     7176      7      7      460    36971    43181  FOELOST=41458 FOESEEN=95900 OWNSEEN=36971  GAD p1 off=13 def=26 sig=15 | p2 off=6 def=23 sig=4  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=154 reach=77157 cred=1304993 paid=36053 altkill=77157 altcost=36053 altdiff=0  block=306 wiper=154  | watch=3085 critical=1156 wipe=968 wait=860 block=417 outmatched=35 free=10
100   Yellow   2          18000    56000    61938      7      7      444   145334    71134  FOELOST=69839 FOESEEN=71134 OWNSEEN=145334  GAD p1 off=23 def=10 sig=23 | p2 off=28 def=44 sig=20  DEFGAD p1=wall_3 p2=speed_3  WIPE n=176 reach=200899 cred=232816 paid=144560 altkill=200899 altcost=144560 altdiff=0  block=264 wiper=179 =1  | outmatched=5695 watch=4233 wait=2369 critical=1254 wipe=872 free=200 block=49
101   Orange   2           7757        0    10434      8      8      381    46029    60336  FOELOST=24341 FOESEEN=60336 OWNSEEN=46029  GAD p1 off=21 def=17 sig=13 | p2 off=10 def=11 sig=15  DEFGAD p1=heal_2 p2=heal_2  WIPE n=139 reach=65948 cred=238840 paid=45061 altkill=65948 altcost=45061 altdiff=0  block=242 wiper=139  | watch=1564 critical=1244 wait=915 wipe=694 block=305
102   Black    1           6256     1500        0      7      5        0        0     1544  FOELOST=1516 FOESEEN=1544 OWNSEEN=25935  GAD p1 off=5 def=17 sig=11 | p2 off=8 def=12 sig=4  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4500
103   Purple   2           5689        0     2000      7      7      182     2948    16720  FOELOST=3433 FOESEEN=16720 OWNSEEN=2948  GAD p1 off=7 def=12 sig=5 | p2 off=7 def=7 sig=12  DEFGAD p1=speed_2 p2=heal_2  WIPE n=62 reach=3636 cred=195333 paid=2708 altkill=3636 altcost=2708 altdiff=0  block=120 wiper=62  | watch=884 critical=484 wait=480 wipe=337 block=123 outmatched=55
104   Black    1           9619    20669        0      8      8      768    13686    45464  FOELOST=44720 FOESEEN=45464 OWNSEEN=13686  GAD p1 off=27 def=4 sig=20 | p2 off=27 def=31 sig=13  DEFGAD p1=wall_2 p2=speed_3  WIPE n=104 reach=29838 cred=37516 paid=13026 altkill=29838 altcost=13026 altdiff=0  block=663 wiper=104 =1  | block=2758 watch=1608 critical=562 wipe=520 free=515 wait=295
105   Purple   1           9289    24394        0      8      8      677    27627   117518  FOELOST=114877 FOESEEN=117518 OWNSEEN=27627  GAD p1 off=11 def=12 sig=19 | p2 off=24 def=3 sig=17  DEFGAD p1=wall_3 p2=wall_2  WIPE n=275 reach=102944 cred=195606 paid=27237 altkill=102949 altcost=27240 altdiff=1  block=393 wiper=283 =1  | watch=1623 wipe=1371 block=1320 critical=631 free=515 wait=490
106   Black    2           6207        0     1500      5      7      181     3609    16820  FOELOST=6838 FOESEEN=31590 OWNSEEN=3609  GAD p1 off=9 def=8 sig=6 | p2 off=5 def=17 sig=5  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=83 reach=6758 cred=246857 paid=3413 altkill=6758 altcost=3413 altdiff=0  block=98 wiper=83  | watch=3410 wait=670 critical=462 wipe=420 block=40
107   Red      2           5367        0     1600      5      6      230     2740    10113  FOELOST=1370 FOESEEN=10113 OWNSEEN=4380  GAD p1 off=4 def=11 sig=5 | p2 off=4 def=1 sig=7  DEFGAD p1=reinforcements_2 p2=wall  WIPE n=109 reach=4610 cred=257073 paid=2377 altkill=4610 altcost=2377 altdiff=0  block=121 wiper=109  | watch=2515 critical=690 wipe=554 wait=220
108   Blue     2           9586        0     2000      7      8      849    26946    31028  FOELOST=108126 FOESEEN=128582 OWNSEEN=26946  GAD p1 off=26 def=26 sig=13 | p2 off=14 def=30 sig=1  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=179 reach=53734 cred=273281 paid=26276 altkill=53666 altcost=26186 altdiff=1  block=670 wiper=179  | watch=2872 critical=2022 block=1477 wipe=1148 wait=685 outmatched=135
109   Red      1           7723    45000        0      8      8      454    25412    24350  FOELOST=17608 FOESEEN=24350 OWNSEEN=25412  GAD p1 off=10 def=6 sig=15 | p2 off=10 def=25 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=165 reach=42278 cred=60114 paid=24563 altkill=42278 altcost=24563 altdiff=0  block=285 wiper=168 =1  | block=1271 watch=1144 wipe=823 wait=735 critical=204 free=193 outmatched=5
110   Blue     2           7699        0    33129      7      8      330    14732    23035  FOELOST=19155 FOESEEN=23035 OWNSEEN=14732  GAD p1 off=14 def=12 sig=9 | p2 off=14 def=11 sig=15  DEFGAD p1=heal_2 p2=heal_2  WIPE n=149 reach=20863 cred=99975 paid=14370 altkill=17947 altcost=11082 altdiff=12  block=181 wiper=149  | watch=1565 wait=1440 wipe=758 critical=529 block=379
111   Red      1           6656    11760        0      7      6       22      143     3711  FOELOST=3687 FOESEEN=3711 OWNSEEN=41540  GAD p1 off=14 def=20 sig=11 | p2 off=10 def=19 sig=8  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=5 reach=357 cred=840 paid=75 altkill=357 altcost=75 altdiff=0  block=17 wiper=5  | watch=5016 wait=95 critical=88 wipe=30
112   Blue     2           7160        0    19470      5      8      287     4100    66933  FOELOST=16109 FOESEEN=66933 OWNSEEN=6425  GAD p1 off=8 def=15 sig=8 | p2 off=17 def=8 sig=14  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=132 reach=9170 cred=261809 paid=3945 altkill=9170 altcost=3945 altdiff=0  block=155 wiper=132  | watch=2930 wait=1170 critical=799 wipe=656
113   White    1           8569    20669        0      8      8      434     6529    32879  FOELOST=31015 FOESEEN=32879 OWNSEEN=6529  GAD p1 off=12 def=24 sig=11 | p2 off=18 def=27 sig=10  DEFGAD p1=speed_3 p2=speed_3  WIPE n=76 reach=15750 cred=27376 paid=5813 altkill=15750 altcost=5813 altdiff=0  block=358 wiper=76  | watch=2280 block=1808 free=470 wipe=372 wait=235 critical=39 outmatched=5
114   Green    1           9379    20000        0      8      8      751    15629    43670  FOELOST=41015 FOESEEN=43670 OWNSEEN=15629  GAD p1 off=26 def=4 sig=19 | p2 off=5 def=6 sig=22  DEFGAD p1=wall_2 p2=wall_2  WIPE n=117 reach=36898 cred=96881 paid=14999 altkill=36898 altcost=14999 altdiff=0  block=632 wiper=118 =1  | block=2023 watch=1529 critical=1131 free=600 wipe=596 wait=130 outmatched=30
115   White    2          10074        0    16579      7      8      976    59610    33352  FOELOST=124123 FOESEEN=146552 OWNSEEN=59610  GAD p1 off=13 def=13 sig=16 | p2 off=12 def=31 sig=14  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=274 reach=119929 cred=772110 paid=58908 altkill=119713 altcost=58670 altdiff=3  block=702 wiper=274  | watch=3495 critical=3092 wipe=1361 block=623 wait=270 outmatched=5
116   Green    1           5963    12000        0      7      5       24       93     1331  FOELOST=1320 FOESEEN=1331 OWNSEEN=45148  GAD p1 off=10 def=19 sig=11 | p2 off=10 def=6 sig=5  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=7 reach=88 cred=784 paid=42 altkill=88 altcost=42 altdiff=0  block=17 wiper=7  | watch=4423 critical=89 wait=55 wipe=34
117   White    2           6361        0     2000      5      7      235     3315     9475  FOELOST=6739 FOESEEN=30160 OWNSEEN=3315  GAD p1 off=6 def=8 sig=6 | p2 off=10 def=18 sig=5  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=139 reach=6188 cred=200047 paid=3027 altkill=6611 altcost=3248 altdiff=3  wiper=139 block=96  | watch=2894 wait=805 wipe=697 critical=478 block=195 outmatched=80
118   Green    1          10339     5913        0      8      8      895    51966    63163  FOELOST=58979 FOESEEN=63163 OWNSEEN=51966  GAD p1 off=15 def=31 sig=18 | p2 off=21 def=1 sig=16  DEFGAD p1=speed_3 p2=wall  WIPE n=470 reach=64351 cred=320490 paid=50266 altkill=64351 altcost=50135 altdiff=1  wiper=470 block=425  | wipe=2342 block=1430 wait=960 watch=850 critical=740 free=535 outmatched=105
119   Yellow   1           9364    34000        0      8      8      616    34221    27635  FOELOST=27363 FOESEEN=27635 OWNSEEN=34221  GAD p1 off=13 def=6 sig=25 | p2 off=19 def=16 sig=7  DEFGAD p1=wall_2 p2=heal_2  WIPE n=161 reach=51969 cred=129980 paid=33772 altkill=51969 altcost=33772 altdiff=0  block=450 wiper=165 =1  | watch=1778 block=1336 critical=1296 wipe=817 wait=505 free=275
120   Orange   2          12143        0    12000      8      8     1143   102563   130310  FOELOST=81889 FOESEEN=130310 OWNSEEN=102563  GAD p1 off=27 def=24 sig=17 | p2 off=30 def=36 sig=19  DEFGAD p1=heal_3 p2=speed_3  WIPE n=291 reach=291460 cred=837420 paid=100859 altkill=291460 altcost=100859 altdiff=0  block=852 wiper=291  | block=3519 wipe=1449 watch=1055 wait=965 critical=780 outmatched=538 free=450
121   Yellow   2           7723        0    45000      6      8      434     9615   162725  FOELOST=25389 FOESEEN=162725 OWNSEEN=18785  GAD p1 off=20 def=17 sig=8 | p2 off=17 def=8 sig=15  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=72 reach=21189 cred=162221 paid=9253 altkill=21189 altcost=9253 altdiff=0  block=362 wiper=72  | watch=3098 critical=1791 wait=915 wipe=358 block=15
122   Orange   1           7864    43242        0      7      7      268    38927    37207  FOELOST=37167 FOESEEN=37207 OWNSEEN=38927  GAD p1 off=11 def=21 sig=13 | p2 off=6 def=24 sig=12  DEFGAD p1=speed_2 p2=speed_3  WIPE n=31 reach=55735 cred=356848 paid=38690 altkill=55735 altcost=38690 altdiff=0  block=237 wiper=31  | watch=2345 critical=795 block=541 outmatched=530 wait=170 wipe=155
123   Yellow   2           9152        0     9221      8      8      692    44142    34509  FOELOST=26300 FOESEEN=34509 OWNSEEN=44142  GAD p1 off=19 def=6 sig=14 | p2 off=7 def=8 sig=24  DEFGAD p1=wall_2 p2=heal_2  WIPE n=268 reach=92660 cred=153002 paid=43306 altkill=92660 altcost=43306 altdiff=0  block=418 wiper=273 =1  | block=1774 wipe=1367 watch=1119 wait=790 critical=371 outmatched=260 free=135
124   Purple   2           6361        0     2000      5      7      228     3305    20005  FOELOST=8660 FOESEEN=50465 OWNSEEN=3305  GAD p1 off=15 def=7 sig=7 | p2 off=8 def=19 sig=7  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=57 reach=4000 cred=173473 paid=2792 altkill=4000 altcost=2792 altdiff=0  block=171 wiper=57  | watch=2805 wait=1110 critical=940 wipe=284 outmatched=15
125   Black    2           8560        0    30430      8      8      733    20783   115037  FOELOST=27467 FOESEEN=115037 OWNSEEN=20783  GAD p1 off=12 def=16 sig=14 | p2 off=12 def=2 sig=23  DEFGAD p1=heal_2 p2=wall  WIPE n=431 reach=28898 cred=106511 paid=19575 altkill=28898 altcost=19575 altdiff=0  wiper=431 block=302  | wipe=2218 block=1175 wait=550 watch=454 critical=392 free=350 outmatched=85
126   Purple   1           5580     2000        0      7      5       35      105     1003  FOELOST=3299 FOESEEN=3303 OWNSEEN=26566  GAD p1 off=10 def=18 sig=10 | p2 off=7 def=13 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=35  | watch=3934 critical=323 wait=85 outmatched=30
127   Black    2           9606        0     2000      8      8      709   157842   172627  FOELOST=118638 FOESEEN=172627 OWNSEEN=157842  GAD p1 off=21 def=25 sig=13 | p2 off=17 def=4 sig=17  DEFGAD p1=speed_3 p2=wall_2  WIPE n=292 reach=353343 cred=3489406 paid=157008 altkill=353343 altcost=157008 altdiff=0  block=417 wiper=292  | watch=1574 wipe=1447 critical=1415 wait=945 block=842 outmatched=35
128   Purple   2           5849        0     9585      4      6      295     1688     9479  FOELOST=5675 FOESEEN=18644 OWNSEEN=1688  GAD p1 off=3 def=3 sig=4 | p2 off=14 def=16 sig=1  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=132 reach=5464 cred=194602 paid=1528 altkill=5464 altcost=1528 altdiff=0  block=161 wiper=133 =1  | watch=2749 critical=843 wipe=764 wait=265 block=20
129   Black    1           8299    38717        0      8      8      434    16439    66702  FOELOST=66702 FOESEEN=66702 OWNSEEN=16439  GAD p1 off=11 def=11 sig=20 | p2 off=21 def=25 sig=13  DEFGAD p1=heal_2 p2=speed_3  WIPE n=108 reach=30991 cred=110179 paid=16113 altkill=31091 altcost=16195 altdiff=2  block=326 wiper=108  | block=1637 watch=1430 wipe=671 wait=534 critical=369 free=300
130   Red      2          10021        0    63192      8      8      817     4032    69321  FOELOST=61592 FOESEEN=69321 OWNSEEN=102867  GAD p1 off=20 def=30 sig=6 | p2 off=7 def=10 sig=16  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=37 reach=5298 cred=23598 paid=2472 altkill=5298 altcost=2472 altdiff=0  block=780 wiper=37  | block=3586 watch=3320 wait=990 critical=450 wipe=184 outmatched=20
131   Blue     2          11086        0    66248      7      8      563    80783    80898  FOELOST=60688 FOESEEN=80898 OWNSEEN=80783  GAD p1 off=28 def=28 sig=14 | p2 off=10 def=34 sig=20  DEFGAD p1=speed_3 p2=speed_3  WIPE n=138 reach=129999 cred=542663 paid=80358 altkill=129999 altcost=80358 altdiff=0  block=425 wiper=138  | watch=2985 block=1420 outmatched=1280 critical=721 wipe=677 wait=655 free=10
