BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7519    21000        0      8      8      234     4420    21410  FOELOST=18352 FOESEEN=21410 OWNSEEN=4420  GAD p1 off=9 def=23 sig=15 | p2 off=13 def=3 sig=9  DEFGAD p1=speed_3 p2=wall_2  WIPE n=34 reach=8556 cred=16612 paid=3820 altkill=9360 altcost=4155 altdiff=2  block=200 wiper=34  | watch=1675 wait=960 block=610 critical=421 free=295 wipe=167 outmatched=40
66    Blue     2          10362        0    50111      8      8      708     7977    39245  FOELOST=45315 FOESEEN=142740 OWNSEEN=7977  GAD p1 off=18 def=31 sig=16 | p2 off=13 def=32 sig=13  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=32 reach=14334 cred=68823 paid=5949 altkill=14473 altcost=5954 altdiff=1  block=676 wiper=32  | critical=3220 watch=3189 wait=1199 outmatched=820 block=479 wipe=166 free=60
67    Red      2           8928        0     1500      8      8      780    27747    41182  FOELOST=36383 FOESEEN=41182 OWNSEEN=27747  GAD p1 off=19 def=10 sig=15 | p2 off=5 def=3 sig=15  DEFGAD p1=wall_3 p2=wall_2  WIPE n=110 reach=38203 cred=75065 paid=25107 altkill=41688 altcost=26503 altdiff=3  block=668 wiper=111 =1  | critical=2255 block=1092 wait=845 watch=622 wipe=551 free=190 outmatched=10
68    Green    1           7795    32419        0      8      6      556    15615    16538  FOELOST=44915 FOESEEN=46199 OWNSEEN=15615  GAD p1 off=24 def=17 sig=15 | p2 off=11 def=20 sig=2  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=44 reach=22090 cred=130711 paid=14079 altkill=22079 altcost=14016 altdiff=1  block=512 wiper=44  | watch=2855 critical=1468 block=1219 outmatched=405 wipe=213 wait=205 free=200
69    White    1           7547     2000        0      8      5        0        0     1981  FOELOST=1965 FOESEEN=1981 OWNSEEN=50260  GAD p1 off=11 def=23 sig=6 | p2 off=13 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4502
70    Green    2           4124        0     1707      4      6      148      739     3448  FOELOST=1782 FOESEEN=5968 OWNSEEN=769  GAD p1 off=4 def=6 sig=4 | p2 off=6 def=12 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=23 reach=1287 cred=40512 paid=614 altkill=1305 altcost=614 altdiff=0  block=125 wiper=23  | watch=2030 critical=637 wait=130 wipe=120 outmatched=40 block=20
71    White    1           8687    35919        0      8      7      539    47537    49865  FOELOST=49861 FOESEEN=49865 OWNSEEN=47537  GAD p1 off=24 def=24 sig=20 | p2 off=13 def=26 sig=12  DEFGAD p1=speed_3 p2=speed_3  WIPE n=29 reach=51275 cred=322218 paid=47027 altkill=51275 altcost=47027 altdiff=0  block=510 wiper=29  | watch=1805 critical=1713 block=1157 outmatched=349 wait=154 wipe=146 free=10
72    Green    1           8269     1039        0      8      8      317     3423    13622  FOELOST=12448 FOESEEN=13622 OWNSEEN=3423  GAD p1 off=7 def=8 sig=11 | p2 off=19 def=8 sig=21  DEFGAD p1=wall_2 p2=heal_2  WIPE n=50 reach=6007 cred=15360 paid=2905 altkill=6007 altcost=2905 altdiff=0  block=264 wiper=52 =1  | watch=1289 wait=1100 block=831 critical=777 free=585 wipe=249 outmatched=120
73    White    1           8029    33086        0      8      8      258     2259    25122  FOELOST=21952 FOESEEN=25122 OWNSEEN=2259  GAD p1 off=11 def=8 sig=11 | p2 off=15 def=25 sig=9  DEFGAD p1=heal_2 p2=speed_3  WIPE n=23 reach=4795 cred=8103 paid=1554 altkill=5195 altcost=1554 altdiff=0  block=235 wiper=23  | watch=1949 block=1172 wait=805 free=565 wipe=114 critical=75 outmatched=5
74    Orange   2          14025        0    31972      8      8      957     2924    62848  FOELOST=58857 FOESEEN=62848 OWNSEEN=265979  GAD p1 off=36 def=42 sig=21 | p2 off=15 def=10 sig=25  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=31 reach=2618 cred=9366 paid=1998 altkill=2648 altcost=2006 altdiff=2  block=926 wiper=31  | watch=5909 block=3606 wait=1670 critical=1028 outmatched=245 wipe=153 free=45
75    Yellow   1           7287    42360        0      8      8      276     7601    19715  FOELOST=19665 FOESEEN=19715 OWNSEEN=7601  GAD p1 off=7 def=21 sig=14 | p2 off=6 def=23 sig=6  DEFGAD p1=speed_2 p2=speed_3  WIPE n=36 reach=9883 cred=13438 paid=6881 altkill=10043 altcost=6959 altdiff=1  block=240 wiper=36  | watch=1226 wait=975 block=852 critical=367 free=340 wipe=176
76    Orange   1           8119    24970        0      8      8      310     2856    38331  FOELOST=35342 FOESEEN=38331 OWNSEEN=2856  GAD p1 off=11 def=10 sig=9 | p2 off=8 def=3 sig=14  DEFGAD p1=wall_3 p2=wall_2  WIPE n=41 reach=4458 cred=15249 paid=2338 altkill=4463 altcost=2338 altdiff=0  block=266 wiper=43 =1  | watch=1492 block=1150 wait=810 free=575 critical=514 wipe=205 outmatched=55
77    Yellow   2           9731        0     2000      7      8      770    22216    37985  FOELOST=128409 FOESEEN=136820 OWNSEEN=22216  GAD p1 off=16 def=10 sig=17 | p2 off=14 def=30 sig=1  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=100 reach=38194 cred=267564 paid=19576 altkill=38229 altcost=19582 altdiff=1  block=666 wiper=103 =1  | critical=2977 watch=2845 outmatched=950 wait=770 wipe=498 block=465
78    Orange   1           8149    23530        0      8      8      411     1986    68355  FOELOST=65410 FOESEEN=68355 OWNSEEN=1986  GAD p1 off=23 def=8 sig=19 | p2 off=15 def=3 sig=13  DEFGAD p1=heal_2 p2=wall_2  WIPE n=45 reach=3159 cred=31644 paid=1620 altkill=3159 altcost=1620 altdiff=0  block=366 wiper=45  | block=1743 watch=1065 critical=820 wait=614 free=325 wipe=223
79    Yellow   2           5435        0    11937      5      7      151     1903     7424  FOELOST=8283 FOESEEN=31819 OWNSEEN=4123  GAD p1 off=9 def=14 sig=5 | p2 off=10 def=17 sig=10  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=25 reach=3954 cred=136689 paid=1651 altkill=4068 altcost=1651 altdiff=0  block=126 wiper=25  | watch=2380 wait=915 critical=639 outmatched=210 wipe=124 block=20
80    Purple   2           9070        0    23000      8      8      343     8998    26156  FOELOST=23643 FOESEEN=26156 OWNSEEN=8998  GAD p1 off=19 def=28 sig=18 | p2 off=16 def=1 sig=19  DEFGAD p1=speed_3 p2=wall  WIPE n=66 reach=9624 cred=48898 paid=8721 altkill=11416 altcost=9638 altdiff=2  block=277 wiper=66  | watch=1455 wait=1394 outmatched=1060 critical=859 block=533 wipe=330 free=105
81    Black    2           7720        0    12000      8      8      583    13775    29966  FOELOST=27276 FOESEEN=29966 OWNSEEN=13775  GAD p1 off=22 def=5 sig=13 | p2 off=22 def=7 sig=15  DEFGAD p1=wall_2 p2=heal_2  WIPE n=29 reach=18707 cred=26102 paid=13226 altkill=18707 altcost=13226 altdiff=0  block=552 wiper=30 =1  | block=1990 watch=1098 critical=794 wait=660 wipe=141
82    Purple   2           7189        0     9198      8      7      351    29185    56628  FOELOST=9950 FOESEEN=56628 OWNSEEN=29185  GAD p1 off=7 def=13 sig=11 | p2 off=8 def=22 sig=9  DEFGAD p1=heal_2 p2=speed_3  WIPE n=49 reach=46094 cred=217521 paid=28581 altkill=46414 altcost=28673 altdiff=3  block=302 wiper=49  | critical=1211 wait=1160 watch=875 block=309 wipe=247 outmatched=40
83    Black    2           8075        0    25193      5      7      277     3435    43545  FOELOST=10671 FOESEEN=43545 OWNSEEN=6315  GAD p1 off=13 def=15 sig=9 | p2 off=9 def=8 sig=20  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=34 reach=3214 cred=11164 paid=2706 altkill=3155 altcost=2647 altdiff=1  block=243 wiper=34  | watch=3102 wait=2079 critical=1229 wipe=170 outmatched=35
84    Purple   1           9820     9705        0      8      7      256     2807    38646  FOELOST=19207 FOESEEN=38646 OWNSEEN=129527  GAD p1 off=25 def=30 sig=15 | p2 off=17 def=28 sig=15  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=15 reach=4574 cred=9027 paid=1843 altkill=4619 altcost=1843 altdiff=0  block=241 wiper=15  | watch=5322 wait=790 block=767 critical=436 free=115 wipe=74
85    Blue     2           6909        0    21500      8      7      481     5913    53262  FOELOST=11147 FOESEEN=53262 OWNSEEN=5913  GAD p1 off=7 def=20 sig=13 | p2 off=8 def=1 sig=11  DEFGAD p1=speed_2 p2=wall  WIPE n=61 reach=10943 cred=510533 paid=4653 altkill=11049 altcost=4653 altdiff=0  block=420 wiper=61  | critical=2153 watch=540 wait=400 wipe=302 outmatched=150 block=29
86    Red      1           9181    56000        0      8      7      466    22470     8953  FOELOST=71043 FOESEEN=71043 OWNSEEN=22470  GAD p1 off=17 def=13 sig=10 | p2 off=16 def=25 sig=10  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=46 reach=30294 cred=260593 paid=21656 altkill=32791 altcost=22848 altdiff=2  block=416 wiper=49 =1  | watch=3770 critical=1654 block=1005 wait=743 free=370 wipe=227 outmatched=195
87    Blue     2           9410        0     2000      8      8      813    31850   100814  FOELOST=38167 FOESEEN=100814 OWNSEEN=31850  GAD p1 off=20 def=10 sig=20 | p2 off=20 def=1 sig=16  DEFGAD p1=heal_2 p2=wall  WIPE n=83 reach=41721 cred=306470 paid=31120 altkill=45619 altcost=33293 altdiff=8  block=730 wiper=83  | block=2111 critical=2032 wait=975 watch=435 wipe=412 outmatched=55 free=15
88    Red      2           6136        0    12000      5      7      167      830    17295  FOELOST=6042 FOESEEN=39270 OWNSEEN=3155  GAD p1 off=12 def=15 sig=9 | p2 off=12 def=18 sig=0  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=25 reach=1240 cred=94123 paid=688 altkill=1240 altcost=688 altdiff=0  block=142 wiper=25  | watch=3040 wait=855 critical=557 block=279 wipe=125 outmatched=70
89    Blue     0           9469        0        0      8      8      556    22385   102799  FOELOST=102574 FOESEEN=102799 OWNSEEN=22385  GAD p1 off=13 def=27 sig=15 | p2 off=14 def=1 sig=14  DEFGAD p1=speed_3 p2=wall  WIPE n=50 reach=25714 cred=145068 paid=21373 altkill=25944 altcost=21416 altdiff=1  block=506 wiper=50  | watch=1860 block=1379 critical=1259 wait=690 free=340 outmatched=325 wipe=246
90    Red      2           7820        0    50828      8      8      342     6932    51594  FOELOST=10464 FOESEEN=51594 OWNSEEN=6932  GAD p1 off=16 def=5 sig=11 | p2 off=7 def=3 sig=15  DEFGAD p1=wall_2 p2=heal  WIPE n=37 reach=20469 cred=37288 paid=6032 altkill=20469 altcost=6032 altdiff=0  block=302 wiper=39 =1  | wait=2045 critical=1014 watch=709 block=510 outmatched=325 wipe=186
91    Green    1           8779    33086        0      8      8      507     2478    25527  FOELOST=24268 FOESEEN=25527 OWNSEEN=2478  GAD p1 off=24 def=4 sig=16 | p2 off=8 def=27 sig=15  DEFGAD p1=wall_2 p2=speed_3  WIPE n=21 reach=6642 cred=8445 paid=1996 altkill=6642 altcost=1996 altdiff=0  block=485 wiper=21 =1  | watch=2202 block=1447 critical=1004 free=380 wait=315 wipe=103
92    White    2           7006        0     1500      8      8      408     6546    16411  FOELOST=9578 FOESEEN=16411 OWNSEEN=6546  GAD p1 off=5 def=14 sig=14 | p2 off=9 def=4 sig=18  DEFGAD p1=heal_2 p2=heal  WIPE n=55 reach=7034 cred=25529 paid=5487 altkill=7078 altcost=5430 altdiff=2  block=353 wiper=55  | critical=1059 block=897 watch=650 outmatched=405 wait=400 wipe=273
93    Green    1           9165    10984        0      8      7      109     1050    11139  FOELOST=11116 FOESEEN=11139 OWNSEEN=80885  GAD p1 off=14 def=28 sig=10 | p2 off=15 def=25 sig=14  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=10 reach=1942 cred=2622 paid=852 altkill=1942 altcost=852 altdiff=0  block=99 wiper=10  | watch=6088 wait=525 block=417 free=185 critical=90 wipe=49
94    White    2           8809        0    67000      8      8      318     5169    32190  FOELOST=31657 FOESEEN=32190 OWNSEEN=5169  GAD p1 off=24 def=23 sig=15 | p2 off=13 def=7 sig=18  DEFGAD p1=speed_3 p2=heal_2  WIPE n=68 reach=6966 cred=27623 paid=4169 altkill=6979 altcost=4169 altdiff=0  block=250 wiper=68  | watch=1638 wait=1100 free=1000 critical=661 block=636 wipe=346 outmatched=95
95    Green    2           6633        0    11900      6      7      264     2234     6624  FOELOST=6357 FOESEEN=33224 OWNSEEN=2234  GAD p1 off=5 def=7 sig=12 | p2 off=12 def=19 sig=5  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=45 reach=4415 cred=153375 paid=2022 altkill=4854 altcost=2339 altdiff=6  block=217 wiper=46 =1  | watch=3169 critical=849 wait=710 block=399 wipe=225 outmatched=65
96    Yellow   1           8148    43235        0      8      8      373     4969    62380  FOELOST=59002 FOESEEN=62380 OWNSEEN=4969  GAD p1 off=11 def=9 sig=13 | p2 off=13 def=3 sig=13  DEFGAD p1=heal_2 p2=wall_2  WIPE n=42 reach=7037 cred=53225 paid=4307 altkill=7474 altcost=4441 altdiff=2  block=331 wiper=42  | watch=1530 critical=1085 block=844 wait=765 free=363 wipe=212 outmatched=25
97    Orange   2           5272        0    12000      4      6      145     1167     6839  FOELOST=3657 FOESEEN=9779 OWNSEEN=1657  GAD p1 off=4 def=8 sig=4 | p2 off=11 def=15 sig=4  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=32 reach=2237 cred=29347 paid=1054 altkill=2310 altcost=1039 altdiff=3  block=113 wiper=32  | watch=2720 critical=571 wait=405 outmatched=185 wipe=165 block=20
98    Yellow   2          12349        0    39062      8      8      831     4603    44852  FOELOST=44802 FOESEEN=44852 OWNSEEN=210118  GAD p1 off=32 def=36 sig=16 | p2 off=16 def=6 sig=23  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=33 reach=8748 cred=18438 paid=3805 altkill=8913 altcost=3895 altdiff=1  block=798 wiper=33  | watch=5655 block=2594 critical=1599 wait=794 wipe=161
99    Orange   2           6663        0     1500      8      7      296    49123    22978  FOELOST=7308 FOESEEN=57763 OWNSEEN=49123  GAD p1 off=11 def=22 sig=13 | p2 off=5 def=20 sig=2  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=35 reach=53347 cred=277631 paid=48340 altkill=53299 altcost=48268 altdiff=1  block=261 wiper=35  | watch=3180 critical=1245 wait=480 block=275 wipe=193 outmatched=70
100   Yellow   1           8300    67000        0      8      8      399     6573    18406  FOELOST=18406 FOESEEN=18406 OWNSEEN=6573  GAD p1 off=17 def=5 sig=11 | p2 off=11 def=27 sig=15  DEFGAD p1=wall_2 p2=speed_3  WIPE n=29 reach=15535 cred=23906 paid=5478 altkill=16139 altcost=5478 altdiff=0  block=367 wiper=31 =1  | critical=1661 outmatched=1190 wait=934 watch=538 free=325 block=178 wipe=143
101   Orange   2           8254        0    34000      8      8      524   108780   105951  FOELOST=30708 FOESEEN=105951 OWNSEEN=108780  GAD p1 off=23 def=10 sig=14 | p2 off=10 def=11 sig=16  DEFGAD p1=heal_2 p2=heal_2  WIPE n=52 reach=217422 cred=354326 paid=106892 altkill=218799 altcost=106892 altdiff=0  block=472 wiper=52  | critical=2318 watch=1348 wait=885 outmatched=290 wipe=264 block=72 free=40
102   Black    1           6256     1500        0      7      5        0        0     1544  FOELOST=1516 FOESEEN=1544 OWNSEEN=25935  GAD p1 off=5 def=17 sig=11 | p2 off=8 def=12 sig=4  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4500
103   Purple   0           8479        0        0      8      8      344     7671    30562  FOELOST=27206 FOESEEN=30562 OWNSEEN=7671  GAD p1 off=11 def=23 sig=8 | p2 off=14 def=13 sig=20  DEFGAD p1=speed_3 p2=heal_2  WIPE n=53 reach=8479 cred=74190 paid=7089 altkill=8270 altcost=6815 altdiff=1  block=291 wiper=53  | watch=1793 block=1019 critical=757 wait=545 outmatched=370 wipe=352 free=320
104   Black    1           9079    20669        0      8      8      708     3260    40059  FOELOST=37017 FOESEEN=40059 OWNSEEN=3260  GAD p1 off=25 def=4 sig=19 | p2 off=25 def=29 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=16 reach=4171 cred=6349 paid=2572 altkill=4915 altcost=2572 altdiff=0  block=691 wiper=16 =1  | block=2728 watch=1363 critical=738 free=505 wait=305 wipe=78
105   Purple   1           8359    33547        0      8      8      543     4568    70599  FOELOST=70589 FOESEEN=70599 OWNSEEN=4568  GAD p1 off=9 def=11 sig=19 | p2 off=18 def=3 sig=15  DEFGAD p1=wall_3 p2=wall_2  WIPE n=57 reach=7054 cred=57837 paid=4093 altkill=7054 altcost=4093 altdiff=0  block=481 wiper=61 =1  | critical=1590 watch=1263 block=823 wait=715 free=350 wipe=282
106   Black    2           6742        0     1500      5      7      270     2253    27829  FOELOST=7602 FOESEEN=54429 OWNSEEN=2253  GAD p1 off=11 def=7 sig=8 | p2 off=5 def=19 sig=6  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=38 reach=3232 cred=125387 paid=1789 altkill=3615 altcost=1789 altdiff=0  block=232 wiper=38  | watch=3170 critical=1121 wait=910 wipe=193 outmatched=85 block=55
107   Red      2           6097        0     1500      5      7      258     2287    23987  FOELOST=3825 FOESEEN=23987 OWNSEEN=5167  GAD p1 off=5 def=15 sig=6 | p2 off=5 def=1 sig=10  DEFGAD p1=reinforcements_3 p2=wall  WIPE n=43 reach=3212 cred=72285 paid=1642 altkill=3332 altcost=1540 altdiff=4  block=215 wiper=43  | watch=2515 critical=1085 wait=805 wipe=211 outmatched=90
108   Blue     2          11028        0     2000      7      7     1104    24866   117123  FOELOST=194243 FOESEEN=241578 OWNSEEN=24866  GAD p1 off=31 def=30 sig=16 | p2 off=16 def=34 sig=1  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=85 reach=97193 cred=368675 paid=23847 altkill=97315 altcost=23847 altdiff=0  block=1019 wiper=85  | critical=4191 watch=2751 block=1207 wait=820 wipe=423 outmatched=385
109   Red      1           7519    25328        0      8      8      323     3723    21067  FOELOST=17246 FOESEEN=21067 OWNSEEN=3723  GAD p1 off=10 def=7 sig=15 | p2 off=10 def=24 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=40 reach=5915 cred=12111 paid=2895 altkill=5915 altcost=2895 altdiff=0  block=278 wiper=44 =1  | watch=1409 block=1072 wait=625 critical=476 free=345 wipe=209 outmatched=40
110   Blue     2           7578        0    23000      8      8      326     8169    29944  FOELOST=21332 FOESEEN=29944 OWNSEEN=8169  GAD p1 off=15 def=10 sig=8 | p2 off=13 def=7 sig=15  DEFGAD p1=heal_2 p2=heal_2  WIPE n=35 reach=12015 cred=34909 paid=7587 altkill=12249 altcost=7649 altdiff=1  block=291 wiper=35  | watch=1690 wait=1155 critical=814 block=698 wipe=178 free=20
111   Red      1           6623    11610        0      7      6       11       66     2916  FOELOST=2912 FOESEEN=2916 OWNSEEN=36444  GAD p1 off=13 def=20 sig=11 | p2 off=10 def=18 sig=9  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=2 reach=168 cred=336 paid=30 altkill=168 altcost=30 altdiff=0  block=9 wiper=2  | watch=5003 wait=135 critical=49 wipe=10
112   Blue     2           7677        0    32217      5      8      286     4037    28277  FOELOST=19012 FOESEEN=28277 OWNSEEN=6362  GAD p1 off=9 def=15 sig=9 | p2 off=16 def=6 sig=15  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=52 reach=5592 cred=31832 paid=3803 altkill=5682 altcost=3853 altdiff=1  block=234 wiper=52  | watch=2410 wait=1960 critical=1117 block=290 wipe=259 outmatched=35
113   White    1           8419    20761        0      8      8      418     3425    36471  FOELOST=34359 FOESEEN=36471 OWNSEEN=3425  GAD p1 off=12 def=24 sig=13 | p2 off=18 def=27 sig=10  DEFGAD p1=speed_3 p2=speed_3  WIPE n=36 reach=7464 cred=15020 paid=2661 altkill=7549 altcost=2669 altdiff=1  block=382 wiper=36  | watch=1870 block=1692 wait=559 free=500 critical=258 wipe=183
114   Green    1           9049    43000        0      8      8      769     4342    39079  FOELOST=33516 FOESEEN=39079 OWNSEEN=4342  GAD p1 off=25 def=8 sig=19 | p2 off=5 def=3 sig=23  DEFGAD p1=wall_2 p2=wall_2  WIPE n=28 reach=12309 cred=15979 paid=3609 altkill=13257 altcost=3775 altdiff=1  block=737 wiper=31 =1  | block=2359 critical=1474 watch=1054 free=480 wait=155 wipe=137 outmatched=45
115   White    1          11269    27891        0      8      8     1071    18800    59739  FOELOST=195514 FOESEEN=200519 OWNSEEN=18800  GAD p1 off=16 def=10 sig=19 | p2 off=13 def=35 sig=16  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=68 reach=44097 cred=222024 paid=17797 altkill=45978 altcost=18135 altdiff=6  block=1003 wiper=68  | critical=3873 watch=3490 block=1504 wait=450 wipe=337 outmatched=205 free=185
116   Green    1           5781     2000        0      7      5       23       69     1316  FOELOST=1310 FOESEEN=1316 OWNSEEN=34794  GAD p1 off=10 def=18 sig=11 | p2 off=10 def=6 sig=4  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=1 reach=0 cred=55 paid=3 altkill=30 altcost=18 altdiff=1  block=22 wiper=1  | watch=4241 critical=109 wait=60 wipe=5 block=5
117   White    2           4884        0     1958      4      6      100     1322     4488  FOELOST=2418 FOESEEN=6980 OWNSEEN=1322  GAD p1 off=4 def=7 sig=5 | p2 off=7 def=14 sig=4  DEFGAD p1=speed_2 p2=reinforcements_2  WIPE n=25 reach=1564 cred=14981 paid=1097 altkill=1520 altcost=1048 altdiff=2  block=75 wiper=25  | watch=2524 critical=417 wait=360 outmatched=250 wipe=125
118   Green    1           9319    13320        0      8      8      667    10581   103161  FOELOST=102843 FOESEEN=103161 OWNSEEN=10581  GAD p1 off=14 def=30 sig=16 | p2 off=20 def=3 sig=15  DEFGAD p1=speed_3 p2=wall_2  WIPE n=117 reach=13430 cred=174135 paid=8381 altkill=12252 altcost=6723 altdiff=1  block=550 wiper=117  | wait=1710 critical=1697 block=1069 watch=800 wipe=581 free=65 outmatched=30
119   Yellow   1           8569    20669        0      8      8      429     4059    18631  FOELOST=15399 FOESEEN=18631 OWNSEEN=4059  GAD p1 off=12 def=5 sig=21 | p2 off=18 def=13 sig=2  DEFGAD p1=wall_2 p2=heal_2  WIPE n=58 reach=5318 cred=30580 paid=3693 altkill=6011 altcost=4116 altdiff=3  block=369 wiper=59 =1  | watch=1558 critical=1121 block=905 wait=690 free=640 wipe=297 outmatched=5
120   Orange   2           9319        0    25383      8      8      569     7058    41650  FOELOST=40153 FOESEEN=41650 OWNSEEN=7058  GAD p1 off=20 def=13 sig=11 | p2 off=18 def=28 sig=11  DEFGAD p1=heal_2 p2=speed_3  WIPE n=68 reach=14750 cred=239558 paid=6056 altkill=14975 altcost=6095 altdiff=1  block=501 wiper=68  | watch=1479 block=1454 critical=1146 wait=845 free=485 wipe=338 outmatched=210
121   Yellow   2           7716        0    67000      6      8      407     4438    38966  FOELOST=26791 FOESEEN=38966 OWNSEEN=20678  GAD p1 off=22 def=19 sig=10 | p2 off=15 def=9 sig=15  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=18 reach=11713 cred=22067 paid=4049 altkill=11713 altcost=4049 altdiff=0  block=389 wiper=18  | watch=2973 critical=1242 wait=1080 block=705 wipe=90 outmatched=80
122   Orange   1           9169    50417        0      8      8      377     7167    62573  FOELOST=61073 FOESEEN=62573 OWNSEEN=7167  GAD p1 off=14 def=25 sig=17 | p2 off=9 def=29 sig=17  DEFGAD p1=speed_3 p2=speed_3  WIPE n=12 reach=15779 cred=18226 paid=6802 altkill=15779 altcost=6802 altdiff=0  block=365 wiper=12  | watch=2846 block=1615 free=600 critical=410 outmatched=280 wipe=60 wait=30
123   Yellow   2           8929        0    67000      8      8      488    12458    31585  FOELOST=26944 FOESEEN=31585 OWNSEEN=12458  GAD p1 off=19 def=10 sig=15 | p2 off=6 def=5 sig=24  DEFGAD p1=wall_3 p2=heal  WIPE n=65 reach=21750 cred=43796 paid=11632 altkill=21919 altcost=11690 altdiff=1  block=421 wiper=66 =1  | critical=1347 watch=1199 wait=925 block=920 free=530 outmatched=360 wipe=321
124   Purple   1           9679    19580        0      8      8      773     5919    37559  FOELOST=139613 FOESEEN=143864 OWNSEEN=5919  GAD p1 off=29 def=14 sig=15 | p2 off=14 def=30 sig=14  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=38 reach=7747 cred=15948 paid=3714 altkill=8601 altcost=3714 altdiff=0  block=735 wiper=38  | critical=3370 watch=2845 wait=935 outmatched=405 free=400 block=302 wipe=187
125   Black    2           7287        0    28930      8      8      318     2119    14565  FOELOST=8561 FOESEEN=14565 OWNSEEN=2119  GAD p1 off=12 def=9 sig=12 | p2 off=8 def=2 sig=17  DEFGAD p1=heal_2 p2=wall  WIPE n=80 reach=2740 cred=17485 paid=1167 altkill=2741 altcost=1167 altdiff=0  block=238 wiper=80  | watch=1014 critical=685 outmatched=685 wait=650 block=534 wipe=401
126   Purple   1           5580     2000        0      7      5       35      105     1003  FOELOST=3299 FOESEEN=3303 OWNSEEN=26566  GAD p1 off=10 def=18 sig=10 | p2 off=7 def=13 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=35  | watch=3934 critical=323 wait=85 outmatched=30
127   Black    2           8321        0     2000      8      8      489     7453   108471  FOELOST=19131 FOESEEN=108471 OWNSEEN=7453  GAD p1 off=17 def=22 sig=10 | p2 off=14 def=3 sig=13  DEFGAD p1=speed_3 p2=wall_2  WIPE n=64 reach=10102 cred=171541 paid=6603 altkill=9934 altcost=6301 altdiff=2  block=425 wiper=64  | critical=1745 watch=1419 wait=1075 block=414 wipe=321 outmatched=10
128   Purple   2           6269        0     1365      4      7      271     2177     6605  FOELOST=5611 FOESEEN=22175 OWNSEEN=2177  GAD p1 off=5 def=3 sig=4 | p2 off=13 def=17 sig=3  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=41 reach=2608 cred=38380 paid=1950 altkill=2611 altcost=1950 altdiff=0  block=227 wiper=43 =1  | watch=2600 critical=1201 wait=820 outmatched=225 wipe=205 block=10
129   Black    1           8539    31695        0      8      7      461     4808    20476  FOELOST=20096 FOESEEN=20476 OWNSEEN=4808  GAD p1 off=12 def=14 sig=22 | p2 off=18 def=25 sig=12  DEFGAD p1=heal_2 p2=speed_3  WIPE n=47 reach=7931 cred=41657 paid=4394 altkill=8061 altcost=4435 altdiff=1  block=414 wiper=47  | block=2357 watch=1260 wait=749 free=360 wipe=233 critical=189 outmatched=35
130   Red      1           9853    18762        0      8      8      727     1967    35650  FOELOST=35514 FOESEEN=35650 OWNSEEN=100802  GAD p1 off=20 def=30 sig=5 | p2 off=7 def=11 sig=15  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=24 reach=796 cred=17257 paid=561 altkill=814 altcost=576 altdiff=1  block=703 wiper=24  | watch=3268 block=3153 critical=646 wait=635 free=365 outmatched=200 wipe=119
