STALL TEST -- single tier-N attacker vs a stream of tier-1 chumps
  castle HP     : 23000 both sides
  income        : $5000/s both sides (spawns are never money-limited)
  attacker teams: Black,Blue,Green,Orange,Purple,Red,White,Yellow
  blocker       : mirror
  tiers         : 5,6,7,8
  spawn periods : 1,2,3,5,10,15,20,30,45,60,90,120,180,240 ticks  (30.0/s,15.0/s,10.0/s,6.0/s,3.0/s,2.0/s,1.5/s,1.0/s,0.7/s,0.5/s,0.3/s,0.2/s,0.2/s,0.1/s)
  attacker seat : 1
  attacker castle: normal (chumps can win the game outright)
  horizon       : 36000 ticks (1200s); the real game ends at 600s

=== ATTACKER IN SEAT P1 ===

--- blockers every 1 ticks (30.0/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Orange   6  zander         phil               149.0s        178.1s      29.1s    1.20x     119      476    16.38  100% castle_destroyed  
Orange   7  tiger          phil                29.6s         NEVER        inf      inf     450     1800        -  100% attacker_killed   
Orange   8  hwy            phil                23.9s        >1200s        inf      inf     800     3200        -  100% survived_horizon  
Purple   5  bit            cant               197.4s      DEF WINS        inf      inf      28       28        -  100% defender_won      
Purple   6  cube           cant                37.7s         67.5s      29.8s    1.79x      45       45     1.51  100% castle_destroyed  
Purple   7  monky          cant                29.4s      DEF WINS        inf      inf     424      424        -  100% defender_won      
Purple   8  bigblobbo      cant                33.4s        >1200s        inf      inf     800      800        -  100% survived_horizon  
Red      5  birdo          derpyberd          199.4s         NEVER        inf      inf      62       62        -  100% attacker_killed   
Red      6  the_puncher    derpyberd           46.8s        123.2s      76.5s    2.64x      83       83     1.09  100% castle_destroyed  
Red      7  caw            derpyberd           17.5s        >1200s        inf      inf     800      800        -  100% survived_horizon  
Red      8  draggo         derpyberd           33.4s        >1200s        inf      inf     800      800        -  100% survived_horizon  
White    5  alpacco        doggo              243.3s         NEVER        inf      inf      53      159        -  100% attacker_killed   
White    6  bread          doggo               88.7s         NEVER        inf      inf     168      504        -  100% attacker_killed   
White    7  eggo           doggo               11.8s         NEVER        inf      inf     446     1338        -  100% attacker_killed   
White    8  corn           doggo               61.7s        >1200s        inf      inf     800     2400        -  100% survived_horizon  
Yellow   5  jig            minnow             162.0s         NEVER        inf      inf      48       96        -  100% attacker_killed   
Yellow   6  bub            minnow             174.8s         NEVER        inf      inf      79      158        -  100% attacker_killed   
Yellow   7  deus           minnow              31.0s        328.8s     297.8s   10.61x     220      440     1.48  100% castle_destroyed  
Yellow   8  lyon           minnow              33.4s        >1200s        inf      inf     800     1600        -  100% survived_horizon  

--- blockers every 60 ticks (0.5/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s         NEVER        inf      inf      33       66        -  100% attacker_killed   
Black    6  weirdo         evilminnow          57.9s        103.9s      46.0s    1.79x      52      104     2.26  100% castle_destroyed  
Black    7  gorillo        evilminnow          30.5s        122.0s      91.5s    4.00x      61      122     1.33  100% castle_destroyed  
Black    8  evilguy        evilminnow          33.4s        >1200s        inf      inf     600     1200        -  100% survived_horizon  
Blue     5  squid          fishy              198.6s         NEVER        inf      inf      47      141        -  100% attacker_killed   
Blue     6  judge          fishy               99.6s         NEVER        inf      inf     197      591        -  100% attacker_killed   
Blue     7  octoboi        fishy               39.5s         NEVER        inf      inf     553     1659        -  100% attacker_killed   
Blue     8  lightningbear  fishy               19.2s        >1200s        inf      inf     600     1800        -  100% survived_horizon  
Green    5  gecko          minisnecko         199.3s         NEVER        inf      inf      51       51        -  100% attacker_killed   
Green    6  geico          minisnecko          98.1s         NEVER        inf      inf     147      147        -  100% attacker_killed   
Green    7  nom            minisnecko          11.1s         13.3s       2.3s    1.20x       7        7     3.09  100% castle_destroyed  
Green    8  trogdor        minisnecko          16.4s        >1200s        inf      inf     600      600        -  100% survived_horizon  
Orange   5  scott          phil               182.6s         NEVER        inf      inf      22       88        -  100% attacker_killed   
Orange   6  zander         phil               149.0s        169.4s      20.4s    1.14x      85      340    16.67  100% castle_destroyed  
Orange   7  tiger          phil                29.6s         NEVER        inf      inf     455     1820        -  100% attacker_killed   
Orange   8  hwy            phil                23.9s        >1200s        inf      inf     600     2400        -  100% survived_horizon  
Purple   5  bit            cant               197.4s         NEVER        inf      inf      27       27        -  100% attacker_killed   
Purple   6  cube           cant                37.7s         56.0s      18.3s    1.49x      28       28     1.53  100% castle_destroyed  
Purple   7  monky          cant                29.4s         NEVER        inf      inf     427      427        -  100% attacker_killed   
Purple   8  bigblobbo      cant                33.4s        >1200s        inf      inf     600      600        -  100% survived_horizon  
Red      5  birdo          derpyberd          199.4s         NEVER        inf      inf      60       60        -  100% attacker_killed   
Red      6  the_puncher    derpyberd           46.8s         86.5s      39.7s    1.85x      44       44     1.11  100% castle_destroyed  
Red      7  caw            derpyberd           17.5s         64.3s      46.8s    3.67x      33       33     0.71  100% castle_destroyed  
Red      8  draggo         derpyberd           33.4s        >1200s        inf      inf     600      600        -  100% survived_horizon  
White    5  alpacco        doggo              243.3s         NEVER        inf      inf      57      171        -  100% attacker_killed   
White    6  bread          doggo               88.7s        218.5s     129.7s    2.46x     110      330     2.54  100% castle_destroyed  
White    7  eggo           doggo               11.8s         44.2s      32.4s    3.74x      23       69     2.13  100% castle_destroyed  
White    8  corn           doggo               61.7s        >1200s        inf      inf     600     1800        -  100% survived_horizon  
Yellow   5  jig            minnow             162.0s         NEVER        inf      inf      46       92        -  100% attacker_killed   
Yellow   6  bub            minnow             174.8s         NEVER        inf      inf      76      152        -  100% attacker_killed   
Yellow   7  deus           minnow              31.0s         72.1s      41.1s    2.33x      37       74     1.80  100% castle_destroyed  
Yellow   8  lyon           minnow              33.4s        >1200s        inf      inf     600     1200        -  100% survived_horizon  

--- blockers every 90 ticks (0.3/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s         NEVER        inf      inf      35       70        -  100% attacker_killed   
Black    6  weirdo         evilminnow          57.9s         81.3s      23.4s    1.40x      28       56     2.39  100% castle_destroyed  
Black    7  gorillo        evilminnow          30.5s         51.1s      20.6s    1.67x      18       36     1.75  100% castle_destroyed  
Black    8  evilguy        evilminnow          33.4s        >1200s        inf      inf     400      800        -  100% survived_horizon  
Blue     5  squid          fishy              198.6s         NEVER        inf      inf      46      138        -  100% attacker_killed   
Blue     6  judge          fishy               99.6s        195.0s      95.4s    1.96x      65      195     2.04  100% castle_destroyed  
Blue     7  octoboi        fishy               39.5s        159.1s     119.7s    4.03x      54      162     1.35  100% castle_destroyed  
Blue     8  lightningbear  fishy               19.2s        >1200s        inf      inf     400     1200        -  100% survived_horizon  
Green    5  gecko          minisnecko         199.3s        238.9s      39.7s    1.20x      80       80     2.02  100% castle_destroyed  
Green    6  geico          minisnecko          98.1s        219.2s     121.0s    2.23x      74       74     0.61  100% castle_destroyed  
Green    7  nom            minisnecko          11.1s         12.2s       1.1s    1.10x       5        5     4.41  100% castle_destroyed  
Green    8  trogdor        minisnecko          16.4s        >1200s        inf      inf     400      400        -  100% survived_horizon  
Orange   5  scott          phil               182.6s         NEVER        inf      inf      22       88        -  100% attacker_killed   
Orange   6  zander         phil               149.0s        162.2s      13.2s    1.09x      55      220    16.62  100% castle_destroyed  
Orange   7  tiger          phil                29.6s         75.1s      45.5s    2.54x      26      104     2.29  100% castle_destroyed  
Orange   8  hwy            phil                23.9s        >1200s        inf      inf     400     1600        -  100% survived_horizon  
Purple   5  bit            cant               197.4s      DEF WINS        inf      inf      28       28        -  100% defender_won      
Purple   6  cube           cant                37.7s         47.8s      10.1s    1.27x      16       16     1.59  100% castle_destroyed  
Purple   7  monky          cant                29.4s         69.2s      39.8s    2.36x      24       24     0.60  100% castle_destroyed  
Purple   8  bigblobbo      cant                33.4s        >1200s        inf      inf     400      400        -  100% survived_horizon  
Red      5  birdo          derpyberd          199.4s         NEVER        inf      inf      61       61        -  100% attacker_killed   
Red      6  the_puncher    derpyberd           46.8s         67.6s      20.9s    1.45x      23       23     1.10  100% castle_destroyed  
Red      7  caw            derpyberd           17.5s         29.4s      11.9s    1.68x      10       10     0.84  100% castle_destroyed  
Red      8  draggo         derpyberd           33.4s        >1200s        inf      inf     400      400        -  100% survived_horizon  
White    5  alpacco        doggo              243.3s         NEVER        inf      inf      51      153        -  100% attacker_killed   
White    6  bread          doggo               88.7s        147.2s      58.5s    1.66x      50      150     2.57  100% castle_destroyed  
White    7  eggo           doggo               11.8s         20.4s       8.6s    1.73x       7       21     2.44  100% castle_destroyed  
White    8  corn           doggo               61.7s        >1200s        inf      inf     400     1200        -  100% survived_horizon  
Yellow   5  jig            minnow             162.0s         NEVER        inf      inf      44       88        -  100% attacker_killed   
Yellow   6  bub            minnow             174.8s         NEVER        inf      inf      78      156        -  100% attacker_killed   
Yellow   7  deus           minnow              31.0s         45.2s      14.2s    1.46x      16       32     2.26  100% castle_destroyed  
Yellow   8  lyon           minnow              33.4s        >1200s        inf      inf     400      800        -  100% survived_horizon  

--- blockers every 120 ticks (0.2/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s         NEVER        inf      inf      41       82        -  100% attacker_killed   
Black    6  weirdo         evilminnow          57.9s         73.9s      16.0s    1.28x      19       38     2.37  100% castle_destroyed  
Black    7  gorillo        evilminnow          30.5s         42.3s      11.8s    1.39x      11       22     1.86  100% castle_destroyed  
Black    8  evilguy        evilminnow          33.4s        >1200s        inf      inf     300      600        -  100% survived_horizon  
Blue     5  squid          fishy              198.6s         NEVER        inf      inf      47      141        -  100% attacker_killed   
Blue     6  judge          fishy               99.6s        155.5s      55.9s    1.56x      39      117     2.09  100% castle_destroyed  
Blue     7  octoboi        fishy               39.5s         79.4s      39.9s    2.01x      20       60     1.50  100% castle_destroyed  
Blue     8  lightningbear  fishy               19.2s        >1200s        inf      inf     300      900        -  100% survived_horizon  
Green    5  gecko          minisnecko         199.3s        227.8s      28.6s    1.14x      57       57     2.00  100% castle_destroyed  
Green    6  geico          minisnecko          98.1s        167.5s      69.4s    1.71x      42       42     0.61  100% castle_destroyed  
Green    7  nom            minisnecko          11.1s         11.7s       0.6s    1.06x       3        3     4.74  100% castle_destroyed  
Green    8  trogdor        minisnecko          16.4s        >1200s        inf      inf     300      300        -  100% survived_horizon  
Orange   5  scott          phil               182.6s         NEVER        inf      inf      22       88        -  100% attacker_killed   
Orange   6  zander         phil               149.0s        158.1s       9.1s    1.06x      40      160    17.52  100% castle_destroyed  
Orange   7  tiger          phil                29.6s         51.1s      21.5s    1.73x      13       52     2.42  100% castle_destroyed  
Orange   8  hwy            phil                23.9s        >1200s        inf      inf     300     1200        -  100% survived_horizon  
Purple   5  bit            cant               197.4s      DEF WINS        inf      inf      26       26        -  100% defender_won      
Purple   6  cube           cant                37.7s         45.1s       7.4s    1.20x      12       12     1.62  100% castle_destroyed  
Purple   7  monky          cant                29.4s         47.5s      18.1s    1.62x      12       12     0.66  100% castle_destroyed  
Purple   8  bigblobbo      cant                33.4s        >1200s        inf      inf     300      300        -  100% survived_horizon  
Red      5  birdo          derpyberd          199.4s        230.5s      31.0s    1.16x      58       58     1.87  100% castle_destroyed  
Red      6  the_puncher    derpyberd           46.8s         59.9s      13.1s    1.28x      15       15     1.15  100% castle_destroyed  
Red      7  caw            derpyberd           17.5s         23.9s       6.4s    1.36x       6        6     0.94  100% castle_destroyed  
Red      8  draggo         derpyberd           33.4s        >1200s        inf      inf     300      300        -  100% survived_horizon  
White    5  alpacco        doggo              243.3s         NEVER        inf      inf      56      168        -  100% attacker_killed   
White    6  bread          doggo               88.7s        124.5s      35.7s    1.40x      32       96     2.69  100% castle_destroyed  
White    7  eggo           doggo               11.8s         16.0s       4.1s    1.35x       4       12     2.90  100% castle_destroyed  
White    8  corn           doggo               61.7s        >1200s        inf      inf     300      900        -  100% survived_horizon  
Yellow   5  jig            minnow             162.0s         NEVER        inf      inf      45       90        -  100% attacker_killed   
Yellow   6  bub            minnow             174.8s         NEVER        inf      inf      77      154        -  100% attacker_killed   
Yellow   7  deus           minnow              31.0s         39.5s       8.5s    1.28x      10       20     2.34  100% castle_destroyed  
Yellow   8  lyon           minnow              33.4s        >1200s        inf      inf     300      600        -  100% survived_horizon  

--- blockers every 180 ticks (0.2/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s         NEVER        inf      inf      35       70        -  100% attacker_killed   
Black    6  weirdo         evilminnow          57.9s         67.8s       9.9s    1.17x      12       24     2.42  100% castle_destroyed  
Black    7  gorillo        evilminnow          30.5s         35.8s       5.3s    1.17x       6       12     2.28  100% castle_destroyed  
Black    8  evilguy        evilminnow          33.4s         60.1s      26.7s    1.80x      11       22     0.82  100% castle_destroyed  
Blue     5  squid          fishy              198.6s        222.4s      23.8s    1.12x      38      114     4.78  100% castle_destroyed  
Blue     6  judge          fishy               99.6s        130.5s      30.9s    1.31x      22       66     2.14  100% castle_destroyed  
Blue     7  octoboi        fishy               39.5s         57.1s      17.6s    1.45x      10       30     1.70  100% castle_destroyed  
Blue     8  lightningbear  fishy               19.2s         59.7s      40.5s    3.11x      10       30     0.74  100% castle_destroyed  
Green    5  gecko          minisnecko         199.3s        218.2s      18.9s    1.09x      37       37     1.96  100% castle_destroyed  
Green    6  geico          minisnecko          98.1s        134.0s      35.9s    1.37x      23       23     0.64  100% castle_destroyed  
Green    7  nom            minisnecko          11.1s         11.6s       0.6s    1.05x       2        2     3.53  100% castle_destroyed  
Green    8  trogdor        minisnecko          16.4s         53.6s      37.2s    3.27x       9        9     0.24  100% castle_destroyed  
Orange   5  scott          phil               182.6s         NEVER        inf      inf      22       88        -  100% attacker_killed   
Orange   6  zander         phil               149.0s        154.9s       5.9s    1.04x      26      104    17.73  100% castle_destroyed  
Orange   7  tiger          phil                29.6s         39.4s       9.8s    1.33x       7       28     2.86  100% castle_destroyed  
Orange   8  hwy            phil                23.9s         60.0s      36.1s    2.51x      11       44     1.22  100% castle_destroyed  
Purple   5  bit            cant               197.4s         NEVER        inf      inf      28       28        -  100% attacker_killed   
Purple   6  cube           cant                37.7s         41.8s       4.1s    1.11x       7        7     1.72  100% castle_destroyed  
Purple   7  monky          cant                29.4s         38.8s       9.4s    1.32x       7        7     0.74  100% castle_destroyed  
Purple   8  bigblobbo      cant                33.4s         59.9s      26.6s    1.80x      10       10     0.38  100% castle_destroyed  
Red      5  birdo          derpyberd          199.4s        219.6s      20.1s    1.10x      37       37     1.84  100% castle_destroyed  
Red      6  the_puncher    derpyberd           46.8s         54.3s       7.5s    1.16x      10       10     1.33  100% castle_destroyed  
Red      7  caw            derpyberd           17.5s         21.5s       3.9s    1.22x       4        4     1.02  100% castle_destroyed  
Red      8  draggo         derpyberd           33.4s         71.7s      38.3s    2.15x      12       12     0.31  100% castle_destroyed  
White    5  alpacco        doggo              243.3s        287.3s      44.0s    1.18x      48      144     3.27  100% castle_destroyed  
White    6  bread          doggo               88.7s        110.1s      21.3s    1.24x      19       57     2.67  100% castle_destroyed  
White    7  eggo           doggo               11.8s         14.9s       3.1s    1.26x       3        9     2.90  100% castle_destroyed  
White    8  corn           doggo               61.7s         89.8s      28.1s    1.46x      15       45     1.60  100% castle_destroyed  
Yellow   5  jig            minnow             162.0s        174.2s      12.2s    1.08x      30       60     4.93  100% castle_destroyed  
Yellow   6  bub            minnow             174.8s        291.5s     116.7s    1.67x      49       98     0.84  100% castle_destroyed  
Yellow   7  deus           minnow              31.0s         35.3s       4.3s    1.14x       6       12     2.79  100% castle_destroyed  
Yellow   8  lyon           minnow              33.4s         59.9s      26.6s    1.80x      10       20     0.75  100% castle_destroyed  

--- blockers every 240 ticks (0.1/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s        200.2s      12.9s    1.07x      26       52     4.04  100% castle_destroyed  
Black    6  weirdo         evilminnow          57.9s         64.2s       6.3s    1.11x       9       18     2.84  100% castle_destroyed  
Black    7  gorillo        evilminnow          30.5s         35.5s       5.0s    1.16x       5       10     2.01  100% castle_destroyed  
Black    8  evilguy        evilminnow          33.4s         40.1s       6.7s    1.20x       6       12     1.79  100% castle_destroyed  
Blue     5  squid          fishy              198.6s        215.1s      16.5s    1.08x      27       81     4.91  100% castle_destroyed  
Blue     6  judge          fishy               99.6s        122.2s      22.5s    1.23x      16       48     2.13  100% castle_destroyed  
Blue     7  octoboi        fishy               39.5s         47.9s       8.4s    1.21x       6       18     2.14  100% castle_destroyed  
Blue     8  lightningbear  fishy               19.2s         30.2s      11.0s    1.57x       4       12     1.09  100% castle_destroyed  
Green    5  gecko          minisnecko         199.3s        213.2s      13.9s    1.07x      27       27     1.94  100% castle_destroyed  
Green    6  geico          minisnecko          98.1s        124.0s      25.9s    1.26x      16       16     0.62  100% castle_destroyed  
Green    7  nom            minisnecko          11.1s         11.6s       0.6s    1.05x       2        2     3.53  100% castle_destroyed  
Green    8  trogdor        minisnecko          16.4s         24.2s       7.9s    1.48x       4        4     0.51  100% castle_destroyed  
Orange   5  scott          phil               182.6s         NEVER        inf      inf      22       88        -  100% attacker_killed   
Orange   6  zander         phil               149.0s        153.5s       4.5s    1.03x      20       80    17.91  100% castle_destroyed  
Orange   7  tiger          phil                29.6s         36.3s       6.7s    1.23x       5       20     3.00  100% castle_destroyed  
Orange   8  hwy            phil                23.9s         32.1s       8.1s    1.34x       5       20     2.46  100% castle_destroyed  
Purple   5  bit            cant               197.4s         NEVER        inf      inf      25       25        -  100% attacker_killed   
Purple   6  cube           cant                37.7s         41.1s       3.4s    1.09x       6        6     1.76  100% castle_destroyed  
Purple   7  monky          cant                29.4s         35.9s       6.6s    1.22x       5        5     0.76  100% castle_destroyed  
Purple   8  bigblobbo      cant                33.4s         39.9s       6.6s    1.20x       5        5     0.76  100% castle_destroyed  
Red      5  birdo          derpyberd          199.4s        213.3s      13.9s    1.07x      27       27     1.94  100% castle_destroyed  
Red      6  the_puncher    derpyberd           46.8s         52.4s       5.6s    1.12x       7        7     1.24  100% castle_destroyed  
Red      7  caw            derpyberd           17.5s         20.7s       3.2s    1.18x       3        3     0.95  100% castle_destroyed  
Red      8  draggo         derpyberd           33.4s         40.4s       7.0s    1.21x       6        6     0.85  100% castle_destroyed  
White    5  alpacco        doggo              243.3s        274.8s      31.5s    1.13x      35      105     3.34  100% castle_destroyed  
White    6  bread          doggo               88.7s        103.2s      14.4s    1.16x      13       39     2.70  100% castle_destroyed  
White    7  eggo           doggo               11.8s         13.4s       1.6s    1.13x       2        6     3.83  100% castle_destroyed  
White    8  corn           doggo               61.7s         71.6s       9.9s    1.16x       9       27     2.74  100% castle_destroyed  
Yellow   5  jig            minnow             162.0s        171.1s       9.1s    1.06x      22       44     4.82  100% castle_destroyed  
Yellow   6  bub            minnow             174.8s        246.3s      71.5s    1.41x      31       62     0.87  100% castle_destroyed  
Yellow   7  deus           minnow              31.0s         35.3s       4.3s    1.14x       5       10     2.34  100% castle_destroyed  
Yellow   8  lyon           minnow              33.4s         39.9s       6.6s    1.20x       5       10     1.52  100% castle_destroyed  

=== SUMMARY: median stall factor by tier (both seats pooled) ===
tier  interval  n     med no-def  med stalled  med factor  attacker killed
5     1         8         198.0s        25.4s       0.13x              8/8
5     2         8         198.0s        44.7s       0.23x              8/8
5     3         8         198.0s        66.7s       0.35x              8/8
5     5         8         198.0s       132.5s       0.74x              8/8
5     10        8         198.0s       576.3s       3.27x              8/8
5     15        8         198.0s       808.0s       4.17x              8/8
5     20        8         198.0s      1200.0s       6.02x              8/8
5     30        8         198.0s      1200.0s       6.03x              8/8
5     45        8         198.0s      1200.0s       6.03x              8/8
5     60        8         198.0s      1200.0s       6.06x              8/8
5     90        8         198.0s      1200.0s       6.03x              7/8
5     120       8         198.0s      1200.0s       6.01x              6/8
5     180       8         198.0s       254.9s       1.15x              3/8
5     240       8         198.0s       214.2s       1.08x              2/8
6     1         8          93.4s        24.7s       0.32x              8/8
6     2         8          93.4s        41.6s       0.47x              8/8
6     3         8          93.4s        59.0s       0.88x              8/8
6     5         8          93.4s       108.1s       1.65x              8/8
6     10        8          93.4s       279.8s       3.95x              8/8
6     15        8          93.4s       706.2s       7.90x              8/8
6     20        8          93.4s       973.5s      12.14x              8/8
6     30        8          93.4s      1185.0s      12.88x              7/8
6     45        8          93.4s       689.0s       4.75x              4/8
6     60        8          93.4s       193.9s       2.16x              3/8
6     90        8          93.4s       154.7s       1.55x              1/8
6     120       8          93.4s       140.0s       1.34x              1/8
6     180       8          93.4s       120.3s       1.21x              0/8
6     240       8          93.4s       112.7s       1.14x              0/8
7     1         8          29.5s        38.1s       1.85x              8/8
7     2         8          29.5s        74.0s       2.89x              8/8
7     3         8          29.5s        97.9s       3.57x              8/8
7     5         8          29.5s       150.2s       5.37x              8/8
7     10        8          29.5s       386.1s      16.49x              8/8
7     15        8          29.5s       657.4s      30.78x              8/8
7     20        8          29.5s       935.6s      31.29x              7/8
7     30        8          29.5s      1168.2s      36.54x              7/8
7     45        8          29.5s      1200.0s      39.67x              5/8
7     60        8          29.5s        97.1s       3.87x              3/8
7     90        8          29.5s        48.1s       1.70x              0/8
7     120       8          29.5s        40.9s       1.37x              0/8
7     180       8          29.5s        35.5s       1.24x              0/8
7     240       8          29.5s        35.4s       1.17x              0/8
8     1         8          33.4s        82.1s       2.53x              8/8
8     2         8          33.4s       158.8s       4.75x              8/8
8     3         8          33.4s       231.7s       7.11x              8/8
8     5         8          33.4s       375.8s      11.49x              8/8
8     10        8          33.4s       717.6s      21.72x              7/8
8     15        8          33.4s      1060.2s      32.23x              5/8
8     20        8          33.4s      1200.0s      35.96x              3/8
8     30        8          33.4s      1200.0s      35.96x              0/8
8     45        8          33.4s      1200.0s      35.96x              0/8
8     60        8          33.4s      1200.0s      35.96x              0/8
8     90        8          33.4s      1200.0s      35.96x              0/8
8     120       8          33.4s      1200.0s      35.96x              0/8
8     180       8          33.4s        60.0s       1.97x              0/8
8     240       8          33.4s        39.9s       1.21x              0/8


Wrote 480 rows to stall/stall_realistic.csv
