BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7623    34000        0      8      8      340    11737    24596  FOELOST=24286 FOESEEN=24596 OWNSEEN=11737  GAD p1 off=10 def=24 sig=15 | p2 off=14 def=2 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=103 reach=17587 cred=37120 paid=11026 altkill=18148 altcost=11416 altdiff=5  block=237 wiper=103  | watch=1257 wait=1075 critical=632 block=582 wipe=511 free=210
66    Blue     1           6267    34000        0      6      7      175     2147     5118  FOELOST=7585 FOESEEN=25803 OWNSEEN=2147  GAD p1 off=11 def=16 sig=10 | p2 off=5 def=18 sig=6  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=44 reach=4253 cred=21301 paid=1754 altkill=4601 altcost=2068 altdiff=1  block=131 wiper=44  | watch=3276 wait=805 critical=581 wipe=219 block=94 outmatched=75
67    Red      2           8790        0    31930      8      8      768    68053    32783  FOELOST=31349 FOESEEN=32783 OWNSEEN=68053  GAD p1 off=18 def=9 sig=15 | p2 off=10 def=4 sig=15  DEFGAD p1=wall_2 p2=wall_2  WIPE n=323 reach=91036 cred=159709 paid=66309 altkill=88090 altcost=62781 altdiff=9  block=441 wiper=326 =1  | wipe=1976 block=1132 critical=1048 watch=727 wait=535 outmatched=10
68    Green    2           9579        0    78000      7      7      706   121901    75435  FOELOST=99775 FOESEEN=167865 OWNSEEN=121901  GAD p1 off=28 def=23 sig=18 | p2 off=14 def=29 sig=2  DEFGAD p1=heal_3 p2=reinforcements_3  WIPE n=164 reach=216515 cred=1134103 paid=120275 altkill=224626 altcost=120587 altdiff=4  block=542 wiper=164  | watch=3040 critical=2298 wait=1075 wipe=811 outmatched=580 block=537
69    White    1           7547     2000        0      8      5        0        0     1981  FOELOST=1965 FOESEEN=1981 OWNSEEN=50260  GAD p1 off=11 def=23 sig=6 | p2 off=13 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4502
70    Green    2           4187        0     1190      4      6       95      766     5485  FOELOST=2457 FOESEEN=8248 OWNSEEN=796  GAD p1 off=4 def=6 sig=4 | p2 off=5 def=13 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=34 reach=2166 cred=45645 paid=705 altkill=2409 altcost=705 altdiff=0  block=61 wiper=34  | watch=2150 wait=340 critical=327 wipe=204 block=19
71    White    2           6551        0    12000      7      7      221     9054    40611  FOELOST=13449 FOESEEN=40611 OWNSEEN=9054  GAD p1 off=16 def=13 sig=12 | p2 off=7 def=20 sig=8  DEFGAD p1=speed_2 p2=speed_2  WIPE n=27 reach=18056 cred=142715 paid=8860 altkill=18056 altcost=8860 altdiff=0  block=194 wiper=27  | watch=1724 critical=671 block=304 outmatched=295 wipe=133 wait=85 free=5
72    Green    2           7880        0     6863      8      8      539    20966    38187  FOELOST=13591 FOESEEN=38187 OWNSEEN=20966  GAD p1 off=6 def=7 sig=13 | p2 off=21 def=4 sig=21  DEFGAD p1=wall_2 p2=heal  WIPE n=198 reach=42733 cred=207285 paid=20298 altkill=42764 altcost=20298 altdiff=0  block=336 wiper=202 =1  | watch=1124 wipe=999 block=989 wait=750 critical=687 outmatched=5
73    White    1           8119    36010        0      8      8      298     4845    45004  FOELOST=42012 FOESEEN=45004 OWNSEEN=4845  GAD p1 off=11 def=13 sig=11 | p2 off=21 def=26 sig=10  DEFGAD p1=heal_2 p2=speed_3  WIPE n=67 reach=10683 cred=19358 paid=4152 altkill=11283 altcost=4152 altdiff=0  block=231 wiper=67  | watch=1704 block=1151 wait=885 free=620 wipe=333 critical=80
74    Orange   2          18000     2385    19972      7      7     1786    24488   129750  FOELOST=129750 FOESEEN=129750 OWNSEEN=412213  GAD p1 off=43 def=55 sig=23 | p2 off=16 def=15 sig=30  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=273 reach=51524 cred=86228 paid=22975 altkill=51921 altcost=23231 altdiff=14  block=1513 wiper=273  | block=5368 watch=5174 critical=2355 wait=1995 wipe=1352 outmatched=355
75    Yellow   1           7699    26544        0      8      8      289     4905    17253  FOELOST=14432 FOESEEN=17253 OWNSEEN=4905  GAD p1 off=8 def=19 sig=15 | p2 off=6 def=22 sig=6  DEFGAD p1=speed_2 p2=speed_3  WIPE n=74 reach=10218 cred=17933 paid=4260 altkill=11181 altcost=4416 altdiff=6  block=215 wiper=74  | watch=1445 block=1362 wait=754 wipe=364 free=290 critical=133
76    Orange   1           8509    24372        0      8      8      517    20787    63212  FOELOST=60784 FOESEEN=63212 OWNSEEN=20787  GAD p1 off=12 def=10 sig=9 | p2 off=11 def=5 sig=15  DEFGAD p1=wall_3 p2=wall_2  WIPE n=238 reach=42226 cred=193879 paid=20249 altkill=64856 altcost=25923 altdiff=17  block=273 wiper=243 =1  | wipe=1237 watch=1113 wait=980 critical=848 block=642 free=365
77    Yellow   2           9732        0    12000      7      8      827    39732    35975  FOELOST=110364 FOESEEN=134810 OWNSEEN=39732  GAD p1 off=16 def=9 sig=15 | p2 off=15 def=30 sig=0  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=265 reach=86953 cred=840645 paid=37520 altkill=87785 altcost=37619 altdiff=9  block=555 wiper=271 =1  | watch=2995 critical=2543 wipe=1371 wait=855 outmatched=460 block=285
78    Orange   1           8569     8538        0      8      8      600    21909    40869  FOELOST=40260 FOESEEN=40869 OWNSEEN=21909  GAD p1 off=24 def=11 sig=21 | p2 off=16 def=5 sig=13  DEFGAD p1=heal_2 p2=wall_2  WIPE n=182 reach=67822 cred=390518 paid=21491 altkill=76437 altcost=23851 altdiff=1  block=418 wiper=182  | block=1669 watch=1000 wipe=915 critical=831 wait=410 free=375
79    Yellow   2           4218        0     2000      4      6      103      909     5407  FOELOST=2526 FOESEEN=8332 OWNSEEN=1269  GAD p1 off=7 def=7 sig=4 | p2 off=6 def=13 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=68 reach=1038 cred=43904 paid=839 altkill=1161 altcost=854 altdiff=3  wiper=68 block=35  | watch=2170 wipe=432 critical=248 wait=205 block=15
80    Purple   2          11306        0    89000      8      8      738    81104    59212  FOELOST=54354 FOESEEN=59212 OWNSEEN=81104  GAD p1 off=26 def=34 sig=22 | p2 off=24 def=6 sig=23  DEFGAD p1=speed_3 p2=wall_2  WIPE n=292 reach=115949 cred=211926 paid=80658 altkill=120207 altcost=81620 altdiff=5  block=446 wiper=292  | block=1707 outmatched=1650 watch=1504 wipe=1441 wait=1079 critical=530 free=35
81    Black    2           7818        0    34000      7      8      517    39180    46585  FOELOST=29128 FOESEEN=46585 OWNSEEN=39180  GAD p1 off=22 def=6 sig=12 | p2 off=23 def=9 sig=15  DEFGAD p1=wall_2 p2=heal_2  WIPE n=109 reach=72578 cred=101009 paid=38778 altkill=72632 altcost=37208 altdiff=1  block=405 wiper=111 =1  | watch=1637 block=1078 critical=936 wait=585 wipe=548
82    Purple   1           9329    40928        0      8      8      565    32577    52189  FOELOST=51441 FOESEEN=52189 OWNSEEN=32577  GAD p1 off=8 def=12 sig=12 | p2 off=10 def=27 sig=13  DEFGAD p1=heal_2 p2=speed_3  WIPE n=139 reach=37849 cred=548182 paid=31725 altkill=39517 altcost=32197 altdiff=8  block=426 wiper=139  | watch=1909 block=1239 critical=1037 wipe=700 wait=375 outmatched=375 free=350
83    Black    2           6999        0    26253      5      7      161     3118    15661  FOELOST=6533 FOESEEN=15661 OWNSEEN=5998  GAD p1 off=11 def=15 sig=7 | p2 off=8 def=7 sig=18  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=55 reach=3302 cred=19153 paid=2800 altkill=3308 altcost=2800 altdiff=0  block=106 wiper=55  | watch=2977 wait=1669 critical=540 wipe=274 outmatched=80
84    Purple   1           9823     9703        0      8      7      282     3046    38610  FOELOST=19132 FOESEEN=38610 OWNSEEN=129766  GAD p1 off=25 def=30 sig=15 | p2 off=17 def=28 sig=15  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=36 reach=5495 cred=10778 paid=2062 altkill=5528 altcost=2062 altdiff=0  block=246 wiper=36  | watch=5175 block=862 wait=820 critical=376 wipe=178 free=95
85    Blue     2           6384        0    32963      8      7      372     8587    33692  FOELOST=7226 FOESEEN=33692 OWNSEEN=8587  GAD p1 off=9 def=14 sig=12 | p2 off=7 def=1 sig=10  DEFGAD p1=speed_2 p2=wall  WIPE n=160 reach=10974 cred=912877 paid=7951 altkill=13638 altcost=10014 altdiff=1  block=212 wiper=160  | critical=1032 watch=820 wipe=820 wait=295 block=88
86    Red      1          10292    57920        0      8      7      543    76894    20446  FOELOST=98898 FOESEEN=100281 OWNSEEN=76894  GAD p1 off=19 def=10 sig=12 | p2 off=18 def=28 sig=12  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=181 reach=85127 cred=698525 paid=76190 altkill=85554 altcost=75927 altdiff=2  block=359 wiper=183 =1  | watch=4522 critical=1215 wipe=1109 wait=980 block=872 free=375
87    Blue     2           9677        0    78000      8      8      832    36889    79315  FOELOST=33945 FOESEEN=79315 OWNSEEN=36889  GAD p1 off=21 def=8 sig=20 | p2 off=21 def=4 sig=17  DEFGAD p1=heal_2 p2=wall_2  WIPE n=276 reach=70728 cred=811431 paid=36333 altkill=91356 altcost=44720 altdiff=74  block=556 wiper=276  | critical=1489 block=1436 wipe=1380 wait=1045 watch=954
88    Red      2           6342        0    12000      5      7      220     1047    22396  FOELOST=13567 FOESEEN=50776 OWNSEEN=3372  GAD p1 off=14 def=15 sig=8 | p2 off=14 def=19 sig=1  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=44 reach=2919 cred=65401 paid=871 altkill=2948 altcost=856 altdiff=3  block=176 wiper=44  | watch=3040 wait=815 critical=773 wipe=224 block=214 outmatched=65
89    Blue     1           9019    20503        0      8      8      464    23307   107993  FOELOST=105724 FOESEEN=107993 OWNSEEN=23307  GAD p1 off=13 def=26 sig=15 | p2 off=17 def=1 sig=14  DEFGAD p1=speed_3 p2=wall  WIPE n=161 reach=47960 cred=145875 paid=22701 altkill=50226 altcost=22898 altdiff=5  block=303 wiper=161  | watch=1625 wait=1100 block=1065 wipe=828 free=550 critical=484
90    Red      2           7568        0     9266      5      8      423     7329    66448  FOELOST=11841 FOESEEN=66448 OWNSEEN=7329  GAD p1 off=7 def=5 sig=5 | p2 off=5 def=7 sig=15  DEFGAD p1=wall_2 p2=heal_2  WIPE n=154 reach=15987 cred=216107 paid=6537 altkill=17058 altcost=6596 altdiff=1  block=265 wiper=157 =1  | wait=1390 critical=1384 watch=965 wipe=768 outmatched=25 free=15
91    Green    1           8869    33086        0      8      8      569     5438    25557  FOELOST=24545 FOESEEN=25557 OWNSEEN=5438  GAD p1 off=25 def=4 sig=16 | p2 off=7 def=27 sig=15  DEFGAD p1=wall_2 p2=speed_3  WIPE n=87 reach=14324 cred=17416 paid=4960 altkill=14332 altcost=4960 altdiff=0  block=479 wiper=89 =1  | watch=2023 block=1384 critical=1023 free=450 wipe=437 wait=220
92    White    1           7594    34276        0      8      8      371    17950    41635  FOELOST=41531 FOESEEN=41635 OWNSEEN=17950  GAD p1 off=9 def=13 sig=15 | p2 off=9 def=3 sig=18  DEFGAD p1=heal_2 p2=heal  WIPE n=121 reach=20937 cred=88696 paid=17200 altkill=23815 altcost=19263 altdiff=4  block=250 wiper=121  | watch=1218 critical=892 block=647 wipe=612 wait=440 outmatched=235 free=225
93    Green    1           9165    11337        0      8      7      112     1242    11227  FOELOST=11165 FOESEEN=11227 OWNSEEN=81077  GAD p1 off=14 def=28 sig=10 | p2 off=15 def=25 sig=14  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=18 reach=2763 cred=4090 paid=1054 altkill=2855 altcost=1116 altdiff=1  block=94 wiper=18  | watch=6128 wait=475 block=392 free=180 critical=90 wipe=90
94    White    2          10482        0    78000      8      8      848   134721   160390  FOELOST=119404 FOESEEN=160390 OWNSEEN=134721  GAD p1 off=29 def=31 sig=19 | p2 off=21 def=10 sig=27  DEFGAD p1=speed_3 p2=heal_2  WIPE n=351 reach=341496 cred=793287 paid=132733 altkill=342657 altcost=132744 altdiff=1  block=497 wiper=351  | critical=1863 wipe=1759 watch=1684 wait=695 block=630 outmatched=325 free=165
95    Green    2           7416        0    19800      5      7      447     5421    16669  FOELOST=20008 FOESEEN=49184 OWNSEEN=5421  GAD p1 off=7 def=6 sig=8 | p2 off=13 def=20 sig=8  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=235 reach=11448 cred=443840 paid=5215 altkill=11936 altcost=5364 altdiff=11  wiper=239 block=207 =1  | watch=2920 wipe=1175 wait=905 critical=868 block=319 outmatched=15
96    Yellow   1           8599    34973        0      8      8      450    18632    87326  FOELOST=85881 FOESEEN=87326 OWNSEEN=18632  GAD p1 off=12 def=12 sig=13 | p2 off=15 def=3 sig=15  DEFGAD p1=heal_2 p2=wall_2  WIPE n=198 reach=35024 cred=94174 paid=18128 altkill=36525 altcost=18470 altdiff=17  block=252 wiper=198  | watch=1805 wipe=992 wait=740 critical=732 block=646 free=360
97    Orange   2           6215        0    23000      5      7      162     1758    12458  FOELOST=5784 FOESEEN=27228 OWNSEEN=3398  GAD p1 off=6 def=13 sig=4 | p2 off=15 def=17 sig=5  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=66 reach=3139 cred=110997 paid=1662 altkill=3383 altcost=1757 altdiff=3  block=96 wiper=66  | watch=3030 wipe=928 wait=570 critical=477
98    Yellow   2          13051        0    30038      7      8      994     6599    60025  FOELOST=52516 FOESEEN=60025 OWNSEEN=227458  GAD p1 off=33 def=38 sig=17 | p2 off=14 def=7 sig=24  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=115 reach=10637 cred=21784 paid=5720 altkill=10902 altcost=5900 altdiff=2  block=879 wiper=115  | watch=5730 block=4051 wait=750 wipe=572 critical=397
99    Orange   2           8345        0    27995      7      7      577    66756    27080  FOELOST=54190 FOESEEN=90047 OWNSEEN=66756  GAD p1 off=15 def=27 sig=16 | p2 off=9 def=25 sig=3  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=166 reach=185591 cred=1608627 paid=65523 altkill=186237 altcost=65757 altdiff=3  block=411 wiper=166  | watch=3225 critical=1689 wipe=1011 wait=750 block=417 outmatched=25
100   Yellow   2          18000    56000    72229      7      7      406   152441    67765  FOELOST=67341 FOESEEN=67765 OWNSEEN=152441  GAD p1 off=23 def=11 sig=23 | p2 off=28 def=44 sig=20  DEFGAD p1=wall_3 p2=speed_3  WIPE n=173 reach=220185 cred=260777 paid=151775 altkill=221920 altcost=151775 altdiff=0  block=225 wiper=180 =1  | outmatched=6220 watch=3998 wait=2164 critical=1076 wipe=855 free=305 block=54
101   Orange   2           8147        0    12000      7      8      613    42169    86329  FOELOST=66421 FOESEEN=86329 OWNSEEN=42169  GAD p1 off=23 def=14 sig=14 | p2 off=10 def=13 sig=16  DEFGAD p1=heal_2 p2=heal_2  WIPE n=163 reach=68294 cred=151757 paid=40369 altkill=68627 altcost=40397 altdiff=3  block=450 wiper=163  | critical=1766 wait=1225 watch=814 wipe=814 block=485
102   Black    1           6256     1500        0      7      5        0        0     1544  FOELOST=1516 FOESEEN=1544 OWNSEEN=25935  GAD p1 off=5 def=17 sig=11 | p2 off=8 def=12 sig=4  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4500
103   Purple   2           9049        0    67000      8      8      400    12296    27245  FOELOST=26686 FOESEEN=27245 OWNSEEN=12296  GAD p1 off=12 def=23 sig=11 | p2 off=15 def=14 sig=21  DEFGAD p1=speed_3 p2=heal_2  WIPE n=128 reach=14437 cred=55036 paid=11752 altkill=14479 altcost=11775 altdiff=1  block=272 wiper=128  | watch=1503 wipe=1150 block=923 free=625 critical=554 outmatched=495 wait=470
104   Black    1           9589    20669        0      8      8      763    12415    45092  FOELOST=42736 FOESEEN=45092 OWNSEEN=12415  GAD p1 off=27 def=4 sig=20 | p2 off=27 def=31 sig=13  DEFGAD p1=wall_2 p2=speed_3  WIPE n=98 reach=27234 cred=33854 paid=11754 altkill=27234 altcost=11754 altdiff=0  block=664 wiper=98 =1  | block=2728 watch=1578 critical=607 free=530 wipe=490 wait=295
105   Purple   2           8952        0    29713      8      8      788    41279   142877  FOELOST=27271 FOESEEN=142877 OWNSEEN=41279  GAD p1 off=11 def=13 sig=22 | p2 off=23 def=2 sig=16  DEFGAD p1=wall_3 p2=wall  WIPE n=318 reach=92341 cred=1415555 paid=40822 altkill=92461 altcost=40825 altdiff=1  block=462 wiper=325 =1  | wipe=1584 critical=1412 watch=1189 block=899 wait=520
106   Black    2           6314        0    11400      5      7      151     2883     7666  FOELOST=7200 FOESEEN=28351 OWNSEEN=2883  GAD p1 off=10 def=8 sig=7 | p2 off=5 def=18 sig=6  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=42 reach=7160 cred=105257 paid=2665 altkill=7164 altcost=2665 altdiff=0  block=109 wiper=42  | watch=3700 wait=575 critical=563 wipe=212 block=40 outmatched=15
107   Red      2           7497        0     1500      5      7      365     5405    56845  FOELOST=8220 FOESEEN=56845 OWNSEEN=8285  GAD p1 off=5 def=15 sig=6 | p2 off=5 def=1 sig=11  DEFGAD p1=reinforcements_3 p2=wall  WIPE n=157 reach=10912 cred=279581 paid=4781 altkill=11192 altcost=4331 altdiff=10  block=208 wiper=157  | watch=2750 wait=1295 critical=1231 wipe=787 outmatched=45
108   Blue     2           7019        0     2000      6      7      341     9492    36960  FOELOST=28798 FOESEEN=78150 OWNSEEN=9492  GAD p1 off=19 def=19 sig=11 | p2 off=9 def=21 sig=0  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=137 reach=26952 cred=301289 paid=9288 altkill=27052 altcost=9288 altdiff=0  block=204 wiper=137  | watch=2747 wipe=946 critical=907 wait=790 outmatched=255 block=142
109   Red      1           7939    25010        0      8      8      436    19394    19049  FOELOST=17924 FOESEEN=19049 OWNSEEN=19394  GAD p1 off=11 def=5 sig=15 | p2 off=10 def=25 sig=13  DEFGAD p1=wall_2 p2=speed_3  WIPE n=132 reach=27308 cred=44985 paid=18497 altkill=28383 altcost=18497 altdiff=0  block=301 wiper=134 =1  | block=1532 watch=1048 free=735 wipe=683 wait=500 critical=89 outmatched=5
110   Blue     2           7562        0     2000      7      8      322    31585    38657  FOELOST=26370 FOESEEN=38657 OWNSEEN=31585  GAD p1 off=14 def=11 sig=8 | p2 off=12 def=7 sig=14  DEFGAD p1=heal_2 p2=heal_2  WIPE n=64 reach=50747 cred=82309 paid=31069 altkill=50900 altcost=31131 altdiff=1  block=258 wiper=64  | watch=1669 wait=1255 critical=685 block=604 wipe=321
111   Red      1           6656    11760        0      7      6       22      143     3711  FOELOST=3687 FOESEEN=3711 OWNSEEN=41540  GAD p1 off=14 def=20 sig=11 | p2 off=10 def=19 sig=8  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=5 reach=336 cred=840 paid=75 altkill=357 altcost=75 altdiff=0  block=17 wiper=5  | watch=5016 wait=95 critical=88 wipe=30
112   Blue     2           7771        0    29999      5      8      360     4243   148844  FOELOST=21820 FOESEEN=148844 OWNSEEN=6568  GAD p1 off=10 def=15 sig=9 | p2 off=16 def=6 sig=15  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=82 reach=9003 cred=55738 paid=3965 altkill=9021 altcost=3965 altdiff=0  block=278 wiper=82  | watch=2690 wait=1665 critical=1361 wipe=413 block=34
113   White    1           8389    33833        0      8      8      340    12016    65588  FOELOST=63716 FOESEEN=65588 OWNSEEN=12016  GAD p1 off=12 def=24 sig=11 | p2 off=20 def=27 sig=10  DEFGAD p1=speed_3 p2=speed_3  WIPE n=81 reach=38037 cred=48069 paid=11498 altkill=38938 altcost=11701 altdiff=2  block=259 wiper=81  | watch=2370 block=1125 free=545 wipe=397 wait=395 critical=198
114   Green    1           9409    20000        0      8      8      729    17801    42167  FOELOST=39563 FOESEEN=42167 OWNSEEN=17801  GAD p1 off=26 def=4 sig=20 | p2 off=5 def=6 sig=22  DEFGAD p1=wall_2 p2=wall_2  WIPE n=117 reach=45551 cred=117464 paid=17193 altkill=45616 altcost=17238 altdiff=1  block=610 wiper=118 =1  | block=2057 watch=1489 critical=1041 free=715 wipe=597 wait=130 outmatched=40
115   White    2           6696        0    24927      7      7      286    24997    20858  FOELOST=21910 FOESEEN=58213 OWNSEEN=24997  GAD p1 off=10 def=7 sig=12 | p2 off=7 def=20 sig=7  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=107 reach=83953 cred=262618 paid=24818 altkill=84073 altcost=24866 altdiff=8  block=179 wiper=107  | watch=3440 critical=799 wipe=530 wait=465 block=249
116   Green    1           5783     2000        0      7      5       33      105     1230  FOELOST=1219 FOESEEN=1230 OWNSEEN=34830  GAD p1 off=10 def=18 sig=11 | p2 off=10 def=6 sig=4  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=3 reach=25 cred=352 paid=15 altkill=80 altcost=30 altdiff=1  block=30 wiper=3  | watch=4208 critical=154 wait=45 wipe=15
117   White    2           6457        0     2000      5      7      260     3139    13385  FOELOST=11865 FOESEEN=34070 OWNSEEN=3139  GAD p1 off=6 def=9 sig=6 | p2 off=10 def=18 sig=6  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=124 reach=5929 cred=155135 paid=2731 altkill=6776 altcost=3075 altdiff=5  block=136 wiper=124  | watch=2879 wait=900 wipe=621 critical=584 block=225 outmatched=35
118   Green    1          11149    46745        0      8      8      921   115389   103872  FOELOST=103722 FOESEEN=103872 OWNSEEN=115389  GAD p1 off=14 def=34 sig=20 | p2 off=23 def=5 sig=19  DEFGAD p1=speed_3 p2=wall_2  WIPE n=311 reach=122005 cred=286765 paid=112949 altkill=121643 altcost=110778 altdiff=6  block=610 wiper=311  | block=1924 wipe=1553 critical=1163 watch=1140 wait=1120 free=655 outmatched=220
119   Yellow   2           9645        0    78000      7      8      799    67061    44935  FOELOST=42655 FOESEEN=44935 OWNSEEN=67061  GAD p1 off=14 def=5 sig=23 | p2 off=21 def=15 sig=6  DEFGAD p1=wall_2 p2=heal_2  WIPE n=209 reach=89826 cred=203079 paid=66476 altkill=93893 altcost=68987 altdiff=12  block=586 wiper=212 =1  | critical=1885 block=1434 watch=1219 wipe=1044 wait=700
120   Orange   0           8749        0        0      8      8      496     9395    37667  FOELOST=37292 FOESEEN=37667 OWNSEEN=9395  GAD p1 off=18 def=14 sig=11 | p2 off=18 def=27 sig=13  DEFGAD p1=heal_2 p2=speed_3  WIPE n=115 reach=12584 cred=105344 paid=8633 altkill=12694 altcost=8633 altdiff=0  block=381 wiper=115  | block=1945 wait=1010 watch=870 free=640 wipe=567 critical=350 outmatched=10
121   Yellow   2           6809        0    11459      5      8      377     4513    74309  FOELOST=12209 FOESEEN=74309 OWNSEEN=6613  GAD p1 off=12 def=15 sig=4 | p2 off=13 def=9 sig=13  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=72 reach=7292 cred=303136 paid=4208 altkill=7508 altcost=4258 altdiff=2  block=305 wiper=72  | watch=2528 critical=1546 wait=840 wipe=360
122   Orange   1           8033    43533        0      7      7      299    36186    38256  FOELOST=38240 FOESEEN=38256 OWNSEEN=36186  GAD p1 off=11 def=22 sig=13 | p2 off=6 def=25 sig=12  DEFGAD p1=speed_3 p2=speed_3  WIPE n=10 reach=51728 cred=54215 paid=35897 altkill=51728 altcost=35897 altdiff=0  block=289 wiper=10  | watch=2549 critical=921 block=674 outmatched=385 wait=125 wipe=49
123   Yellow   2           9152        0    23000      8      8      536    16603    25328  FOELOST=24356 FOESEEN=25328 OWNSEEN=16603  GAD p1 off=19 def=9 sig=15 | p2 off=7 def=9 sig=25  DEFGAD p1=wall_2 p2=heal_2  WIPE n=190 reach=37780 cred=88248 paid=15929 altkill=38878 altcost=15987 altdiff=1  block=340 wiper=195 =1  | block=1416 watch=1129 wipe=955 wait=910 outmatched=525 free=455 critical=424
124   Purple   2           6361        0     2000      5      7      237     3845    21412  FOELOST=8548 FOESEEN=51872 OWNSEEN=3845  GAD p1 off=13 def=7 sig=7 | p2 off=8 def=19 sig=7  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=83 reach=5735 cred=126127 paid=3383 altkill=6013 altcost=3329 altdiff=1  block=154 wiper=83  | watch=2870 wait=985 critical=839 wipe=413 outmatched=45
125   Black    2           9588        0    28930      8      8      742   151853   102176  FOELOST=90746 FOESEEN=102176 OWNSEEN=151853  GAD p1 off=13 def=18 sig=17 | p2 off=14 def=5 sig=23  DEFGAD p1=heal_2 p2=wall_2  WIPE n=443 reach=475985 cred=1889910 paid=150657 altkill=478513 altcost=150800 altdiff=13  wiper=443 block=299  | wipe=2214 watch=1599 block=917 critical=666 wait=615 free=125 outmatched=115
126   Purple   1           5580     2000        0      7      5       35      105     1003  FOELOST=3299 FOESEEN=3303 OWNSEEN=26566  GAD p1 off=10 def=18 sig=10 | p2 off=7 def=13 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=35  | watch=3934 critical=323 wait=85 outmatched=30
127   Black    2          12499        0    78000      8      8      826   172345   185445  FOELOST=183200 FOESEEN=185445 OWNSEEN=172345  GAD p1 off=31 def=30 sig=19 | p2 off=24 def=5 sig=21  DEFGAD p1=speed_3 p2=wall_2  WIPE n=257 reach=307455 cred=3283659 paid=171207 altkill=359278 altcost=171117 altdiff=9  block=569 wiper=257  | watch=2389 block=1793 critical=1574 wipe=1282 wait=1175 free=870 outmatched=60
128   Purple   2           5415        0     9585      4      6      206     1504     8090  FOELOST=4178 FOESEEN=10850 OWNSEEN=1504  GAD p1 off=3 def=3 sig=4 | p2 off=13 def=15 sig=1  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=85 reach=4468 cred=78522 paid=1386 altkill=4468 altcost=1386 altdiff=0  block=119 wiper=86 =1  | watch=2739 critical=664 wipe=530 wait=265 block=10
129   Black    1           8689    15342        0      8      7      513    15507    21965  FOELOST=21335 FOESEEN=21965 OWNSEEN=15507  GAD p1 off=12 def=14 sig=22 | p2 off=20 def=27 sig=12  DEFGAD p1=heal_2 p2=speed_3  WIPE n=144 reach=35941 cred=251790 paid=15138 altkill=36384 altcost=15270 altdiff=3  block=369 wiper=144  | block=1703 watch=1319 wipe=815 free=625 wait=524 critical=336 outmatched=5
130   Red      2          10309        0     6000      8      8      705     2574    75280  FOELOST=67210 FOESEEN=75280 OWNSEEN=107814  GAD p1 off=22 def=31 sig=6 | p2 off=9 def=10 sig=16  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=15 reach=1334 cred=3626 paid=1194 altkill=1340 altcost=1194 altdiff=0  block=690 wiper=15  | watch=3570 block=3474 wait=755 free=695 critical=274 wipe=73
131   Blue     1          13634    60406        0      8      8      930    96680   176514  FOELOST=176502 FOESEEN=176514 OWNSEEN=96680  GAD p1 off=36 def=39 sig=27 | p2 off=12 def=42 sig=27  DEFGAD p1=speed_3 p2=speed_3  WIPE n=131 reach=126437 cred=478464 paid=95881 altkill=127144 altcost=96587 altdiff=1  block=799 wiper=131  | watch=3464 block=3424 outmatched=915 free=810 wipe=646 critical=569 wait=440
