BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      2           6011        0     2000      8      6      263     1269    18004  FOELOST=2274 FOESEEN=18004 OWNSEEN=1269  GAD p1 off=7 def=17 sig=11 | p2 off=9 def=1 sig=6  DEFGAD p1=speed_2 p2=wall  WIPE n=16 reach=1123 cred=81822 paid=528 altkill=1179 altcost=528 altdiff=0  block=247 wiper=16  | critical=1389 watch=530 wait=320 block=208 outmatched=135 wipe=80
66    Blue     1          10999    12888        0      8      8      765     5954   158801  FOELOST=241872 FOESEEN=268211 OWNSEEN=5954  GAD p1 off=19 def=33 sig=17 | p2 off=13 def=33 sig=14  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=18 reach=10192 cred=20396 paid=3713 altkill=10198 altcost=3713 altdiff=0  block=747 wiper=18  | critical=4007 watch=2889 wait=1445 outmatched=775 free=295 wipe=180 block=179
67    Red      2           8973        0     1500      8      8      529     5743    38380  FOELOST=36575 FOESEEN=38380 OWNSEEN=5743  GAD p1 off=19 def=13 sig=15 | p2 off=5 def=4 sig=15  DEFGAD p1=wall_3 p2=wall_2  WIPE n=33 reach=9729 cred=27267 paid=3811 altkill=9909 altcost=3811 altdiff=0  block=492 wiper=36 =1  | block=1294 wait=1269 critical=1153 watch=637 free=600 outmatched=495 wipe=164
68    Green    1           7807    35050        0      8      7      543    18637    13327  FOELOST=54381 FOESEEN=54517 OWNSEEN=18637  GAD p1 off=24 def=13 sig=15 | p2 off=11 def=21 sig=2  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=23 reach=39769 cred=61558 paid=17077 altkill=39769 altcost=17077 altdiff=0  block=520 wiper=23  | watch=2817 critical=1814 block=954 outmatched=455 free=285 wait=140 wipe=114
69    White    1           7547     2000        0      8      5        0        0     1981  FOELOST=1965 FOESEEN=1981 OWNSEEN=50260  GAD p1 off=11 def=23 sig=6 | p2 off=13 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4502
70    Green    2           4035        0     1707      4      6      153      539     3668  FOELOST=1530 FOESEEN=6188 OWNSEEN=569  GAD p1 off=4 def=6 sig=4 | p2 off=5 def=12 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=9 reach=612 cred=9687 paid=395 altkill=648 altcost=420 altdiff=1  block=144 wiper=9  | watch=2030 critical=723 wait=70 wipe=45 block=20
71    White    1           8095    58670        0      8      8      410     6804    62833  FOELOST=62829 FOESEEN=62833 OWNSEEN=6804  GAD p1 off=22 def=19 sig=17 | p2 off=11 def=26 sig=13  DEFGAD p1=speed_2 p2=speed_3  WIPE n=11 reach=9237 cred=30955 paid=6405 altkill=9237 altcost=6405 altdiff=0  block=399 wiper=11  | watch=2100 block=1564 critical=520 outmatched=215 free=199 wait=99 wipe=52
72    Green    2           7460        0    33679      8      8      397     2188    63303  FOELOST=8101 FOESEEN=63303 OWNSEEN=2188  GAD p1 off=7 def=8 sig=11 | p2 off=16 def=7 sig=19  DEFGAD p1=wall_2 p2=heal_2  WIPE n=24 reach=4250 cred=14253 paid=1458 altkill=4251 altcost=1458 altdiff=0  block=372 wiper=24 =1  | critical=1256 watch=1024 block=849 wait=575 outmatched=285 wipe=120 free=25
73    White    1           8029    18682        0      8      7      239     1386    29787  FOELOST=29532 FOESEEN=29787 OWNSEEN=1386  GAD p1 off=11 def=9 sig=11 | p2 off=19 def=25 sig=10  DEFGAD p1=heal_2 p2=speed_3  WIPE n=12 reach=4128 cred=4929 paid=705 altkill=4128 altcost=705 altdiff=0  block=227 wiper=12  | watch=1389 wait=1005 block=787 free=690 critical=652 outmatched=105 wipe=60
74    Orange   1          14622    43785        0      8      7      792     1000    85821  FOELOST=85806 FOESEEN=85821 OWNSEEN=283235  GAD p1 off=37 def=44 sig=22 | p2 off=13 def=18 sig=24  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=18 reach=790 cred=1755 paid=226 altkill=850 altcost=254 altdiff=2  block=774 wiper=18  | watch=6132 block=3058 wait=2045 critical=1642 outmatched=185 free=105 wipe=90
75    Yellow   2           7418        0    45000      8      7      413     6634    30833  FOELOST=21911 FOESEEN=30833 OWNSEEN=6634  GAD p1 off=9 def=22 sig=14 | p2 off=6 def=22 sig=6  DEFGAD p1=speed_3 p2=speed_3  WIPE n=21 reach=13459 cred=48634 paid=5458 altkill=13519 altcost=5458 altdiff=0  block=392 wiper=21  | critical=1260 block=1147 watch=975 wait=465 outmatched=115 wipe=103
76    Orange   1           8089    49314        0      8      8      294     2082    32153  FOELOST=32153 FOESEEN=32153 OWNSEEN=2082  GAD p1 off=11 def=11 sig=10 | p2 off=9 def=2 sig=14  DEFGAD p1=wall_3 p2=wall  WIPE n=12 reach=2756 cred=8910 paid=1540 altkill=2821 altcost=1540 altdiff=0  block=279 wiper=14 =1  | watch=1557 critical=891 block=873 wait=765 free=545 outmatched=79 wipe=59
77    Yellow   2          10486        0    12000      7      8      950    10716    58482  FOELOST=147086 FOESEEN=170127 OWNSEEN=10716  GAD p1 off=19 def=10 sig=18 | p2 off=15 def=32 sig=3  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=32 reach=9980 cred=89258 paid=7084 altkill=10181 altcost=7084 altdiff=0  block=916 wiper=33 =1  | critical=4036 watch=3200 block=742 wait=690 outmatched=425 wipe=164
78    Orange   0           8209        0        0      8      8      470     1823    28282  FOELOST=27469 FOESEEN=28282 OWNSEEN=1823  GAD p1 off=23 def=4 sig=17 | p2 off=12 def=2 sig=11  DEFGAD p1=heal p2=wall  WIPE n=21 reach=1968 cred=12959 paid=1374 altkill=1968 altcost=1374 altdiff=0  block=449 wiper=21  | block=1932 watch=1420 wait=650 free=415 critical=317 wipe=104 outmatched=9
79    Yellow   2           5137        0     2000      5      7       96      920     9588  FOELOST=6072 FOESEEN=23653 OWNSEEN=3080  GAD p1 off=9 def=13 sig=5 | p2 off=9 def=16 sig=9  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=13 reach=1665 cred=18055 paid=754 altkill=1890 altcost=754 altdiff=0  block=83 wiper=13  | watch=2130 wait=1040 critical=385 outmatched=325 wipe=64 block=45
80    Purple   2           5077        0     2000      7      7      169     1716    14068  FOELOST=6039 FOESEEN=14068 OWNSEEN=1716  GAD p1 off=6 def=8 sig=6 | p2 off=5 def=1 sig=6  DEFGAD p1=speed_2 p2=wall  WIPE n=8 reach=5574 cred=13693 paid=1555 altkill=5574 altcost=1555 altdiff=0  block=161 wiper=8  | critical=815 watch=440 wait=374 outmatched=85 wipe=40
81    Black    2           7788        0    34000      8      8      444     4852    39545  FOELOST=23759 FOESEEN=39545 OWNSEEN=4852  GAD p1 off=21 def=6 sig=14 | p2 off=22 def=5 sig=15  DEFGAD p1=wall_2 p2=heal  WIPE n=14 reach=7955 cred=11003 paid=4428 altkill=7973 altcost=4428 altdiff=0  block=425 wiper=18 =1  | watch=1686 block=1322 critical=1155 wait=515 wipe=73 free=5
82    Purple   2           9199        0    14183      8      8      527    15271    62835  FOELOST=60661 FOESEEN=62835 OWNSEEN=15271  GAD p1 off=9 def=14 sig=13 | p2 off=9 def=27 sig=12  DEFGAD p1=heal_2 p2=speed_3  WIPE n=14 reach=21871 cred=61224 paid=14245 altkill=22201 altcost=14379 altdiff=1  block=513 wiper=14  | critical=1714 watch=1590 block=1223 wait=550 outmatched=410 free=295 wipe=69
83    Black    2          11382        0    17337      8      8      582     3422    89415  FOELOST=33509 FOESEEN=89415 OWNSEEN=116622  GAD p1 off=19 def=31 sig=16 | p2 off=14 def=15 sig=29  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=8 reach=4573 cred=27470 paid=1700 altkill=4575 altcost=1700 altdiff=0  block=574 wiper=8  | watch=3672 critical=2170 outmatched=1720 wait=1489 block=783 wipe=40 free=35
84    Purple   1           9844     9549        0      8      7      208      881    40833  FOELOST=40748 FOESEEN=40833 OWNSEEN=127601  GAD p1 off=25 def=30 sig=17 | p2 off=17 def=27 sig=15  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=5 reach=192 cred=636 paid=69 altkill=192 altcost=69 altdiff=0  block=203 wiper=5  | watch=5902 critical=656 wait=554 block=357 free=40 wipe=24
85    Blue     2           7196        0    21500      8      7      659     4759    55162  FOELOST=14404 FOESEEN=55162 OWNSEEN=4759  GAD p1 off=7 def=23 sig=14 | p2 off=9 def=1 sig=11  DEFGAD p1=speed_3 p2=wall  WIPE n=26 reach=12667 cred=220784 paid=2860 altkill=12722 altcost=2860 altdiff=0  block=633 wiper=26  | critical=2535 block=814 wait=170 wipe=129 outmatched=105 watch=100
86    Red      0           9559        0        0      8      7      598    16826    15084  FOELOST=88014 FOESEEN=89004 OWNSEEN=16826  GAD p1 off=17 def=11 sig=10 | p2 off=16 def=27 sig=9  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=24 reach=17643 cred=123716 paid=15700 altkill=17739 altcost=15700 altdiff=0  block=570 wiper=27 =1  | watch=4019 critical=2047 block=1079 wait=505 wipe=310 outmatched=210 free=175
87    Blue     2           5950        0     2000      7      7      253     1829    30522  FOELOST=6725 FOESEEN=30522 OWNSEEN=1829  GAD p1 off=9 def=5 sig=10 | p2 off=9 def=1 sig=8  DEFGAD p1=heal p2=wall  WIPE n=15 reach=2734 cred=53214 paid=1591 altkill=2734 altcost=1591 altdiff=0  block=238 wiper=15  | critical=1012 wait=925 watch=375 block=191 wipe=75 outmatched=20
88    Red      2           5951        0    12000      5      7      147      392     5933  FOELOST=6577 FOESEEN=25346 OWNSEEN=2717  GAD p1 off=14 def=15 sig=8 | p2 off=9 def=18 sig=0  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=10 reach=330 cred=9625 paid=255 altkill=330 altcost=255 altdiff=0  block=137 wiper=10  | watch=2885 wait=1115 critical=664 wipe=50 block=25
89    Blue     2           9217        0    67000      8      7      667    16693    43932  FOELOST=26044 FOESEEN=43932 OWNSEEN=16693  GAD p1 off=13 def=28 sig=16 | p2 off=21 def=2 sig=12  DEFGAD p1=speed_3 p2=wall  WIPE n=20 reach=16662 cred=71509 paid=15399 altkill=16794 altcost=15399 altdiff=0  block=647 wiper=20  | critical=2139 block=1272 watch=1070 outmatched=715 wait=560 wipe=98
90    Red      2           7541        0    30073      8      8      299     4715    27492  FOELOST=9734 FOESEEN=27492 OWNSEEN=4715  GAD p1 off=15 def=5 sig=10 | p2 off=8 def=3 sig=15  DEFGAD p1=wall_2 p2=heal  WIPE n=15 reach=8610 cred=17632 paid=3878 altkill=8610 altcost=3878 altdiff=0  block=283 wiper=15 =1  | wait=1745 critical=1266 watch=665 outmatched=615 block=150 wipe=75
91    Green    0           8839        0        0      8      7      338     4609    28879  FOELOST=28354 FOESEEN=28879 OWNSEEN=4609  GAD p1 off=24 def=4 sig=15 | p2 off=9 def=26 sig=14  DEFGAD p1=wall_2 p2=speed_3  WIPE n=7 reach=6499 cred=7768 paid=4282 altkill=6499 altcost=4282 altdiff=0  block=330 wiper=7 =1  | watch=2942 critical=1208 free=510 block=450 wait=230 outmatched=135 wipe=35
92    White    2           6464        0    23000      8      7      365     2303    27312  FOELOST=4830 FOESEEN=27312 OWNSEEN=2303  GAD p1 off=6 def=10 sig=12 | p2 off=8 def=6 sig=17  DEFGAD p1=heal_2 p2=heal  WIPE n=20 reach=2680 cred=8552 paid=1268 altkill=2685 altcost=1268 altdiff=0  block=345 wiper=20  | critical=1573 watch=520 wait=380 outmatched=370 block=195 wipe=104
93    Green    1           9124     8701        0      8      7      215     1138    11090  FOELOST=11028 FOESEEN=11090 OWNSEEN=80973  GAD p1 off=13 def=28 sig=11 | p2 off=15 def=25 sig=14  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=7 reach=1483 cred=2036 paid=722 altkill=1483 altcost=722 altdiff=0  block=208 wiper=7  | watch=5556 critical=550 wait=505 block=505 free=160 wipe=35
94    White    2           8419        0     9070      8      8      255     1238    86336  FOELOST=84023 FOESEEN=86336 OWNSEEN=1238  GAD p1 off=23 def=19 sig=13 | p2 off=12 def=10 sig=16  DEFGAD p1=speed_2 p2=heal_2  WIPE n=22 reach=1882 cred=10901 paid=306 altkill=1882 altcost=306 altdiff=0  block=233 wiper=22  | watch=1403 block=919 wait=720 free=690 outmatched=625 critical=622 wipe=109
95    Green    2           6388        0    10816      5      7      292     1919     4855  FOELOST=5798 FOESEEN=25540 OWNSEEN=1919  GAD p1 off=4 def=7 sig=10 | p2 off=12 def=18 sig=5  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=18 reach=2966 cred=23736 paid=1652 altkill=3742 altcost=2280 altdiff=2  block=271 wiper=20 =1  | watch=2695 critical=1250 outmatched=545 wait=500 block=95 wipe=90
96    Yellow   2           5920        0     2000      7      6      295      978    12366  FOELOST=2301 FOESEEN=12366 OWNSEEN=978  GAD p1 off=7 def=4 sig=8 | p2 off=7 def=1 sig=8  DEFGAD p1=heal p2=wall  WIPE n=14 reach=1414 cred=44836 paid=416 altkill=1514 altcost=416 altdiff=0  block=281 wiper=14  | critical=1369 watch=445 wait=290 block=282 wipe=159 outmatched=55
97    Orange   2           5155        0    23000      4      6      125      868     5818  FOELOST=3223 FOESEEN=8758 OWNSEEN=1588  GAD p1 off=4 def=9 sig=4 | p2 off=10 def=15 sig=5  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=10 reach=1299 cred=2570 paid=753 altkill=1305 altcost=753 altdiff=0  block=115 wiper=10  | watch=3014 critical=579 wait=250 outmatched=55 wipe=50
98    Yellow   2          12429        0    27987      8      8     1072     1398    52703  FOELOST=48569 FOESEEN=52703 OWNSEEN=206913  GAD p1 off=32 def=36 sig=17 | p2 off=10 def=7 sig=23  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=8 reach=645 cred=4718 paid=334 altkill=645 altcost=334 altdiff=0  block=1064 wiper=8  | block=5391 watch=4265 wait=834 critical=347 wipe=39
99    Orange   2           7588        0     1600      8      7      488    26010    31158  FOELOST=51131 FOESEEN=85158 OWNSEEN=26010  GAD p1 off=13 def=25 sig=15 | p2 off=4 def=23 sig=1  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=18 reach=27394 cred=146295 paid=24600 altkill=27397 altcost=24600 altdiff=0  block=470 wiper=18  | watch=3200 critical=2308 wait=415 block=270 wipe=93 outmatched=75
100   Yellow   1           8298    38117        0      8      8      466     3612    16761  FOELOST=13873 FOESEEN=16761 OWNSEEN=3612  GAD p1 off=17 def=4 sig=11 | p2 off=11 def=27 sig=15  DEFGAD p1=wall_2 p2=speed_3  WIPE n=16 reach=5762 cred=6894 paid=2274 altkill=5762 altcost=2274 altdiff=0  block=448 wiper=17 =1  | critical=2217 outmatched=860 wait=769 watch=623 free=403 wipe=79 block=20
101   Orange   2           7818        0     2000      8      8      397     5036    42808  FOELOST=30147 FOESEEN=42808 OWNSEEN=5036  GAD p1 off=21 def=9 sig=13 | p2 off=9 def=10 sig=15  DEFGAD p1=heal_2 p2=heal_2  WIPE n=15 reach=4140 cred=8121 paid=3508 altkill=4140 altcost=3508 altdiff=0  block=382 wiper=15  | block=2009 watch=1405 wait=815 critical=380 wipe=75 outmatched=65 free=40
102   Black    1           6256     1500        0      7      5        0        0     1544  FOELOST=1516 FOESEEN=1544 OWNSEEN=25935  GAD p1 off=5 def=17 sig=11 | p2 off=8 def=12 sig=4  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4500
103   Purple   2           7196        0     2000      8      8      236     1844    34805  FOELOST=7834 FOESEEN=34805 OWNSEEN=1844  GAD p1 off=9 def=15 sig=7 | p2 off=9 def=8 sig=15  DEFGAD p1=speed_2 p2=heal_2  WIPE n=17 reach=2547 cred=12323 paid=1406 altkill=2560 altcost=1406 altdiff=0  block=219 wiper=17  | watch=1707 critical=770 wait=645 block=356 outmatched=290 wipe=83 free=20
104   Black    1           9079    20669        0      8      8      677     1633    39579  FOELOST=36475 FOESEEN=39579 OWNSEEN=1633  GAD p1 off=25 def=2 sig=19 | p2 off=25 def=29 sig=12  DEFGAD p1=wall p2=speed_3  WIPE n=13 reach=2469 cred=2692 paid=971 altkill=2469 altcost=971 altdiff=0  block=663 wiper=13 =1  | block=2684 watch=1283 critical=687 free=635 wait=360 wipe=65
105   Purple   1           8119    25793        0      8      8      548     2059    52761  FOELOST=52730 FOESEEN=52761 OWNSEEN=2059  GAD p1 off=11 def=11 sig=18 | p2 off=18 def=2 sig=14  DEFGAD p1=wall_3 p2=wall  WIPE n=21 reach=3638 cred=10144 paid=1543 altkill=3648 altcost=1543 altdiff=0  block=524 wiper=23 =1  | critical=1434 watch=1214 block=1168 wait=745 free=105 wipe=103 outmatched=15
106   Black    2           6163        0     1800      5      7      158      848    16093  FOELOST=6477 FOESEEN=36778 OWNSEEN=848  GAD p1 off=10 def=7 sig=9 | p2 off=2 def=18 sig=5  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=9 reach=1471 cred=23965 paid=550 altkill=1485 altcost=557 altdiff=1  block=149 wiper=9  | watch=2770 wait=880 critical=687 outmatched=495 block=80 wipe=45
107   Red      2           5852        0     1500      5      7      255     1534    17862  FOELOST=3049 FOESEEN=17862 OWNSEEN=4414  GAD p1 off=6 def=15 sig=6 | p2 off=5 def=1 sig=9  DEFGAD p1=reinforcements_3 p2=wall  WIPE n=14 reach=1807 cred=17812 paid=811 altkill=1782 altcost=733 altdiff=2  block=241 wiper=14  | watch=2515 critical=1249 wait=530 outmatched=100 wipe=66
108   Blue     1           8380    29060        0      7      7      556    17397    36567  FOELOST=103377 FOESEEN=105939 OWNSEEN=17397  GAD p1 off=23 def=24 sig=14 | p2 off=12 def=26 sig=1  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=22 reach=26508 cred=77745 paid=16863 altkill=26525 altcost=16863 altdiff=0  block=534 wiper=22  | watch=2961 critical=1953 block=1008 wait=689 outmatched=420 wipe=109
109   Red      1           7489    24970        0      8      8      247     1980     9380  FOELOST=9055 FOESEEN=9380 OWNSEEN=1980  GAD p1 off=10 def=8 sig=15 | p2 off=8 def=24 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=17 reach=4361 cred=5980 paid=1314 altkill=4361 altcost=1314 altdiff=0  block=227 wiper=19 =1  | watch=1569 block=871 wait=740 critical=401 free=340 outmatched=140 wipe=85
110   Blue     2           7548        0    34000      8      8      280     3157    26342  FOELOST=15098 FOESEEN=26342 OWNSEEN=3157  GAD p1 off=15 def=11 sig=7 | p2 off=13 def=8 sig=15  DEFGAD p1=heal_2 p2=heal_2  WIPE n=15 reach=3894 cred=6890 paid=2627 altkill=3966 altcost=2627 altdiff=0  block=265 wiper=15  | watch=2224 critical=1019 wait=790 block=369 wipe=75 outmatched=45
111   Red      1           6620    11280        0      7      6       10       51     2887  FOELOST=2883 FOESEEN=2887 OWNSEEN=34756  GAD p1 off=14 def=19 sig=11 | p2 off=10 def=19 sig=9  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=1 reach=63 cred=126 paid=15 altkill=63 altcost=15 altdiff=0  block=9 wiper=1  | watch=4975 wait=145 critical=49 outmatched=20 wipe=5
112   Blue     2           8254        0    43500      7      8      419     1204    82852  FOELOST=28695 FOESEEN=82852 OWNSEEN=86164  GAD p1 off=11 def=22 sig=19 | p2 off=20 def=11 sig=16  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=16 reach=3075 cred=59240 paid=801 altkill=3129 altcost=851 altdiff=1  block=403 wiper=16  | watch=2735 critical=1921 wait=1620 block=222 wipe=79 outmatched=60
113   White    2           7004        0     2000      8      6      308     1317    20190  FOELOST=5493 FOESEEN=20190 OWNSEEN=1317  GAD p1 off=9 def=22 sig=11 | p2 off=15 def=22 sig=8  DEFGAD p1=speed_3 p2=speed_3  WIPE n=18 reach=1040 cred=124085 paid=737 altkill=1069 altcost=737 altdiff=0  block=290 wiper=18  | critical=1231 watch=995 block=800 wait=485 wipe=88 outmatched=50
114   Green    1           8869    67000        0      8      8      657     2275    29143  FOELOST=24545 FOESEEN=29143 OWNSEEN=2275  GAD p1 off=25 def=5 sig=18 | p2 off=6 def=4 sig=21  DEFGAD p1=wall_2 p2=wall_2  WIPE n=15 reach=4588 cred=23681 paid=1638 altkill=4588 altcost=1638 altdiff=0  block=641 wiper=15 =1  | watch=1784 block=1703 critical=1502 free=235 wait=200 wipe=73 outmatched=35
115   White    1          11299    34664        0      8      8      979    17851    63021  FOELOST=195790 FOESEEN=203801 OWNSEEN=17851  GAD p1 off=14 def=8 sig=20 | p2 off=12 def=35 sig=16  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=24 reach=22598 cred=71933 paid=16896 altkill=23059 altcost=16990 altdiff=2  block=955 wiper=24  | watch=3795 block=2695 critical=2546 wait=565 free=290 wipe=120 outmatched=65
116   Green    1           5781     2000        0      7      5       23       69     1316  FOELOST=1310 FOESEEN=1316 OWNSEEN=34794  GAD p1 off=10 def=18 sig=11 | p2 off=10 def=6 sig=4  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=1 reach=0 cred=55 paid=3 altkill=30 altcost=18 altdiff=1  block=22 wiper=1  | watch=4241 critical=109 wait=60 wipe=5 block=5
117   White    2           5025        0     1931      5      6      145      745     5680  FOELOST=1996 FOESEEN=8300 OWNSEEN=745  GAD p1 off=5 def=8 sig=6 | p2 off=7 def=14 sig=5  DEFGAD p1=speed_2 p2=reinforcements_2  WIPE n=9 reach=1518 cred=5204 paid=337 altkill=1518 altcost=337 altdiff=0  block=136 wiper=9  | watch=2758 critical=697 wait=260 outmatched=55 wipe=45
118   Green    2           8952        0    78000      8      8      585    29214    95809  FOELOST=87904 FOESEEN=95809 OWNSEEN=29214  GAD p1 off=12 def=26 sig=15 | p2 off=17 def=3 sig=14  DEFGAD p1=speed_3 p2=wall_2  WIPE n=33 reach=30816 cred=47864 paid=27006 altkill=30866 altcost=27017 altdiff=1  block=552 wiper=33  | critical=2434 wait=895 outmatched=730 block=677 watch=600 wipe=178 free=75
119   Yellow   1           8239    20669        0      8      8      212     1411    15423  FOELOST=12244 FOESEEN=15423 OWNSEEN=1411  GAD p1 off=11 def=9 sig=16 | p2 off=17 def=13 sig=1  DEFGAD p1=wall_2 p2=heal_2  WIPE n=14 reach=2131 cred=3681 paid=1222 altkill=2134 altcost=1222 altdiff=0  block=194 wiper=17 =1  | watch=2314 wait=880 free=625 block=570 critical=393 wipe=75 outmatched=35
120   Orange   1           8449     3979        0      8      8      458     3430    28505  FOELOST=28009 FOESEEN=28505 OWNSEEN=3430  GAD p1 off=17 def=10 sig=10 | p2 off=14 def=26 sig=12  DEFGAD p1=heal_2 p2=speed_3  WIPE n=19 reach=3195 cred=7089 paid=2552 altkill=3235 altcost=2552 altdiff=0  block=439 wiper=19  | block=1706 watch=1325 wait=1020 critical=497 free=450 wipe=94
121   Yellow   2           5477        0    11459      6      7      235      491    34974  FOELOST=3525 FOESEEN=34974 OWNSEEN=2591  GAD p1 off=13 def=15 sig=6 | p2 off=9 def=8 sig=10  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=6 reach=411 cred=38010 paid=262 altkill=411 altcost=262 altdiff=0  block=229 wiper=6  | watch=2118 critical=1205 wait=490 outmatched=90 wipe=29 block=5
122   Orange   1           8896    45154        0      8      8      343     5422    43448  FOELOST=40655 FOESEEN=43448 OWNSEEN=5422  GAD p1 off=13 def=25 sig=16 | p2 off=7 def=28 sig=16  DEFGAD p1=speed_3 p2=speed_3  WIPE n=8 reach=10535 cred=13074 paid=5087 altkill=10535 altcost=5087 altdiff=0  block=335 wiper=8  | watch=2886 block=1366 free=486 critical=478 outmatched=280 wipe=40 wait=30
123   Yellow   2           7679        0     1500      8      8      484     4844    55537  FOELOST=12723 FOESEEN=55537 OWNSEEN=4844  GAD p1 off=15 def=10 sig=12 | p2 off=5 def=8 sig=21  DEFGAD p1=wall_3 p2=heal_2  WIPE n=23 reach=8187 cred=16976 paid=3942 altkill=9984 altcost=4076 altdiff=1  block=458 wiper=25 =1  | block=1445 critical=909 wait=860 watch=599 outmatched=415 wipe=113 free=5
124   Purple   1           9559    26205        0      8      8      638     3471    34645  FOELOST=110638 FOESEEN=134055 OWNSEEN=3471  GAD p1 off=29 def=10 sig=15 | p2 off=13 def=29 sig=14  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=15 reach=6400 cred=18300 paid=1602 altkill=6423 altcost=1602 altdiff=0  block=623 wiper=15  | watch=3075 critical=2922 wait=1000 free=650 outmatched=400 block=210 wipe=74
125   Black    1           8241    32757        0      8      8      447     5406    67548  FOELOST=65057 FOESEEN=67548 OWNSEEN=5406  GAD p1 off=13 def=5 sig=14 | p2 off=10 def=5 sig=20  DEFGAD p1=heal p2=wall_2  WIPE n=28 reach=6753 cred=50187 paid=3730 altkill=6766 altcost=3730 altdiff=0  block=419 wiper=28  | critical=1706 watch=1134 wait=760 outmatched=580 block=405 free=181 wipe=154
126   Purple   1           5580     2000        0      7      5       35      105     1003  FOELOST=3299 FOESEEN=3303 OWNSEEN=26566  GAD p1 off=10 def=18 sig=10 | p2 off=7 def=13 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=35  | watch=3934 critical=323 wait=85 outmatched=30
127   Black    2           8664        0     2000      8      8      568    21009    67029  FOELOST=26340 FOESEEN=67029 OWNSEEN=21009  GAD p1 off=18 def=25 sig=10 | p2 off=16 def=4 sig=14  DEFGAD p1=speed_3 p2=wall_2  WIPE n=23 reach=34940 cred=65195 paid=19919 altkill=35005 altcost=19919 altdiff=0  block=545 wiper=23  | critical=1966 watch=1294 block=878 wait=825 free=215 wipe=112 outmatched=30
128   Purple   2           6969        0    23000      6      7      411     2919    25037  FOELOST=20576 FOESEEN=59822 OWNSEEN=2919  GAD p1 off=6 def=7 sig=10 | p2 off=16 def=20 sig=1  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=20 reach=11839 cred=124154 paid=2535 altkill=11873 altcost=2560 altdiff=1  block=390 wiper=20 =1  | watch=3069 critical=1922 wait=580 wipe=105 outmatched=55 block=20
129   Black    2           8049        0    23000      8      8      501     4924    27091  FOELOST=20392 FOESEEN=27091 OWNSEEN=4924  GAD p1 off=11 def=8 sig=22 | p2 off=17 def=26 sig=13  DEFGAD p1=heal_2 p2=speed_3  WIPE n=21 reach=7139 cred=27441 paid=4444 altkill=7154 altcost=4444 altdiff=0  block=480 wiper=21  | block=2652 wait=680 watch=635 critical=500 wipe=109 outmatched=65 free=50
130   Red      1           9937    41852        0      8      7      402     1023    37884  FOELOST=37714 FOESEEN=37884 OWNSEEN=99858  GAD p1 off=21 def=30 sig=6 | p2 off=6 def=9 sig=15  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=9 reach=318 cred=19902 paid=237 altkill=318 altcost=237 altdiff=0  block=393 wiper=9  | watch=5287 block=1301 critical=858 wait=670 outmatched=170 free=145 wipe=44
131   Blue     2           8337        0    22800      8      8      442    12489    59770  FOELOST=28988 FOESEEN=59770 OWNSEEN=12489  GAD p1 off=23 def=22 sig=15 | p2 off=5 def=27 sig=14  DEFGAD p1=speed_3 p2=speed_3  WIPE n=19 reach=20721 cred=29527 paid=12066 altkill=20721 altcost=12066 altdiff=0  block=423 wiper=19  | watch=2285 critical=1192 block=922 outmatched=380 wait=124 wipe=93
