BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7789    32669        0      8      8      343     8254    26074  FOELOST=23032 FOESEEN=26074 OWNSEEN=8254  GAD p1 off=11 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=58 reach=10568 cred=26957 paid=7399 altkill=10574 altcost=7399 altdiff=0  block=285 wiper=58  | wait=1235 watch=1140 block=979 critical=493 free=300 wipe=287
66    Blue     2          10549        0    27852      8      8      713    10115    42090  FOELOST=80147 FOESEEN=145585 OWNSEEN=10115  GAD p1 off=18 def=31 sig=16 | p2 off=11 def=32 sig=14  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=79 reach=12368 cred=62176 paid=8213 altkill=14089 altcost=9058 altdiff=9  block=634 wiper=79  | watch=3274 critical=3079 wait=1180 free=510 outmatched=459 block=415 wipe=399
67    Red      2           9229        0    17659      8      8      566    10359    39725  FOELOST=38275 FOESEEN=39725 OWNSEEN=10359  GAD p1 off=20 def=9 sig=16 | p2 off=6 def=4 sig=16  DEFGAD p1=wall_2 p2=wall_2  WIPE n=125 reach=11165 cred=46013 paid=8631 altkill=13105 altcost=8501 altdiff=14  block=437 wiper=128 =1  | wait=1505 critical=1171 block=1011 free=815 wipe=757 watch=602 outmatched=10
68    Green    1           8095    45263        0      8      8      499    26631    11407  FOELOST=71812 FOESEEN=71812 OWNSEEN=26631  GAD p1 off=24 def=18 sig=16 | p2 off=11 def=24 sig=1  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=98 reach=59466 cred=378355 paid=25428 altkill=168606 altcost=83348 altdiff=30  block=401 wiper=98  | watch=3065 critical=1713 wait=1000 wipe=489 block=392 free=200 outmatched=5
69    White    1           7547     2000        0      8      5        0        0     1981  FOELOST=1965 FOESEEN=1981 OWNSEEN=50260  GAD p1 off=11 def=23 sig=6 | p2 off=13 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4502
70    Green    2           4187        0     1190      4      6       95      766     5485  FOELOST=2457 FOESEEN=8248 OWNSEEN=796  GAD p1 off=4 def=6 sig=4 | p2 off=5 def=13 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=32 reach=2148 cred=39389 paid=703 altkill=2148 altcost=703 altdiff=0  block=63 wiper=32  | watch=2150 wait=340 critical=337 wipe=194 block=19
71    White    2          11765        0    67000      7      7      788    56844    81671  FOELOST=77884 FOESEEN=81671 OWNSEEN=56844  GAD p1 off=31 def=31 sig=26 | p2 off=15 def=32 sig=14  DEFGAD p1=speed_3 p2=speed_3  WIPE n=45 reach=79792 cred=126268 paid=56101 altkill=79792 altcost=56101 altdiff=0  block=743 wiper=45  | critical=2845 watch=2588 outmatched=1699 block=852 wipe=225 wait=185 free=5
72    Green    2           7835        0    27575      8      8      435   117941    90181  FOELOST=33121 FOESEEN=90181 OWNSEEN=117941  GAD p1 off=9 def=8 sig=10 | p2 off=17 def=7 sig=20  DEFGAD p1=wall_2 p2=heal_2  WIPE n=101 reach=133369 cred=299033 paid=117289 altkill=136025 altcost=118155 altdiff=11  block=329 wiper=105 =1  | watch=1449 critical=1052 block=626 wait=605 wipe=510 outmatched=260 free=5
73    White    1           7969    20000        0      8      8      230     1984    27069  FOELOST=22436 FOESEEN=27069 OWNSEEN=1984  GAD p1 off=11 def=6 sig=11 | p2 off=18 def=25 sig=10  DEFGAD p1=heal p2=speed_3  WIPE n=26 reach=5099 cred=8182 paid=1372 altkill=5099 altcost=1372 altdiff=0  block=204 wiper=26  | watch=1804 wait=1100 block=1004 free=485 wipe=129 critical=104
74    Orange   1          18000    31723    12178      8      7     1686    19382   118895  FOELOST=118700 FOESEEN=118895 OWNSEEN=407107  GAD p1 off=44 def=55 sig=24 | p2 off=13 def=16 sig=30  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=237 reach=25582 cred=185673 paid=17933 altkill=25882 altcost=18053 altdiff=10  block=1449 wiper=237  | watch=5534 block=4679 critical=2645 wait=2055 wipe=1189 outmatched=455 free=45
75    Yellow   1           7669    24312        0      8      8      274     5599    23120  FOELOST=20687 FOESEEN=23120 OWNSEEN=5599  GAD p1 off=10 def=20 sig=15 | p2 off=8 def=23 sig=7  DEFGAD p1=speed_2 p2=speed_3  WIPE n=54 reach=9483 cred=24782 paid=4939 altkill=9513 altcost=4783 altdiff=2  block=220 wiper=54  | watch=1560 wait=995 block=948 free=380 wipe=265 critical=168
76    Orange   1           8149    32669        0      8      8      311     3021    24945  FOELOST=23146 FOESEEN=24945 OWNSEEN=3021  GAD p1 off=11 def=10 sig=8 | p2 off=8 def=3 sig=14  DEFGAD p1=wall_3 p2=wall_2  WIPE n=85 reach=5109 cred=43752 paid=2589 altkill=13866 altcost=6469 altdiff=19  block=219 wiper=91 =1  | watch=1837 wait=820 block=625 free=540 wipe=517 critical=490
77    Yellow   2           9755        0    12000      7      8      805    18951    41461  FOELOST=120047 FOESEEN=140296 OWNSEEN=18951  GAD p1 off=17 def=11 sig=17 | p2 off=15 def=30 sig=0  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=106 reach=20772 cred=240034 paid=16199 altkill=22218 altcost=16237 altdiff=18  block=694 wiper=110 =1  | watch=3210 critical=3076 wait=1055 wipe=535 block=442 outmatched=210
78    Orange   1           8299    12885        0      8      8      417     4342    23553  FOELOST=22603 FOESEEN=23553 OWNSEEN=4342  GAD p1 off=23 def=9 sig=17 | p2 off=11 def=1 sig=10  DEFGAD p1=heal_2 p2=wall  WIPE n=103 reach=6515 cred=26742 paid=4028 altkill=6712 altcost=4096 altdiff=4  block=314 wiper=103  | watch=1865 block=1404 free=550 wipe=505 wait=445 critical=165
79    Yellow   2           4327        0     2000      4      6      118      962     6006  FOELOST=2595 FOESEEN=9012 OWNSEEN=1322  GAD p1 off=7 def=7 sig=4 | p2 off=6 def=14 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=38 reach=1134 cred=53023 paid=802 altkill=1149 altcost=802 altdiff=0  block=80 wiper=38  | watch=2170 critical=497 wipe=282 wait=215 block=15
80    Purple   2           9158        0    23000      8      8      592     9531    26357  FOELOST=23473 FOESEEN=26357 OWNSEEN=9531  GAD p1 off=20 def=28 sig=18 | p2 off=18 def=1 sig=19  DEFGAD p1=speed_3 p2=wall  WIPE n=237 reach=11595 cred=147685 paid=9176 altkill=36017 altcost=30919 altdiff=68  block=355 wiper=237  | watch=1365 wait=1290 wipe=1176 block=1123 critical=645 outmatched=205 free=5
81    Black    2           7739        0    23000      8      8      450    10090    30566  FOELOST=23601 FOESEEN=30566 OWNSEEN=10090  GAD p1 off=21 def=7 sig=13 | p2 off=22 def=8 sig=15  DEFGAD p1=wall_2 p2=heal_2  WIPE n=46 reach=17742 cred=83848 paid=9693 altkill=18804 altcost=10173 altdiff=9  block=398 wiper=51 =1  | watch=1451 block=1421 critical=888 wait=715 wipe=232
82    Purple   1           8179    24960        0      8      8      519     5812    36662  FOELOST=35670 FOESEEN=36662 OWNSEEN=5812  GAD p1 off=9 def=12 sig=11 | p2 off=9 def=26 sig=10  DEFGAD p1=heal_2 p2=speed_3  WIPE n=70 reach=22580 cred=48656 paid=4914 altkill=22635 altcost=4914 altdiff=0  block=449 wiper=70  | block=1650 watch=1200 critical=654 wait=605 free=375 wipe=344
83    Black    2           7685        0    25737      5      7      212     4179    39209  FOELOST=9068 FOESEEN=39209 OWNSEEN=7059  GAD p1 off=12 def=15 sig=7 | p2 off=9 def=8 sig=19  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=52 reach=4613 cred=26487 paid=3699 altkill=4613 altcost=3699 altdiff=0  block=160 wiper=52  | watch=3037 wait=2089 critical=836 wipe=260 outmatched=5
84    Purple   1           9344     9736        0      8      7      228     1010    38050  FOELOST=38004 FOESEEN=38050 OWNSEEN=119365  GAD p1 off=23 def=29 sig=15 | p2 off=16 def=26 sig=14  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=14 reach=399 cred=1613 paid=154 altkill=399 altcost=154 altdiff=0  block=214 wiper=14  | watch=5322 block=600 wait=555 critical=486 wipe=68
85    Blue     1           7641    41136        0      8      8      571    19294    65313  FOELOST=63390 FOESEEN=65313 OWNSEEN=19294  GAD p1 off=9 def=23 sig=15 | p2 off=10 def=3 sig=13  DEFGAD p1=speed_3 p2=wall_2  WIPE n=155 reach=27959 cred=141274 paid=18046 altkill=30640 altcost=18853 altdiff=16  block=416 wiper=155  | critical=1515 watch=901 wipe=765 block=581 wait=480 free=65
86    Red      1           9049    25333        0      8      7      386     5064    10907  FOELOST=66880 FOESEEN=67082 OWNSEEN=5064  GAD p1 off=16 def=10 sig=12 | p2 off=15 def=24 sig=13  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=38 reach=7465 cred=46071 paid=4388 altkill=9349 altcost=5432 altdiff=8  block=345 wiper=40 =1  | watch=4559 critical=1057 block=855 wait=565 wipe=484 free=285 outmatched=30
87    Blue     2          10176        0    45000      8      8      807    28264    43159  FOELOST=41041 FOESEEN=43159 OWNSEEN=28264  GAD p1 off=23 def=12 sig=22 | p2 off=23 def=4 sig=17  DEFGAD p1=heal_2 p2=wall_2  WIPE n=238 reach=49740 cred=319670 paid=27695 altkill=62705 altcost=35105 altdiff=65  block=569 wiper=238  | block=2418 wipe=1182 wait=1175 critical=991 watch=840 free=140 outmatched=55
88    Red      2           6275        0    12000      5      7      211     1652    17861  FOELOST=12722 FOESEEN=46241 OWNSEEN=3977  GAD p1 off=12 def=15 sig=8 | p2 off=13 def=19 sig=0  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=48 reach=8203 cred=137439 paid=1489 altkill=8211 altcost=1474 altdiff=3  block=163 wiper=48  | watch=3045 wait=815 critical=678 block=250 wipe=243 outmatched=35
89    Blue     0          11359        0        0      8      8      866    47222    62331  FOELOST=60337 FOESEEN=62331 OWNSEEN=47222  GAD p1 off=17 def=31 sig=17 | p2 off=25 def=2 sig=16  DEFGAD p1=speed_3 p2=wall  WIPE n=197 reach=54665 cred=613702 paid=45884 altkill=57240 altcost=47211 altdiff=13  block=669 wiper=197  | block=2395 watch=1360 critical=1338 wipe=1068 wait=775 outmatched=660 free=390
90    Red      2           7817        0    45000      8      8      344     7655    59473  FOELOST=16784 FOESEEN=59473 OWNSEEN=7655  GAD p1 off=16 def=7 sig=11 | p2 off=6 def=5 sig=15  DEFGAD p1=wall_2 p2=heal  WIPE n=26 reach=14422 cred=28555 paid=6722 altkill=17875 altcost=7194 altdiff=8  block=316 wiper=27 =1  | critical=1321 wait=1185 outmatched=1075 watch=830 block=249 wipe=131
91    Green    1           8779    21219        0      8      8      474     3349    25006  FOELOST=21844 FOESEEN=25006 OWNSEEN=3349  GAD p1 off=25 def=4 sig=16 | p2 off=7 def=27 sig=14  DEFGAD p1=wall_2 p2=speed_3  WIPE n=22 reach=5813 cred=8041 paid=2901 altkill=6917 altcost=3621 altdiff=8  block=451 wiper=22 =1  | watch=1753 block=1432 free=900 critical=824 wait=290 outmatched=140 wipe=109
92    White    0           7759        0        0      8      8      450    14927    24527  FOELOST=21758 FOESEEN=24527 OWNSEEN=14927  GAD p1 off=7 def=15 sig=15 | p2 off=10 def=8 sig=20  DEFGAD p1=heal_2 p2=heal_2  WIPE n=122 reach=16913 cred=60248 paid=13943 altkill=19810 altcost=15425 altdiff=21  block=328 wiper=122  | watch=1025 critical=889 block=777 wipe=756 wait=430 outmatched=290 free=270
93    Green    1           9171    11173        0      8      7      109     1174    11270  FOELOST=11270 FOESEEN=11270 OWNSEEN=81009  GAD p1 off=14 def=28 sig=10 | p2 off=15 def=25 sig=14  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=16 reach=2417 cred=3624 paid=988 altkill=2578 altcost=1112 altdiff=2  block=93 wiper=16  | watch=6054 wait=500 block=397 free=245 critical=85 wipe=80
94    White    1           9341    19780        0      8      8      556    37150    91783  FOELOST=91783 FOESEEN=91783 OWNSEEN=37150  GAD p1 off=26 def=26 sig=16 | p2 off=17 def=10 sig=22  DEFGAD p1=speed_3 p2=heal_2  WIPE n=184 reach=84097 cred=183939 paid=35662 altkill=84232 altcost=35695 altdiff=3  block=372 wiper=184  | watch=1919 critical=1296 wipe=918 block=612 outmatched=530 free=395 wait=325
95    Green    2           6889        0    23000      7      7      334     3402     7395  FOELOST=11039 FOESEEN=33995 OWNSEEN=3402  GAD p1 off=6 def=10 sig=17 | p2 off=13 def=19 sig=6  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=93 reach=6375 cred=505875 paid=3171 altkill=8871 altcost=4024 altdiff=19  block=235 wiper=98 =1  | watch=3194 critical=854 wait=655 wipe=475 block=464 outmatched=25
96    Yellow   2           6372        0     2000      7      7      364     7589    29302  FOELOST=6627 FOESEEN=29302 OWNSEEN=7589  GAD p1 off=8 def=9 sig=10 | p2 off=10 def=1 sig=10  DEFGAD p1=heal_2 p2=wall  WIPE n=133 reach=15270 cred=502349 paid=7127 altkill=16030 altcost=7395 altdiff=2  block=231 wiper=133  | critical=1208 wipe=668 watch=640 wait=345 block=183
97    Orange   2           5194        0    23000      4      6      112     1185     5802  FOELOST=3425 FOESEEN=8742 OWNSEEN=1675  GAD p1 off=4 def=8 sig=4 | p2 off=10 def=15 sig=5  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=35 reach=2274 cred=15861 paid=1108 altkill=2286 altcost=1108 altdiff=0  block=77 wiper=35  | watch=2475 wipe=768 critical=430 wait=315
98    Yellow   2          14354        0    27138      8      8     1312     9424   119065  FOELOST=107555 FOESEEN=119065 OWNSEEN=272479  GAD p1 off=35 def=42 sig=18 | p2 off=13 def=9 sig=26  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=76 reach=12740 cred=64384 paid=8188 altkill=14205 altcost=8980 altdiff=11  block=1236 wiper=76  | block=5906 watch=4370 wait=1189 critical=947 wipe=380
99    Orange   2           7136        0     7176      7      7      308    10716    28873  FOELOST=22556 FOESEEN=70063 OWNSEEN=10716  GAD p1 off=12 def=24 sig=14 | p2 off=6 def=21 sig=2  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=73 reach=16490 cred=394989 paid=10011 altkill=16524 altcost=10011 altdiff=0  block=235 wiper=73  | watch=3085 wait=1065 critical=997 wipe=457 block=212 outmatched=100
100   Yellow   1           8275    22000        0      8      8      420     3671    19028  FOELOST=16863 FOESEEN=19028 OWNSEEN=3671  GAD p1 off=16 def=4 sig=11 | p2 off=11 def=27 sig=15  DEFGAD p1=wall_2 p2=speed_3  WIPE n=110 reach=6756 cred=26991 paid=2753 altkill=16269 altcost=7783 altdiff=48  block=306 wiper=113 =1  | critical=1381 outmatched=1090 wait=814 watch=568 wipe=546 free=385 block=164
101   Orange   2           7938        0    34000      8      8      504    72366    68117  FOELOST=34463 FOESEEN=68117 OWNSEEN=72366  GAD p1 off=22 def=14 sig=14 | p2 off=9 def=11 sig=16  DEFGAD p1=heal_2 p2=heal_2  WIPE n=98 reach=85185 cred=583100 paid=70742 altkill=554347 altcost=469233 altdiff=21  block=406 wiper=98  | critical=1920 watch=1343 wait=970 wipe=493 block=153 outmatched=15
102   Black    1           6256     1500        0      7      5        0        0     1544  FOELOST=1516 FOESEEN=1544 OWNSEEN=25935  GAD p1 off=5 def=17 sig=11 | p2 off=8 def=12 sig=4  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4500
103   Purple   0           8989        0        0      8      8      415    20920    45990  FOELOST=45064 FOESEEN=45990 OWNSEEN=20920  GAD p1 off=13 def=25 sig=10 | p2 off=15 def=17 sig=21  DEFGAD p1=speed_3 p2=heal_2  WIPE n=120 reach=39065 cred=109220 paid=20330 altkill=38993 altcost=20056 altdiff=1  block=295 wiper=120  | watch=1704 block=832 wipe=805 critical=762 wait=660 free=565 outmatched=330
104   Black    1           9199    20669        0      8      8      706     3840    41999  FOELOST=39147 FOESEEN=41999 OWNSEEN=3840  GAD p1 off=26 def=4 sig=19 | p2 off=26 def=29 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=21 reach=7920 cred=9378 paid=3159 altkill=8012 altcost=3159 altdiff=0  block=684 wiper=21 =1  | block=2693 watch=1408 critical=718 free=570 wait=340 wipe=105
105   Purple   1           8329    24508        0      8      8      483     6696    70830  FOELOST=70725 FOESEEN=70830 OWNSEEN=6696  GAD p1 off=10 def=11 sig=17 | p2 off=16 def=3 sig=15  DEFGAD p1=wall_3 p2=wall_2  WIPE n=137 reach=10124 cred=86565 paid=6361 altkill=12644 altcost=6836 altdiff=18  block=337 wiper=145 =1  | watch=1759 block=876 critical=793 wipe=694 wait=605 free=270
106   Black    2           6300        0     1348      5      7      217     2044    14314  FOELOST=6874 FOESEEN=34999 OWNSEEN=2044  GAD p1 off=10 def=8 sig=8 | p2 off=5 def=18 sig=6  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=40 reach=3101 cred=152823 paid=1690 altkill=3104 altcost=1604 altdiff=2  block=177 wiper=40  | watch=3150 critical=857 wait=615 wipe=430 block=40
107   Red      2           6143        0     1500      5      7      258     2653    18188  FOELOST=3976 FOESEEN=18188 OWNSEEN=5223  GAD p1 off=5 def=14 sig=6 | p2 off=5 def=1 sig=10  DEFGAD p1=reinforcements_2 p2=wall  WIPE n=122 reach=4936 cred=435070 paid=2245 altkill=7235 altcost=2385 altdiff=11  block=136 wiper=122  | watch=2515 critical=789 wait=785 wipe=609 outmatched=55
108   Blue     2          11600        0    12000      7      8     1179    32422   224450  FOELOST=211288 FOESEEN=361715 OWNSEEN=32422  GAD p1 off=30 def=31 sig=16 | p2 off=17 def=36 sig=2  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=172 reach=87926 cred=594144 paid=31415 altkill=101963 altcost=35643 altdiff=19  block=1007 wiper=172  | critical=3626 watch=2882 block=1813 wipe=1117 wait=745 outmatched=150 free=10
109   Red      1           7370    34000        0      8      8      218     4121    16748  FOELOST=14875 FOESEEN=16748 OWNSEEN=4121  GAD p1 off=10 def=6 sig=14 | p2 off=9 def=23 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=53 reach=6301 cred=14566 paid=3644 altkill=9520 altcost=4580 altdiff=12  block=159 wiper=58 =1  | watch=1554 wipe=679 wait=635 critical=428 block=401 free=325 outmatched=5
110   Blue     2           7689        0     2000      8      8      378    21329    49056  FOELOST=16599 FOESEEN=49056 OWNSEEN=21329  GAD p1 off=16 def=10 sig=8 | p2 off=13 def=11 sig=15  DEFGAD p1=heal_2 p2=heal_2  WIPE n=57 reach=26972 cred=77605 paid=20687 altkill=27098 altcost=20749 altdiff=1  block=321 wiper=57  | watch=1600 critical=1390 wait=850 block=509 wipe=281 outmatched=30
111   Red      1           6659    11685        0      7      6       13       85     3687  FOELOST=3647 FOESEEN=3687 OWNSEEN=41482  GAD p1 off=14 def=20 sig=11 | p2 off=10 def=19 sig=8  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=4 reach=231 cred=609 paid=49 altkill=336 altcost=60 altdiff=1  block=9 wiper=4  | watch=5024 wait=140 critical=49 wipe=20
112   Blue     2           7073        0    17319      5      8      249     3629    94550  FOELOST=13735 FOESEEN=94550 OWNSEEN=5954  GAD p1 off=8 def=15 sig=8 | p2 off=15 def=6 sig=14  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=81 reach=6288 cred=439677 paid=3461 altkill=6684 altcost=3711 altdiff=5  block=168 wiper=81  | watch=2745 wait=1475 critical=843 wipe=407
113   White    1           9649    30222        0      8      7      523    97780    78528  FOELOST=76724 FOESEEN=78528 OWNSEEN=97780  GAD p1 off=14 def=29 sig=14 | p2 off=23 def=28 sig=13  DEFGAD p1=speed_3 p2=speed_3  WIPE n=83 reach=222031 cred=458216 paid=96900 altkill=222195 altcost=96900 altdiff=0  block=440 wiper=83  | watch=2185 block=1918 free=655 critical=550 wait=514 wipe=428 outmatched=35
114   Green    2           8585        0     1500      8      8      653     3640    26881  FOELOST=23187 FOESEEN=26881 OWNSEEN=3640  GAD p1 off=24 def=5 sig=18 | p2 off=5 def=3 sig=22  DEFGAD p1=wall_2 p2=wall_2  WIPE n=35 reach=6806 cred=36087 paid=3027 altkill=8780 altcost=3640 altdiff=3  block=616 wiper=36 =1  | block=1858 watch=1399 critical=1324 free=270 wait=200 wipe=175 outmatched=20
115   White    2          11037        0    15364      8      8      972    25669    49136  FOELOST=167852 FOESEEN=183021 OWNSEEN=25669  GAD p1 off=15 def=15 sig=17 | p2 off=12 def=34 sig=15  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=110 reach=40786 cred=296402 paid=24807 altkill=53790 altcost=32383 altdiff=9  block=862 wiper=110  | watch=3450 critical=2991 block=1958 wipe=549 wait=505 outmatched=360
116   Green    1           5781     2000        0      7      5       23       69     1316  FOELOST=1310 FOESEEN=1316 OWNSEEN=34794  GAD p1 off=10 def=18 sig=11 | p2 off=10 def=6 sig=4  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=3 reach=0 cred=352 paid=9 altkill=80 altcost=30 altdiff=2  block=20 wiper=3  | watch=4241 critical=104 wait=60 wipe=15
117   White    2           6227        0     2000      5      7      219     2498    11262  FOELOST=6238 FOESEEN=30764 OWNSEEN=2498  GAD p1 off=6 def=9 sig=6 | p2 off=9 def=18 sig=5  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=110 reach=4193 cred=63363 paid=2171 altkill=6016 altcost=2574 altdiff=11  wiper=110 block=109  | watch=2809 wait=955 wipe=552 critical=469 block=219 outmatched=10
118   Green    2          11691        0    66000      8      8     1208   203138   197196  FOELOST=189124 FOESEEN=197196 OWNSEEN=203138  GAD p1 off=15 def=38 sig=21 | p2 off=28 def=3 sig=21  DEFGAD p1=speed_3 p2=wall_2  WIPE n=280 reach=312928 cred=725605 paid=199426 altkill=313315 altcost=198204 altdiff=18  block=928 wiper=280  | critical=3544 wait=1580 wipe=1408 block=1267 watch=305 outmatched=200
119   Yellow   1           8509    20669        0      8      8      390     5667    25552  FOELOST=21816 FOESEEN=25552 OWNSEEN=5667  GAD p1 off=12 def=6 sig=20 | p2 off=17 def=15 sig=3  DEFGAD p1=wall_2 p2=heal_2  WIPE n=72 reach=5984 cred=34649 paid=5355 altkill=8602 altcost=6551 altdiff=13  block=315 wiper=74 =1  | watch=1499 wait=1035 critical=952 block=844 free=470 wipe=363
120   Orange   2           7866        0    12000      8      8      455     6471    40480  FOELOST=16581 FOESEEN=40480 OWNSEEN=6471  GAD p1 off=14 def=10 sig=8 | p2 off=16 def=24 sig=12  DEFGAD p1=heal_2 p2=speed_3  WIPE n=68 reach=8593 cred=23882 paid=5697 altkill=10144 altcost=6680 altdiff=7  block=387 wiper=68  | block=1552 wait=970 watch=824 wipe=651 critical=413 free=101
121   Yellow   2           7844        0    78000      6      8      415     4199    37650  FOELOST=27378 FOESEEN=37650 OWNSEEN=20439  GAD p1 off=21 def=19 sig=11 | p2 off=17 def=7 sig=15  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=40 reach=10339 cred=21585 paid=3824 altkill=10519 altcost=3959 altdiff=3  block=375 wiper=40  | watch=2828 wait=1375 block=978 critical=918 wipe=197
122   Orange   1           7951    45424        0      7      7      295    33066    35643  FOELOST=35643 FOESEEN=35643 OWNSEEN=33066  GAD p1 off=11 def=21 sig=13 | p2 off=7 def=24 sig=13  DEFGAD p1=speed_2 p2=speed_3  WIPE n=19 reach=46458 cred=123702 paid=32790 altkill=47165 altcost=33137 altdiff=1  block=276 wiper=19  | watch=2766 critical=900 block=676 outmatched=155 wipe=95 wait=30
123   Yellow   2           7994        0     1500      8      8      469    11620    95005  FOELOST=10753 FOESEEN=95005 OWNSEEN=11620  GAD p1 off=15 def=9 sig=13 | p2 off=5 def=8 sig=22  DEFGAD p1=wall_2 p2=heal_2  WIPE n=148 reach=21957 cred=123884 paid=10996 altkill=42955 altcost=17858 altdiff=72  block=314 wiper=154 =1  | wait=1255 block=878 critical=842 wipe=778 watch=619 free=235 outmatched=55
124   Purple   2          10757        0     2000      7      8      927    40545    96560  FOELOST=169529 FOESEEN=223550 OWNSEEN=40545  GAD p1 off=31 def=17 sig=16 | p2 off=16 def=33 sig=15  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=60 reach=116074 cred=318018 paid=37944 altkill=116221 altcost=38003 altdiff=1  block=867 wiper=60  | critical=4299 watch=2955 wait=1375 outmatched=550 wipe=294 block=45
125   Black    2           7245        0    30430      8      8      337     3042    12388  FOELOST=8151 FOESEEN=12388 OWNSEEN=3042  GAD p1 off=11 def=7 sig=11 | p2 off=8 def=3 sig=17  DEFGAD p1=heal_2 p2=wall_2  WIPE n=185 reach=3266 cred=38977 paid=2434 altkill=3673 altcost=2643 altdiff=19  wiper=185 block=152  | watch=1149 wipe=917 wait=845 critical=455 block=329 outmatched=225
126   Purple   1           5580     2000        0      7      5       35      105     1003  FOELOST=3299 FOESEEN=3303 OWNSEEN=26566  GAD p1 off=10 def=18 sig=10 | p2 off=7 def=13 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=35  | watch=3934 critical=323 wait=85 outmatched=30
127   Black    2           7922        0     2000      8      7      443    19906    49509  FOELOST=22764 FOESEEN=49509 OWNSEEN=19906  GAD p1 off=16 def=24 sig=8 | p2 off=13 def=3 sig=12  DEFGAD p1=speed_3 p2=wall_2  WIPE n=166 reach=23827 cred=994088 paid=19352 altkill=23947 altcost=19262 altdiff=9  block=277 wiper=166  | critical=1433 wait=970 wipe=847 watch=769 block=566
128   Purple   2           6542        0    22900      5      7      315     2580    12960  FOELOST=5797 FOESEEN=34935 OWNSEEN=2580  GAD p1 off=5 def=5 sig=6 | p2 off=17 def=18 sig=1  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=88 reach=5426 cred=189758 paid=2358 altkill=13276 altcost=5671 altdiff=28  block=225 wiper=89 =1  | watch=2899 critical=1063 wait=765 wipe=515 block=90
129   Black    1           8613    40136        0      8      8      462    12745    35569  FOELOST=35423 FOESEEN=35569 OWNSEEN=12745  GAD p1 off=12 def=16 sig=23 | p2 off=20 def=27 sig=14  DEFGAD p1=heal_2 p2=speed_3  WIPE n=95 reach=23527 cred=68681 paid=12378 altkill=23779 altcost=12446 altdiff=4  block=367 wiper=95  | block=1823 watch=1473 wait=790 wipe=532 free=409 critical=228
130   Red      1           9914    20193        0      8      8      372     1878    55228  FOELOST=51385 FOESEEN=55228 OWNSEEN=100713  GAD p1 off=21 def=30 sig=5 | p2 off=8 def=11 sig=16  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=13 reach=1277 cred=3405 paid=1160 altkill=1277 altcost=1160 altdiff=0  block=359 wiper=13  | watch=4670 block=2129 free=774 wait=765 wipe=63 critical=55
131   Blue     1           8534    57007        0      8      8      309    10989    87781  FOELOST=87074 FOESEEN=87781 OWNSEEN=10989  GAD p1 off=23 def=22 sig=14 | p2 off=6 def=27 sig=15  DEFGAD p1=speed_3 p2=speed_3  WIPE n=25 reach=21238 cred=25848 paid=10705 altkill=21945 altcost=11411 altdiff=1  block=284 wiper=25  | watch=2660 block=1072 free=524 critical=354 outmatched=325 wait=145 wipe=117
